Year,Units,Zeitreihe,Value
2010,1 000 t,Recycelte Siedlungsabfälle,30774.0
2011,1 000 t,Recycelte Siedlungsabfälle,31633.0
2012,1 000 t,Recycelte Siedlungsabfälle,32460.0
2013,1 000 t,Recycelte Siedlungsabfälle,31629.0
2014,1 000 t,Recycelte Siedlungsabfälle,33544.0
2015,1 000 t,Recycelte Siedlungsabfälle,34453.0
2016,1 000 t,Recycelte Siedlungsabfälle,34958.0
2017,1 000 t,Recycelte Siedlungsabfälle,34783.0
2010,Prozent (%),Nationale Recyclingquote von Siedlungsabfällen,62.5
2011,Prozent (%),Nationale Recyclingquote von Siedlungsabfällen,63.0
2012,Prozent (%),Nationale Recyclingquote von Siedlungsabfällen,65.2
2013,Prozent (%),Nationale Recyclingquote von Siedlungsabfällen,63.8
2014,Prozent (%),Nationale Recyclingquote von Siedlungsabfällen,65.6
2015,Prozent (%),Nationale Recyclingquote von Siedlungsabfällen,66.7
2016,Prozent (%),Nationale Recyclingquote von Siedlungsabfällen,67.1
2017,Prozent (%),Nationale Recyclingquote von Siedlungsabfällen,67.2
