Year,Units,Zeitreihe,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Prozent,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",.,,,
2011,Prozent,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",.,,,
2012,Prozent,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",.,,,
2013,Prozent,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",.,,,
2014,Prozent,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,
2015,Prozent,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",r,,,5930.0
2016,Prozent,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,5900.123
2017,Prozent,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,5687.281
2018,Prozent,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,5775.046
2019,Prozent,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,4414.115
2020,Prozent,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,3996.652
2010,Hektar,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",.,,,
2011,Hektar,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",.,,,
2012,Hektar,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",.,,,
2013,Hektar,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",.,,,
2014,Hektar,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",.,,,
2015,Hektar,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,4679.637
2016,Hektar,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,4451.453
2017,Hektar,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,4486.55
2018,Hektar,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,4666.09
2019,Hektar,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,4414.115
2020,Hektar,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,3996.652
2010,Hektar,"Meeresfläche, die unter Schutz steht",.,,,
2011,Hektar,"Meeresfläche, die unter Schutz steht",.,,,
2012,Hektar,"Meeresfläche, die unter Schutz steht",.,,,
2013,Hektar,"Meeresfläche, die unter Schutz steht",.,,,
2014,Hektar,"Meeresfläche, die unter Schutz steht",.,,,
2015,Hektar,"Meeresfläche, die unter Schutz steht",r,,,1250.0
2016,Hektar,"Meeresfläche, die unter Schutz steht",,,,1448.67
2017,Hektar,"Meeresfläche, die unter Schutz steht",,,,1200.731
2018,Hektar,"Meeresfläche, die unter Schutz steht",,,,1108.956
2019,Hektar,"Meeresfläche, die unter Schutz steht",-,,,0.0
2020,Hektar,"Meeresfläche, die unter Schutz steht",-,,,0.0
2010,Prozent,"Meeresfläche, die unter Schutz steht",.,,,
2011,Prozent,"Meeresfläche, die unter Schutz steht",.,,,
2012,Prozent,"Meeresfläche, die unter Schutz steht",.,,,
2013,Prozent,"Meeresfläche, die unter Schutz steht",.,,,
2014,Prozent,"Meeresfläche, die unter Schutz steht",.,,,
2015,Prozent,"Meeresfläche, die unter Schutz steht",r,,,0.196
2016,Prozent,"Meeresfläche, die unter Schutz steht",,,,0.188
2017,Prozent,"Meeresfläche, die unter Schutz steht",,,,0.174
2018,Prozent,"Meeresfläche, die unter Schutz steht",,,,0.172
2019,Prozent,"Meeresfläche, die unter Schutz steht",,,,0.127
2020,Prozent,"Meeresfläche, die unter Schutz steht",,,,0.117
2010,Hektar,"Meeresfläche, die unter effektivem Schutz steht",.,,,
2011,Hektar,"Meeresfläche, die unter effektivem Schutz steht",.,,,
2012,Hektar,"Meeresfläche, die unter effektivem Schutz steht",.,,,
2013,Hektar,"Meeresfläche, die unter effektivem Schutz steht",.,,,
2014,Hektar,"Meeresfläche, die unter effektivem Schutz steht",.,,,
2015,Hektar,"Meeresfläche, die unter effektivem Schutz steht",,,,0.155
2016,Hektar,"Meeresfläche, die unter effektivem Schutz steht",,,,0.142
2017,Hektar,"Meeresfläche, die unter effektivem Schutz steht",,,,0.137
2018,Hektar,"Meeresfläche, die unter effektivem Schutz steht",,,,0.139
2019,Hektar,"Meeresfläche, die unter effektivem Schutz steht",,,,0.127
2020,Hektar,"Meeresfläche, die unter effektivem Schutz steht",,,,0.117
2010,Prozent,"Meeresfläche, die unter effektivem Schutz steht",.,,,
2011,Prozent,"Meeresfläche, die unter effektivem Schutz steht",.,,,
2012,Prozent,"Meeresfläche, die unter effektivem Schutz steht",.,,,
2013,Prozent,"Meeresfläche, die unter effektivem Schutz steht",.,,,
2014,Prozent,"Meeresfläche, die unter effektivem Schutz steht",.,,,
2015,Prozent,"Meeresfläche, die unter effektivem Schutz steht",r,,,0.041
2016,Prozent,"Meeresfläche, die unter effektivem Schutz steht",,,,0.046
2017,Prozent,"Meeresfläche, die unter effektivem Schutz steht",,,,0.037
2018,Prozent,"Meeresfläche, die unter effektivem Schutz steht",,,,0.033
2019,Prozent,"Meeresfläche, die unter effektivem Schutz steht",-,,,0.0
2020,Prozent,"Meeresfläche, die unter effektivem Schutz steht",-,,,0.0
