Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Millionen EUR,r,,,79.3
2011,Millionen EUR,,,,77.5
2012,Millionen EUR,,,,76.2
2013,Millionen EUR,r,,,81.8
2014,Millionen EUR,r,,,76.6
2015,Millionen EUR,r,,,78.1
2016,Millionen EUR,r,,,80.0
2017,Millionen EUR,r,,,80.4
2018,Millionen EUR,r,,,77.1
2019,Millionen EUR,r,,,74.3
2020,Millionen EUR,r,,,68.9
2021,Millionen EUR,,,,72.1
2010,Prozent,,,,98.4
2011,Prozent,r,,,96.9
2012,Prozent,,,,97.0
2013,Prozent,,,,97.6
2014,Prozent,r,,,93.4
2015,Prozent,r,,,94.3
2016,Prozent,r,,,96.0
2017,Prozent,r,,,95.6
2018,Prozent,r,,,94.3
2019,Prozent,,,,95.3
2020,Prozent,,,,91.2
2021,Prozent,,,,90.9
