Year,Units,Altersklasse,Geschlecht,Opfer-Tatverdächtigen-Beziehung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Je 100 000 Einwohner/-innen,,,,,,,49.03
2011,Je 100 000 Einwohner/-innen,,,,,,,49.32
2012,Je 100 000 Einwohner/-innen,,,,,,,49.51
2013,Je 100 000 Einwohner/-innen,,,,,,,49.94
2014,Je 100 000 Einwohner/-innen,,,,,,,50.13
2015,Je 100 000 Einwohner/-innen,,,,,,,50.34
2016,Je 100 000 Einwohner/-innen,,,,,,,51.13
2017,Je 100 000 Einwohner/-innen,,,,,,,51.14
2018,Je 100 000 Einwohner/-innen,,,,,,,51.74
2019,Je 100 000 Einwohner/-innen,,,,,,,52.48
2020,Je 100 000 Einwohner/-innen,,,,,,,53.5
2021,Je 100 000 Einwohner/-innen,,,,,,,53.5
2022,Je 100 000 Einwohner/-innen,,,,,,,53.5
2023,Je 100 000 Einwohner/-innen,,,,,,,53.5
2024,Je 100 000 Einwohner/-innen,,,,,,,56.4
2010,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,3322888.877
2011,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,3342450.778
2012,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,3355067.625
2013,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,3384336.696
2014,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,3397202.327
2015,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,3411552.304
2016,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,3465268.332
2017,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,3465463.362
2018,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,3506452.003
2019,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,3556706.333
2020,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,3625393.782
2021,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,3625393.782
2022,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,3625393.782
2023,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,3625393.782
2024,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,3819684.195
2010,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,,,,,,19.149
2011,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,,,,,,19.158
2012,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,,,,,,19.164
2013,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,,,,,,19.188
2014,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,,,,,,19.25
2015,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,,,,,,19.354
2016,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,,,,,,19.358
2017,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,,,,,,19.36
2018,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,,,,,,19.365
2019,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,,,,,,19.371
2020,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,,,,,,19.438
2021,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,,,,,,19.438
2022,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,,,,,,19.438
2023,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,,,,,,19.464
2024,Je 100 000 Einwohner/-innen,14 bis unter 18 Jahre,,,,,,19.486
