Year,Zeitreihe,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2012,"a) Bevölkerung, die physischer Gewalt ausgesetzt war",,,,,,2.7
2017,"a) Bevölkerung, die physischer Gewalt ausgesetzt war",,,,,,3.0
2020,"a) Bevölkerung, die physischer Gewalt ausgesetzt war",,,|,,,2.0
2012,"a) Bevölkerung, die physischer Gewalt ausgesetzt war",16 bis unter 25 Jahre,,,,,10.1
2017,"a) Bevölkerung, die physischer Gewalt ausgesetzt war",16 bis unter 25 Jahre,,,,,10.4
2020,"a) Bevölkerung, die physischer Gewalt ausgesetzt war",16 bis unter 25 Jahre,,|,,,4.6
2012,"a) Bevölkerung, die physischer Gewalt ausgesetzt war",25 bis unter 35 Jahre,,,,,0.4
2017,"a) Bevölkerung, die physischer Gewalt ausgesetzt war",25 bis unter 35 Jahre,,,,,4.6
2020,"a) Bevölkerung, die physischer Gewalt ausgesetzt war",25 bis unter 35 Jahre,,|,,,3.5
2012,"a) Bevölkerung, die physischer Gewalt ausgesetzt war",35 bis unter 45 Jahre,,,,,2.4
2017,"a) Bevölkerung, die physischer Gewalt ausgesetzt war",35 bis unter 45 Jahre,,,,,2.8
2020,"a) Bevölkerung, die physischer Gewalt ausgesetzt war",35 bis unter 45 Jahre,,|,,,2.0
2012,"a) Bevölkerung, die physischer Gewalt ausgesetzt war",45 bis unter 55 Jahre,,,,,1.9
2017,"a) Bevölkerung, die physischer Gewalt ausgesetzt war",45 bis unter 55 Jahre,,,,,2.3
2020,"a) Bevölkerung, die physischer Gewalt ausgesetzt war",45 bis unter 55 Jahre,,|,,,1.4
2012,"a) Bevölkerung, die physischer Gewalt ausgesetzt war",55 bis unter 65 Jahre,,,,,0.6
2017,"a) Bevölkerung, die physischer Gewalt ausgesetzt war",55 bis unter 65 Jahre,,,,,1.4
2020,"a) Bevölkerung, die physischer Gewalt ausgesetzt war",55 bis unter 65 Jahre,,|,,,1.2
2017,"a) Bevölkerung, die physischer Gewalt ausgesetzt war",65 bis unter 75 Jahre,,,,,0.6
2020,"a) Bevölkerung, die physischer Gewalt ausgesetzt war",65 bis unter 75 Jahre,,|,,,1.0
2017,"a) Bevölkerung, die physischer Gewalt ausgesetzt war",75 Jahre und älter,,,,,0.2
2020,"a) Bevölkerung, die physischer Gewalt ausgesetzt war",75 Jahre und älter,,|,,,0.9
2012,"a) Bevölkerung, die physischer Gewalt ausgesetzt war",,Weiblich,,,,1.5
2017,"a) Bevölkerung, die physischer Gewalt ausgesetzt war",,Weiblich,,,,2.0
2020,"a) Bevölkerung, die physischer Gewalt ausgesetzt war",,Weiblich,|,,,1.3
2012,"a) Bevölkerung, die physischer Gewalt ausgesetzt war",,Männlich,,,,4.0
2017,"a) Bevölkerung, die physischer Gewalt ausgesetzt war",,Männlich,,,,4.0
2020,"a) Bevölkerung, die physischer Gewalt ausgesetzt war",,Männlich,|,,,2.8
2020,"c) Bevölkerung, die sexueller Gewalt ausgesetzt war",,,,,,3.7
2020,"c) Bevölkerung, die sexueller Gewalt ausgesetzt war",16 bis unter 25 Jahre,,,,,14.6
2020,"c) Bevölkerung, die sexueller Gewalt ausgesetzt war",25 bis unter 35 Jahre,,,,,6.8
2020,"c) Bevölkerung, die sexueller Gewalt ausgesetzt war",35 bis unter 45 Jahre,,,,,2.8
2020,"c) Bevölkerung, die sexueller Gewalt ausgesetzt war",45 bis unter 55 Jahre,,,,,1.5
2020,"c) Bevölkerung, die sexueller Gewalt ausgesetzt war",55 bis unter 65 Jahre,,,,,0.5
2020,"c) Bevölkerung, die sexueller Gewalt ausgesetzt war",65 bis unter 75 Jahre,,,,,1.0
2020,"c) Bevölkerung, die sexueller Gewalt ausgesetzt war",75 Jahre und älter,,,,,0.1
2020,"c) Bevölkerung, die sexueller Gewalt ausgesetzt war",,Weiblich,,,,6.0
2020,"c) Bevölkerung, die sexueller Gewalt ausgesetzt war",,Männlich,,,,1.1
2020,"b) Bevölkerung, die psychischer Gewalt ausgesetzt war",,,,,,7.2
2020,"b) Bevölkerung, die psychischer Gewalt ausgesetzt war",,Weiblich,,,,6.0
2020,"b) Bevölkerung, die psychischer Gewalt ausgesetzt war",,Männlich,,,,7.6
