Year,Unsicherheitsgefühl,Series,Value
2010,Sehr sicher,feeling of (in)security of the population in its neighbourhood (at night),
2011,Sehr sicher,feeling of (in)security of the population in its neighbourhood (at night),
2012,Sehr sicher,feeling of (in)security of the population in its neighbourhood (at night),41.0
2013,Sehr sicher,feeling of (in)security of the population in its neighbourhood (at night),
2014,Sehr sicher,feeling of (in)security of the population in its neighbourhood (at night),
2015,Sehr sicher,feeling of (in)security of the population in its neighbourhood (at night),
2016,Sehr sicher,feeling of (in)security of the population in its neighbourhood (at night),
2017,Sehr sicher,feeling of (in)security of the population in its neighbourhood (at night),36.7
2018,Sehr sicher,feeling of (in)security of the population in its neighbourhood (at night),
2019,Sehr sicher,feeling of (in)security of the population in its neighbourhood (at night),
2020,Sehr sicher,feeling of (in)security of the population in its neighbourhood (at night),
2010,Eher sicher,feeling of (in)security of the population in its neighbourhood (at night),
2011,Eher sicher,feeling of (in)security of the population in its neighbourhood (at night),
2012,Eher sicher,feeling of (in)security of the population in its neighbourhood (at night),41.8
2013,Eher sicher,feeling of (in)security of the population in its neighbourhood (at night),
2014,Eher sicher,feeling of (in)security of the population in its neighbourhood (at night),
2015,Eher sicher,feeling of (in)security of the population in its neighbourhood (at night),
2016,Eher sicher,feeling of (in)security of the population in its neighbourhood (at night),
2017,Eher sicher,feeling of (in)security of the population in its neighbourhood (at night),41.9
2018,Eher sicher,feeling of (in)security of the population in its neighbourhood (at night),
2019,Eher sicher,feeling of (in)security of the population in its neighbourhood (at night),
2020,Eher sicher,feeling of (in)security of the population in its neighbourhood (at night),
2010,Eher unsicher,feeling of (in)security of the population in its neighbourhood (at night),
2011,Eher unsicher,feeling of (in)security of the population in its neighbourhood (at night),
2012,Eher unsicher,feeling of (in)security of the population in its neighbourhood (at night),12.5
2013,Eher unsicher,feeling of (in)security of the population in its neighbourhood (at night),
2014,Eher unsicher,feeling of (in)security of the population in its neighbourhood (at night),
2015,Eher unsicher,feeling of (in)security of the population in its neighbourhood (at night),
2016,Eher unsicher,feeling of (in)security of the population in its neighbourhood (at night),
2017,Eher unsicher,feeling of (in)security of the population in its neighbourhood (at night),15.2
2018,Eher unsicher,feeling of (in)security of the population in its neighbourhood (at night),
2019,Eher unsicher,feeling of (in)security of the population in its neighbourhood (at night),
2020,Eher unsicher,feeling of (in)security of the population in its neighbourhood (at night),
2010,Sehr unsicher,feeling of (in)security of the population in its neighbourhood (at night),
2011,Sehr unsicher,feeling of (in)security of the population in its neighbourhood (at night),
2012,Sehr unsicher,feeling of (in)security of the population in its neighbourhood (at night),4.8
2013,Sehr unsicher,feeling of (in)security of the population in its neighbourhood (at night),
2014,Sehr unsicher,feeling of (in)security of the population in its neighbourhood (at night),
2015,Sehr unsicher,feeling of (in)security of the population in its neighbourhood (at night),
2016,Sehr unsicher,feeling of (in)security of the population in its neighbourhood (at night),
2017,Sehr unsicher,feeling of (in)security of the population in its neighbourhood (at night),6.3
2018,Sehr unsicher,feeling of (in)security of the population in its neighbourhood (at night),
2019,Sehr unsicher,feeling of (in)security of the population in its neighbourhood (at night),
2020,Sehr unsicher,feeling of (in)security of the population in its neighbourhood (at night),
2010,,"population not living in an area with crime, violence or vandalism",88.0
2011,,"population not living in an area with crime, violence or vandalism",87.1
2012,,"population not living in an area with crime, violence or vandalism",87.5
2013,,"population not living in an area with crime, violence or vandalism",86.5
2014,,"population not living in an area with crime, violence or vandalism",86.9
2015,,"population not living in an area with crime, violence or vandalism",86.2
2016,,"population not living in an area with crime, violence or vandalism",85.9
2017,,"population not living in an area with crime, violence or vandalism",85.8
2018,,"population not living in an area with crime, violence or vandalism",86.7
2019,,"population not living in an area with crime, violence or vandalism",86.9
2020,,"population not living in an area with crime, violence or vandalism",91.8
