Year,Zeitreihe,Altersklasse,Geschlecht,Art der physischen Gewalt,Art der sexuellen Gewalt,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2020,a) Anzeigequote bei physischer Gewalt,,,,,,,,31.3
2020,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,,,,,,19.5
2020,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,,,,,,33.0
2020,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,,,,,,40.3
2020,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,,,,,,37.6
2020,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,,,,,,32.2
2020,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,,,,,,81.8
2020,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,,,,,,52.7
2020,a) Anzeigequote bei physischer Gewalt,,Weiblich,,,,,,18.6
2020,a) Anzeigequote bei physischer Gewalt,,Männlich,,,,,,39.7
2012,a) Anzeigequote bei physischer Gewalt,,,Körperverletzung,,,,,32.9
2017,a) Anzeigequote bei physischer Gewalt,,,Körperverletzung,,,,,36.6
2020,a) Anzeigequote bei physischer Gewalt,,,Körperverletzung,,|,,,33.5
2012,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Körperverletzung,,,,,25.2
2017,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Körperverletzung,,,,,28.8
2020,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Körperverletzung,,|,,,22.7
2012,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Körperverletzung,,,,,28.6
2017,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Körperverletzung,,,,,37.6
2020,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Körperverletzung,,|,,,34.1
2012,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Körperverletzung,,,,,45.0
2017,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Körperverletzung,,,,,34.3
2020,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Körperverletzung,,|,,,40.3
2012,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Körperverletzung,,,,,46.7
2017,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Körperverletzung,,,,,45.2
2020,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Körperverletzung,,|,,,37.1
2012,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Körperverletzung,,,,,55.2
2017,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Körperverletzung,,,,,56.8
2020,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Körperverletzung,,|,,,40.1
2012,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,Körperverletzung,,,,,15.9
2017,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,Körperverletzung,,,,,46.6
2020,a) Anzeigequote bei physischer Gewalt,65 bis unter 75 Jahre,,Körperverletzung,,|,,,77.0
2020,a) Anzeigequote bei physischer Gewalt,75 Jahre und älter,,Körperverletzung,,|,,,52.6
2012,a) Anzeigequote bei physischer Gewalt,,Weiblich,Körperverletzung,,,,,34.1
2017,a) Anzeigequote bei physischer Gewalt,,Weiblich,Körperverletzung,,,,,40.0
2020,a) Anzeigequote bei physischer Gewalt,,Weiblich,Körperverletzung,,|,,,21.3
2012,a) Anzeigequote bei physischer Gewalt,,Männlich,Körperverletzung,,,,,32.3
2017,a) Anzeigequote bei physischer Gewalt,,Männlich,Körperverletzung,,,,,34.6
2020,a) Anzeigequote bei physischer Gewalt,,Männlich,Körperverletzung,,|,,,40.3
2012,a) Anzeigequote bei physischer Gewalt,,,Raub,,,,,33.6
2017,a) Anzeigequote bei physischer Gewalt,,,Raub,,,,,32.0
2020,a) Anzeigequote bei physischer Gewalt,,,Raub,,|,,,24.0
2012,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Raub,,,,,28.0
2017,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Raub,,,,,29.8
2020,a) Anzeigequote bei physischer Gewalt,16 bis unter 25 Jahre,,Raub,,|,,,12.6
2012,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Raub,,,,,34.2
2017,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Raub,,,,,25.0
2020,a) Anzeigequote bei physischer Gewalt,25 bis unter 35 Jahre,,Raub,,|,,,23.0
2012,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Raub,,,,,35.8
2017,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Raub,,,,,39.3
2020,a) Anzeigequote bei physischer Gewalt,35 bis unter 45 Jahre,,Raub,,|,,,40.4
2012,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Raub,,,,,33.7
2017,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Raub,,,,,44.6
2020,a) Anzeigequote bei physischer Gewalt,45 bis unter 55 Jahre,,Raub,,|,,,43.2
2012,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Raub,,,,,59.3
2017,a) Anzeigequote bei physischer Gewalt,55 bis unter 65 Jahre,,Raub,,,,,31.1
