Year,Units,Zeitreihe,Geschlecht,Value
2015,Prozent (%),population who had the impression that public officials are corruptible,,4.65
2016,Prozent (%),population who had the impression that public officials are corruptible,,
2017,Prozent (%),population who had the impression that public officials are corruptible,,3.66
2018,Prozent (%),population who had the impression that public officials are corruptible,,
2019,Prozent (%),population who had the impression that public officials are corruptible,,4.67
2015,Prozent (%),population who had the impression that public officials are corruptible,Weiblich,4.89
2016,Prozent (%),population who had the impression that public officials are corruptible,Weiblich,
2017,Prozent (%),population who had the impression that public officials are corruptible,Weiblich,3.75
2018,Prozent (%),population who had the impression that public officials are corruptible,Weiblich,
2019,Prozent (%),population who had the impression that public officials are corruptible,Weiblich,4.62
2015,Prozent (%),population who had the impression that public officials are corruptible,Männlich,4.36
2016,Prozent (%),population who had the impression that public officials are corruptible,Männlich,
2017,Prozent (%),population who had the impression that public officials are corruptible,Männlich,3.57
2018,Prozent (%),population who had the impression that public officials are corruptible,Männlich,
2019,Prozent (%),population who had the impression that public officials are corruptible,Männlich,4.56
2019,Prozent (%),population who had the impression that public officials are corruptible,Divers,28.0
2010,Anzahl,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,,354.0
2011,Anzahl,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,,295.0
2012,Anzahl,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,,163.0
2013,Anzahl,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,,222.0
2014,Anzahl,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,,121.0
2015,Anzahl,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,,148.0
