Year,Sektor,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2019,,.,,,
2020,,,,,1.8
2021,,…,,,
2019,Allgemeine Dienste,.,,,
2020,Allgemeine Dienste,,,,1.4
2021,Allgemeine Dienste,…,,,
2019,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",.,,,
2020,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,5.6
2021,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",…,,,
2019,"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen",.,,,
2020,"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen",,,,1.9
2021,"Energie- und Wasserwirtschaft, Gewerbe, Dienstleistungen",…,,,
2019,"Ernährung, Landwirtschaft und Forsten",.,,,
2020,"Ernährung, Landwirtschaft und Forsten",,,,0.6
2021,"Ernährung, Landwirtschaft und Forsten",…,,,
2019,Finanzwirtschaft,.,,,
2021,Finanzwirtschaft,…,,,
2019,"Gesundheit, Umwelt, Sport und Erholung",.,,,
2021,"Gesundheit, Umwelt, Sport und Erholung",…,,,
2019,"Soziale Sicherung, Familie und Jugend, Arbeitsmarktpolitik",.,,,
2020,"Soziale Sicherung, Familie und Jugend, Arbeitsmarktpolitik",,,,2.1
2021,"Soziale Sicherung, Familie und Jugend, Arbeitsmarktpolitik",…,,,
2019,Verkehrs- und Nachrichtenwesen,.,,,
2020,Verkehrs- und Nachrichtenwesen,,,,12.6
2021,Verkehrs- und Nachrichtenwesen,…,,,
2019,"Wohnungswesen, Städtebau, Raumordnung und kommunale Gemeinschaftsdienste",.,,,
2020,"Wohnungswesen, Städtebau, Raumordnung und kommunale Gemeinschaftsdienste",,,,2.2
2021,"Wohnungswesen, Städtebau, Raumordnung und kommunale Gemeinschaftsdienste",…,,,
