Year,Vollständigkeit der Disaggregation,Ziel,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Vollständig disaggregiert,,,,,80.0
2011,Vollständig disaggregiert,,,,,81.0
2012,Vollständig disaggregiert,,,,,82.0
2013,Vollständig disaggregiert,,,,,84.0
2014,Vollständig disaggregiert,,,,,86.0
2015,Vollständig disaggregiert,,,,,88.0
2016,Vollständig disaggregiert,,,,,90.0
2017,Vollständig disaggregiert,,,,,90.0
2018,Vollständig disaggregiert,,,,,92.0
2019,Vollständig disaggregiert,,,,,93.0
2020,Vollständig disaggregiert,,,,,94.0
2021,Vollständig disaggregiert,,|,,,91.0
2022,Vollständig disaggregiert,,,,,92.0
2023,Vollständig disaggregiert,,,,,92.0
2024,Vollständig disaggregiert,,,,,94.0
2010,Teilweise disaggregiert,,,,,76.0
2011,Teilweise disaggregiert,,,,,78.0
2012,Teilweise disaggregiert,,,,,79.0
2013,Teilweise disaggregiert,,,,,81.0
2014,Teilweise disaggregiert,,,,,84.0
2015,Teilweise disaggregiert,,,,,85.0
2016,Teilweise disaggregiert,,,,,88.0
2017,Teilweise disaggregiert,,,,,89.0
2018,Teilweise disaggregiert,,,,,91.0
2019,Teilweise disaggregiert,,,,,92.0
2020,Teilweise disaggregiert,,,,,93.0
2021,Teilweise disaggregiert,,|,,,91.0
2022,Teilweise disaggregiert,,,,,90.0
2023,Teilweise disaggregiert,,,,,91.0
2024,Teilweise disaggregiert,,,,,93.0
2010,Nicht disaggregiert,,,,,84.0
2011,Nicht disaggregiert,,,,,84.0
2012,Nicht disaggregiert,,,,,85.0
2013,Nicht disaggregiert,,,,,87.0
2014,Nicht disaggregiert,,,,,89.0
2015,Nicht disaggregiert,,,,,90.0
2016,Nicht disaggregiert,,,,,91.0
2017,Nicht disaggregiert,,,,,92.0
2018,Nicht disaggregiert,,,,,94.0
2019,Nicht disaggregiert,,,,,94.0
2020,Nicht disaggregiert,,,,,95.0
2021,Nicht disaggregiert,,|,,,92.0
2022,Nicht disaggregiert,,,,,93.0
2023,Nicht disaggregiert,,,,,93.0
2024,Nicht disaggregiert,,,,,94.0
2010,Vollständig disaggregiert,1 - Keine Armut,,,,98.0
2011,Vollständig disaggregiert,1 - Keine Armut,,,,99.0
2012,Vollständig disaggregiert,1 - Keine Armut,,,,98.0
2013,Vollständig disaggregiert,1 - Keine Armut,,,,98.0
2014,Vollständig disaggregiert,1 - Keine Armut,,,,99.0
2015,Vollständig disaggregiert,1 - Keine Armut,,,,99.0
2016,Vollständig disaggregiert,1 - Keine Armut,,,,99.0
2017,Vollständig disaggregiert,1 - Keine Armut,,,,99.0
2018,Vollständig disaggregiert,1 - Keine Armut,,,,99.0
2019,Vollständig disaggregiert,1 - Keine Armut,,,,99.0
2020,Vollständig disaggregiert,1 - Keine Armut,,,,99.0
2021,Vollständig disaggregiert,1 - Keine Armut,|,,,98.0
2022,Vollständig disaggregiert,1 - Keine Armut,,,,96.0
2023,Vollständig disaggregiert,1 - Keine Armut,,,,97.0
2024,Vollständig disaggregiert,1 - Keine Armut,,,,97.0
2010,Teilweise disaggregiert,1 - Keine Armut,,,,85.0
2011,Teilweise disaggregiert,1 - Keine Armut,,,,87.0
2012,Teilweise disaggregiert,1 - Keine Armut,,,,88.0
2013,Teilweise disaggregiert,1 - Keine Armut,,,,89.0
2014,Teilweise disaggregiert,1 - Keine Armut,,,,91.0
2015,Teilweise disaggregiert,1 - Keine Armut,,,,92.0
2016,Teilweise disaggregiert,1 - Keine Armut,,,,93.0
2017,Teilweise disaggregiert,1 - Keine Armut,,,,93.0
2018,Teilweise disaggregiert,1 - Keine Armut,,,,95.0
2019,Teilweise disaggregiert,1 - Keine Armut,,,,96.0
2020,Teilweise disaggregiert,1 - Keine Armut,,,,97.0
2021,Teilweise disaggregiert,1 - Keine Armut,|,,,94.0
2022,Teilweise disaggregiert,1 - Keine Armut,,,,94.0
2023,Teilweise disaggregiert,1 - Keine Armut,,,,95.0
2024,Teilweise disaggregiert,1 - Keine Armut,,,,95.0
2010,Nicht disaggregiert,1 - Keine Armut,,,,41.0
2011,Nicht disaggregiert,1 - Keine Armut,,,,41.0
2012,Nicht disaggregiert,1 - Keine Armut,,,,43.0
2013,Nicht disaggregiert,1 - Keine Armut,,,,50.0
2014,Nicht disaggregiert,1 - Keine Armut,,,,53.0
2015,Nicht disaggregiert,1 - Keine Armut,,,,56.0
2016,Nicht disaggregiert,1 - Keine Armut,,,,62.0
2017,Nicht disaggregiert,1 - Keine Armut,,,,64.0
2018,Nicht disaggregiert,1 - Keine Armut,,,,71.0
2019,Nicht disaggregiert,1 - Keine Armut,,,,72.0
2020,Nicht disaggregiert,1 - Keine Armut,,,,76.0
2021,Nicht disaggregiert,1 - Keine Armut,|,,,74.0
2022,Nicht disaggregiert,1 - Keine Armut,,,,77.0
2023,Nicht disaggregiert,1 - Keine Armut,,,,79.0
2024,Nicht disaggregiert,1 - Keine Armut,,,,83.0
2010,Vollständig disaggregiert,2 - Kein Hunger,,,,916.0
2011,Vollständig disaggregiert,2 - Kein Hunger,,,,809.2
2012,Vollständig disaggregiert,2 - Kein Hunger,,,,740.5
2013,Vollständig disaggregiert,2 - Kein Hunger,,,,835.9
2014,Vollständig disaggregiert,2 - Kein Hunger,,,,1115.5
2015,Vollständig disaggregiert,2 - Kein Hunger,,,,1578.0
2016,Vollständig disaggregiert,2 - Kein Hunger,,,,1278.4
2017,Vollständig disaggregiert,2 - Kein Hunger,,,,2141.1
2018,Vollständig disaggregiert,2 - Kein Hunger,,,,2107.3
2019,Vollständig disaggregiert,2 - Kein Hunger,,,,2029.1
2020,Vollständig disaggregiert,2 - Kein Hunger,,,,3225.6
2021,Vollständig disaggregiert,2 - Kein Hunger,,,,2941.9
2022,Vollständig disaggregiert,2 - Kein Hunger,,,,2972.9
2023,Vollständig disaggregiert,2 - Kein Hunger,,,,3486.6
2024,Vollständig disaggregiert,2 - Kein Hunger,…,,,
2010,Teilweise disaggregiert,2 - Kein Hunger,,,,675.0
