Year,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,16 bis unter 75 Jahre,,,,,0.38
2011,16 bis unter 75 Jahre,,,,,0.5
2012,16 bis unter 75 Jahre,,,,,0.55
2013,16 bis unter 75 Jahre,,,,,0.58
2014,16 bis unter 75 Jahre,,,,,0.7
2015,16 bis unter 75 Jahre,,,,,0.82
2016,16 bis unter 75 Jahre,,,,,0.76
2017,16 bis unter 75 Jahre,,,,,0.79
2018,16 bis unter 75 Jahre,,,,,0.79
2019,16 bis unter 75 Jahre,,,,,0.73
2020,16 bis unter 75 Jahre,,,,,0.7
2021,16 bis unter 75 Jahre,,,,,0.68
2022,16 bis unter 75 Jahre,,,,,0.65
2023,16 bis unter 75 Jahre,,,,,0.76
2024,16 bis unter 75 Jahre,,,,,0.76
2025,16 bis unter 75 Jahre,,,,,0.7
2010,16 bis unter 75 Jahre,Weiblich,,,,1.02
2011,16 bis unter 75 Jahre,Weiblich,,,,1.01
2012,16 bis unter 75 Jahre,Weiblich,,,,1.02
2013,16 bis unter 75 Jahre,Weiblich,,,,1.03
2014,16 bis unter 75 Jahre,Weiblich,,,,1.04
2015,16 bis unter 75 Jahre,Weiblich,,,,1.05
2016,16 bis unter 75 Jahre,Weiblich,,,,1.06
2017,16 bis unter 75 Jahre,Weiblich,,,,1.07
2018,16 bis unter 75 Jahre,Weiblich,,,,1.07
2019,16 bis unter 75 Jahre,Weiblich,,,,1.08
2020,16 bis unter 75 Jahre,Weiblich,,,,1.09
2021,16 bis unter 75 Jahre,Weiblich,,,,1.1
2022,16 bis unter 75 Jahre,Weiblich,,,,1.1
2023,16 bis unter 75 Jahre,Weiblich,p,,,1.05
2024,16 bis unter 75 Jahre,Weiblich,…,,,
2025,16 bis unter 75 Jahre,Weiblich,…,,,
2010,16 bis unter 75 Jahre,Männlich,,,,0.99
2011,16 bis unter 75 Jahre,Männlich,,,,0.99
2012,16 bis unter 75 Jahre,Männlich,,,,1.0
2013,16 bis unter 75 Jahre,Männlich,,,,1.01
2014,16 bis unter 75 Jahre,Männlich,,,,1.02
2015,16 bis unter 75 Jahre,Männlich,,,,1.03
2016,16 bis unter 75 Jahre,Männlich,,,,1.05
2017,16 bis unter 75 Jahre,Männlich,,,,1.06
2018,16 bis unter 75 Jahre,Männlich,,,,1.06
2019,16 bis unter 75 Jahre,Männlich,,,,1.07
2020,16 bis unter 75 Jahre,Männlich,,,,1.07
2021,16 bis unter 75 Jahre,Männlich,,,,1.09
2022,16 bis unter 75 Jahre,Männlich,,,,1.08
2023,16 bis unter 75 Jahre,Männlich,p,,,1.08
2024,16 bis unter 75 Jahre,Männlich,…,,,
2025,16 bis unter 75 Jahre,Männlich,…,,,
2010,16 bis unter 25 Jahre,,,,,0.46
2011,16 bis unter 25 Jahre,,,,,0.45
2012,16 bis unter 25 Jahre,,,,,0.46
2013,16 bis unter 25 Jahre,,,,,0.47
2014,16 bis unter 25 Jahre,,,,,0.48
2015,16 bis unter 25 Jahre,,,,,0.49
2016,16 bis unter 25 Jahre,,,,,0.5
2017,16 bis unter 25 Jahre,,,,,0.52
2018,16 bis unter 25 Jahre,,,,,0.54
2019,16 bis unter 25 Jahre,,,,,0.56
2020,16 bis unter 25 Jahre,,,,,0.58
2021,16 bis unter 25 Jahre,,,,,0.59
2022,16 bis unter 25 Jahre,,r,,,0.61
2023,16 bis unter 25 Jahre,,p,,,0.63
2024,16 bis unter 25 Jahre,,…,,,
2025,16 bis unter 25 Jahre,,…,,,
2010,25 bis unter 65 Jahre,,,,,1.22
2011,25 bis unter 65 Jahre,,,,,1.22
2012,25 bis unter 65 Jahre,,,,,1.23
2013,25 bis unter 65 Jahre,,,,,1.24
2014,25 bis unter 65 Jahre,,,,,1.25
2015,25 bis unter 65 Jahre,,,,,1.26
2016,25 bis unter 65 Jahre,,,,,1.27
2017,25 bis unter 65 Jahre,,,,,1.27
2018,25 bis unter 65 Jahre,,,,,1.27
2019,25 bis unter 65 Jahre,,,,,1.28
2020,25 bis unter 65 Jahre,,,,,1.28
2021,25 bis unter 65 Jahre,,,,,1.28
2022,25 bis unter 65 Jahre,,,,,1.27
2023,25 bis unter 65 Jahre,,p,,,1.28
2024,25 bis unter 65 Jahre,,…,,,
2025,25 bis unter 65 Jahre,,…,,,
2010,65 bis unter 75 Jahre,,,,,1.15
2011,65 bis unter 75 Jahre,,,,,1.15
2012,65 bis unter 75 Jahre,,,,,1.15
2013,65 bis unter 75 Jahre,,,,,1.15
2014,65 bis unter 75 Jahre,,,,,1.17
2015,65 bis unter 75 Jahre,,,,,1.18
2016,65 bis unter 75 Jahre,,,,,1.19
2017,65 bis unter 75 Jahre,,,,,1.09
2018,65 bis unter 75 Jahre,,,,,1.16
2019,65 bis unter 75 Jahre,,,,,1.17
2020,65 bis unter 75 Jahre,,,,,1.19
2021,65 bis unter 75 Jahre,,,,,1.2
2022,65 bis unter 75 Jahre,,,,,1.2
2023,65 bis unter 75 Jahre,,p,,,1.2
2024,65 bis unter 75 Jahre,,…,,,
2025,65 bis unter 75 Jahre,,…,,,
