Year,Units,Art der Klassifikation,Gefährdungskategorie,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Prozent,FAO-Klassifikation,Gefährdet,.,,,
2011,Prozent,FAO-Klassifikation,Gefährdet,.,,,
2012,Prozent,FAO-Klassifikation,Gefährdet,.,,,
2013,Prozent,FAO-Klassifikation,Gefährdet,.,,,
2014,Prozent,FAO-Klassifikation,Gefährdet,.,,,
2015,Prozent,FAO-Klassifikation,Gefährdet,,,,45.45
2016,Prozent,FAO-Klassifikation,Gefährdet,.,,,
2017,Prozent,FAO-Klassifikation,Gefährdet,.,,,
2018,Prozent,FAO-Klassifikation,Gefährdet,.,,,
2019,Prozent,FAO-Klassifikation,Gefährdet,,,,87.5
2020,Prozent,FAO-Klassifikation,Gefährdet,.,,,
2021,Prozent,FAO-Klassifikation,Gefährdet,.,,,
2022,Prozent,FAO-Klassifikation,Gefährdet,.,,,
2023,Prozent,FAO-Klassifikation,Gefährdet,,,,87.95
2010,Prozent,FAO-Klassifikation,Nicht gefährdet,.,,,
2011,Prozent,FAO-Klassifikation,Nicht gefährdet,.,,,
2012,Prozent,FAO-Klassifikation,Nicht gefährdet,.,,,
2013,Prozent,FAO-Klassifikation,Nicht gefährdet,.,,,
2014,Prozent,FAO-Klassifikation,Nicht gefährdet,.,,,
2015,Prozent,FAO-Klassifikation,Nicht gefährdet,,,,54.55
2016,Prozent,FAO-Klassifikation,Nicht gefährdet,.,,,
2017,Prozent,FAO-Klassifikation,Nicht gefährdet,.,,,
2018,Prozent,FAO-Klassifikation,Nicht gefährdet,.,,,
2019,Prozent,FAO-Klassifikation,Nicht gefährdet,,,,12.5
2020,Prozent,FAO-Klassifikation,Nicht gefährdet,.,,,
2021,Prozent,FAO-Klassifikation,Nicht gefährdet,.,,,
2022,Prozent,FAO-Klassifikation,Nicht gefährdet,.,,,
2023,Prozent,FAO-Klassifikation,Nicht gefährdet,,,,12.05
2010,Prozent,Nationale Klassifikation,Nicht gefährdet,.,,,
2011,Prozent,Nationale Klassifikation,Nicht gefährdet,,,,29.7
2012,Prozent,Nationale Klassifikation,Nicht gefährdet,.,,,
2013,Prozent,Nationale Klassifikation,Nicht gefährdet,,,,30.7
2014,Prozent,Nationale Klassifikation,Nicht gefährdet,.,,,
2015,Prozent,Nationale Klassifikation,Nicht gefährdet,,,,28.6
2016,Prozent,Nationale Klassifikation,Nicht gefährdet,.,,,
2017,Prozent,Nationale Klassifikation,Nicht gefährdet,,,,29.9
2018,Prozent,Nationale Klassifikation,Nicht gefährdet,.,,,
2019,Prozent,Nationale Klassifikation,Nicht gefährdet,,,,30.0
2020,Prozent,Nationale Klassifikation,Nicht gefährdet,.,,,
2021,Prozent,Nationale Klassifikation,Nicht gefährdet,,,,28.4
2022,Prozent,Nationale Klassifikation,Nicht gefährdet,.,,,
2023,Prozent,Nationale Klassifikation,Nicht gefährdet,,,,28.9
2010,Prozent,Nationale Klassifikation,Beobachtungspopulationen,.,,,
2011,Prozent,Nationale Klassifikation,Beobachtungspopulationen,,,,39.2
2012,Prozent,Nationale Klassifikation,Beobachtungspopulationen,.,,,
2013,Prozent,Nationale Klassifikation,Beobachtungspopulationen,,,,42.7
2014,Prozent,Nationale Klassifikation,Beobachtungspopulationen,.,,,
2015,Prozent,Nationale Klassifikation,Beobachtungspopulationen,,,,46.8
2016,Prozent,Nationale Klassifikation,Beobachtungspopulationen,.,,,
2017,Prozent,Nationale Klassifikation,Beobachtungspopulationen,,,,46.8
2018,Prozent,Nationale Klassifikation,Beobachtungspopulationen,.,,,
2019,Prozent,Nationale Klassifikation,Beobachtungspopulationen,,,,45.0
2020,Prozent,Nationale Klassifikation,Beobachtungspopulationen,.,,,
2021,Prozent,Nationale Klassifikation,Beobachtungspopulationen,,,,44.4
2022,Prozent,Nationale Klassifikation,Beobachtungspopulationen,.,,,
2023,Prozent,Nationale Klassifikation,Beobachtungspopulationen,,,,43.4
2010,Prozent,Nationale Klassifikation,Erhaltungspopulationen,.,,,
2011,Prozent,Nationale Klassifikation,Erhaltungspopulationen,,,,24.3
2012,Prozent,Nationale Klassifikation,Erhaltungspopulationen,.,,,
2013,Prozent,Nationale Klassifikation,Erhaltungspopulationen,,,,20.0
2014,Prozent,Nationale Klassifikation,Erhaltungspopulationen,.,,,
2015,Prozent,Nationale Klassifikation,Erhaltungspopulationen,,,,18.2
2016,Prozent,Nationale Klassifikation,Erhaltungspopulationen,.,,,
2017,Prozent,Nationale Klassifikation,Erhaltungspopulationen,,,,16.9
2018,Prozent,Nationale Klassifikation,Erhaltungspopulationen,.,,,
2019,Prozent,Nationale Klassifikation,Erhaltungspopulationen,,,,17.5
2020,Prozent,Nationale Klassifikation,Erhaltungspopulationen,.,,,
2021,Prozent,Nationale Klassifikation,Erhaltungspopulationen,,,,18.5
2022,Prozent,Nationale Klassifikation,Erhaltungspopulationen,.,,,
2023,Prozent,Nationale Klassifikation,Erhaltungspopulationen,,,,19.3
2010,Prozent,Nationale Klassifikation,Phänotypische Erhaltungspopulationen,.,,,
2011,Prozent,Nationale Klassifikation,Phänotypische Erhaltungspopulationen,,,,6.8
2012,Prozent,Nationale Klassifikation,Phänotypische Erhaltungspopulationen,.,,,
2013,Prozent,Nationale Klassifikation,Phänotypische Erhaltungspopulationen,,,,6.7
2014,Prozent,Nationale Klassifikation,Phänotypische Erhaltungspopulationen,.,,,
2015,Prozent,Nationale Klassifikation,Phänotypische Erhaltungspopulationen,,,,6.5
2016,Prozent,Nationale Klassifikation,Phänotypische Erhaltungspopulationen,.,,,
2017,Prozent,Nationale Klassifikation,Phänotypische Erhaltungspopulationen,,,,6.5
2018,Prozent,Nationale Klassifikation,Phänotypische Erhaltungspopulationen,.,,,
2019,Prozent,Nationale Klassifikation,Phänotypische Erhaltungspopulationen,,,,7.5
2020,Prozent,Nationale Klassifikation,Phänotypische Erhaltungspopulationen,.,,,
2021,Prozent,Nationale Klassifikation,Phänotypische Erhaltungspopulationen,,,,8.6
2022,Prozent,Nationale Klassifikation,Phänotypische Erhaltungspopulationen,.,,,
2023,Prozent,Nationale Klassifikation,Phänotypische Erhaltungspopulationen,,,,8.4
2010,Anzahl,FAO-Klassifikation,Gefährdet,.,,,
2011,Anzahl,FAO-Klassifikation,Gefährdet,.,,,
2012,Anzahl,FAO-Klassifikation,Gefährdet,.,,,
2013,Anzahl,FAO-Klassifikation,Gefährdet,.,,,
2014,Anzahl,FAO-Klassifikation,Gefährdet,.,,,
2015,Anzahl,FAO-Klassifikation,Gefährdet,,,,35.0
2016,Anzahl,FAO-Klassifikation,Gefährdet,.,,,
2017,Anzahl,FAO-Klassifikation,Gefährdet,.,,,
2018,Anzahl,FAO-Klassifikation,Gefährdet,.,,,
2019,Anzahl,FAO-Klassifikation,Gefährdet,,,,70.0
2020,Anzahl,FAO-Klassifikation,Gefährdet,.,,,
2021,Anzahl,FAO-Klassifikation,Gefährdet,.,,,
2022,Anzahl,FAO-Klassifikation,Gefährdet,.,,,
2023,Anzahl,FAO-Klassifikation,Gefährdet,,,,73.0
2010,Anzahl,FAO-Klassifikation,Nicht gefährdet,.,,,
2011,Anzahl,FAO-Klassifikation,Nicht gefährdet,.,,,
2012,Anzahl,FAO-Klassifikation,Nicht gefährdet,.,,,
2013,Anzahl,FAO-Klassifikation,Nicht gefährdet,.,,,
2014,Anzahl,FAO-Klassifikation,Nicht gefährdet,.,,,
2015,Anzahl,FAO-Klassifikation,Nicht gefährdet,,,,42.0
2016,Anzahl,FAO-Klassifikation,Nicht gefährdet,.,,,
2017,Anzahl,FAO-Klassifikation,Nicht gefährdet,.,,,
2018,Anzahl,FAO-Klassifikation,Nicht gefährdet,.,,,
2019,Anzahl,FAO-Klassifikation,Nicht gefährdet,,,,10.0
2020,Anzahl,FAO-Klassifikation,Nicht gefährdet,.,,,
2021,Anzahl,FAO-Klassifikation,Nicht gefährdet,.,,,
2022,Anzahl,FAO-Klassifikation,Nicht gefährdet,.,,,
2023,Anzahl,FAO-Klassifikation,Nicht gefährdet,,,,10.0
2010,Anzahl,Nationale Klassifikation,Nicht gefährdet,.,,,
2011,Anzahl,Nationale Klassifikation,Nicht gefährdet,,,,22.0
2012,Anzahl,Nationale Klassifikation,Nicht gefährdet,.,,,
2013,Anzahl,Nationale Klassifikation,Nicht gefährdet,,,,23.0
2014,Anzahl,Nationale Klassifikation,Nicht gefährdet,.,,,
2015,Anzahl,Nationale Klassifikation,Nicht gefährdet,,,,22.0
2016,Anzahl,Nationale Klassifikation,Nicht gefährdet,.,,,
2017,Anzahl,Nationale Klassifikation,Nicht gefährdet,,,,23.0
2018,Anzahl,Nationale Klassifikation,Nicht gefährdet,.,,,
2019,Anzahl,Nationale Klassifikation,Nicht gefährdet,,,,24.0
2020,Anzahl,Nationale Klassifikation,Nicht gefährdet,.,,,
2021,Anzahl,Nationale Klassifikation,Nicht gefährdet,,,,23.0
2022,Anzahl,Nationale Klassifikation,Nicht gefährdet,.,,,
2023,Anzahl,Nationale Klassifikation,Nicht gefährdet,,,,24.0
2010,Anzahl,Nationale Klassifikation,Beobachtungspopulationen,.,,,
2011,Anzahl,Nationale Klassifikation,Beobachtungspopulationen,,,,29.0
2012,Anzahl,Nationale Klassifikation,Beobachtungspopulationen,.,,,
2013,Anzahl,Nationale Klassifikation,Beobachtungspopulationen,,,,32.0
2014,Anzahl,Nationale Klassifikation,Beobachtungspopulationen,.,,,
2015,Anzahl,Nationale Klassifikation,Beobachtungspopulationen,,,,36.0
2016,Anzahl,Nationale Klassifikation,Beobachtungspopulationen,.,,,
2017,Anzahl,Nationale Klassifikation,Beobachtungspopulationen,,,,36.0
2018,Anzahl,Nationale Klassifikation,Beobachtungspopulationen,.,,,
2019,Anzahl,Nationale Klassifikation,Beobachtungspopulationen,,,,36.0
2020,Anzahl,Nationale Klassifikation,Beobachtungspopulationen,.,,,
2021,Anzahl,Nationale Klassifikation,Beobachtungspopulationen,,,,36.0
2022,Anzahl,Nationale Klassifikation,Beobachtungspopulationen,.,,,
2023,Anzahl,Nationale Klassifikation,Beobachtungspopulationen,,,,36.0
2010,Anzahl,Nationale Klassifikation,Erhaltungspopulationen,.,,,
2011,Anzahl,Nationale Klassifikation,Erhaltungspopulationen,,,,18.0
2012,Anzahl,Nationale Klassifikation,Erhaltungspopulationen,.,,,
2013,Anzahl,Nationale Klassifikation,Erhaltungspopulationen,,,,15.0
2014,Anzahl,Nationale Klassifikation,Erhaltungspopulationen,.,,,
2015,Anzahl,Nationale Klassifikation,Erhaltungspopulationen,,,,14.0
2016,Anzahl,Nationale Klassifikation,Erhaltungspopulationen,.,,,
2017,Anzahl,Nationale Klassifikation,Erhaltungspopulationen,,,,13.0
2018,Anzahl,Nationale Klassifikation,Erhaltungspopulationen,.,,,
2019,Anzahl,Nationale Klassifikation,Erhaltungspopulationen,,,,14.0
2020,Anzahl,Nationale Klassifikation,Erhaltungspopulationen,.,,,
2021,Anzahl,Nationale Klassifikation,Erhaltungspopulationen,,,,15.0
2022,Anzahl,Nationale Klassifikation,Erhaltungspopulationen,.,,,
2023,Anzahl,Nationale Klassifikation,Erhaltungspopulationen,,,,16.0
2010,Anzahl,Nationale Klassifikation,Phänotypische Erhaltungspopulationen,.,,,
2011,Anzahl,Nationale Klassifikation,Phänotypische Erhaltungspopulationen,,,,5.0
2012,Anzahl,Nationale Klassifikation,Phänotypische Erhaltungspopulationen,.,,,
2013,Anzahl,Nationale Klassifikation,Phänotypische Erhaltungspopulationen,,,,5.0
2014,Anzahl,Nationale Klassifikation,Phänotypische Erhaltungspopulationen,.,,,
2015,Anzahl,Nationale Klassifikation,Phänotypische Erhaltungspopulationen,,,,5.0
2016,Anzahl,Nationale Klassifikation,Phänotypische Erhaltungspopulationen,.,,,
2017,Anzahl,Nationale Klassifikation,Phänotypische Erhaltungspopulationen,,,,5.0
2018,Anzahl,Nationale Klassifikation,Phänotypische Erhaltungspopulationen,.,,,
2019,Anzahl,Nationale Klassifikation,Phänotypische Erhaltungspopulationen,,,,6.0
2020,Anzahl,Nationale Klassifikation,Phänotypische Erhaltungspopulationen,.,,,
2021,Anzahl,Nationale Klassifikation,Phänotypische Erhaltungspopulationen,,,,7.0
2022,Anzahl,Nationale Klassifikation,Phänotypische Erhaltungspopulationen,.,,,
2023,Anzahl,Nationale Klassifikation,Phänotypische Erhaltungspopulationen,,,,7.0
