Year,Substanz,Geschlecht,Value
2010,Drogen,,37107
2011,Drogen,,36848
2012,Drogen,,36166
2013,Drogen,,40556
2014,Drogen,,49795
2015,Drogen,,51919
2016,Drogen,,52621
2017,Drogen,,51806
2010,Drogen,Weiblich,10451
2011,Drogen,Weiblich,10607
2012,Drogen,Weiblich,10600
2013,Drogen,Weiblich,11290
2014,Drogen,Weiblich,13280
2015,Drogen,Weiblich,13230
2016,Drogen,Weiblich,13303
2017,Drogen,Weiblich,12881
2010,Drogen,Männlich,26656
2011,Drogen,Männlich,26241
2012,Drogen,Männlich,25566
2013,Drogen,Männlich,29266
2014,Drogen,Männlich,36515
2015,Drogen,Männlich,38689
2016,Drogen,Männlich,39318
2017,Drogen,Männlich,38925
2010,b) alcohol and other psychoactive substances,,191512
2011,b) alcohol and other psychoactive substances,,192159
2012,b) alcohol and other psychoactive substances,,195976
2013,b) alcohol and other psychoactive substances,,194412
2014,b) alcohol and other psychoactive substances,,185305
2015,b) alcohol and other psychoactive substances,,176185
2016,b) alcohol and other psychoactive substances,,170467
2017,b) alcohol and other psychoactive substances,,165834
2010,b) alcohol and other psychoactive substances,Weiblich,49139
2011,b) alcohol and other psychoactive substances,Weiblich,50796
2012,b) alcohol and other psychoactive substances,Weiblich,52487
2013,b) alcohol and other psychoactive substances,Weiblich,51211
2014,b) alcohol and other psychoactive substances,Weiblich,49460
2015,b) alcohol and other psychoactive substances,Weiblich,46377
2016,b) alcohol and other psychoactive substances,Weiblich,44589
2017,b) alcohol and other psychoactive substances,Weiblich,43574
2010,b) alcohol and other psychoactive substances,Männlich,142373
2011,b) alcohol and other psychoactive substances,Männlich,141363
2012,b) alcohol and other psychoactive substances,Männlich,143488
2013,b) alcohol and other psychoactive substances,Männlich,143201
2014,b) alcohol and other psychoactive substances,Männlich,135845
2015,b) alcohol and other psychoactive substances,Männlich,129808
2016,b) alcohol and other psychoactive substances,Männlich,125878
2017,b) alcohol and other psychoactive substances,Männlich,122260
2012,b) alcohol and other psychoactive substances,Unbekannt,1
