Year,Units,Zeitreihe,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von polizeilich erfassten Straßenverkehrsunfällen,,,,,,4.5
2011,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von polizeilich erfassten Straßenverkehrsunfällen,,,,,,5.0
2012,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von polizeilich erfassten Straßenverkehrsunfällen,,,,,,4.5
2013,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von polizeilich erfassten Straßenverkehrsunfällen,,,,,,4.1
2014,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von polizeilich erfassten Straßenverkehrsunfällen,,,,,,4.2
2015,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von polizeilich erfassten Straßenverkehrsunfällen,,,,,,4.2
2016,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von polizeilich erfassten Straßenverkehrsunfällen,,,,,,3.9
2017,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von polizeilich erfassten Straßenverkehrsunfällen,,,,,,3.8
2018,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von polizeilich erfassten Straßenverkehrsunfällen,,,,,,4.0
2019,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von polizeilich erfassten Straßenverkehrsunfällen,,,,,,3.7
2020,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von polizeilich erfassten Straßenverkehrsunfällen,,,,,,3.3
2021,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von polizeilich erfassten Straßenverkehrsunfällen,,,,,,3.1
2022,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von polizeilich erfassten Straßenverkehrsunfällen,,,,,,3.3
2023,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von polizeilich erfassten Straßenverkehrsunfällen,,,,,,3.4
2024,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von polizeilich erfassten Straßenverkehrsunfällen,,,p,,,3.3
2010,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,,,,,
2011,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,,,,,
2012,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,,,,,
2013,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,,,,,
2014,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,,,,,
2015,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,,,,,
2016,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,,,,,
2017,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,,,,,
2018,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,,,,,
2019,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,,,,,
2020,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,,,,,
2021,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,,,,,
2022,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,,,,,
2023,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,,,,,
2024,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,,,,,,
2010,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,14 Jahre und jünger,,,,,
2011,Je 100 000 Einwohner/-innen,Sterblichkeit infolge von Straßenverkehrsunfällen,14 Jahre und jünger,,,,,
