Year,Ausbildungsgrad,Geschlecht,COMMENT_OBS_0,Value
2022,Abgeschlossene Sekundarstufe I,,.,
2023,Abgeschlossene Sekundarstufe I,,p,91.3
2024,Abgeschlossene Sekundarstufe I,,…,
2022,Abgeschlossene Sekundarstufe I,Weiblich,.,
2023,Abgeschlossene Sekundarstufe I,Weiblich,p,92.6
2024,Abgeschlossene Sekundarstufe I,Weiblich,…,
2022,Abgeschlossene Sekundarstufe I,Männlich,.,
2023,Abgeschlossene Sekundarstufe I,Männlich,p,90.0
2024,Abgeschlossene Sekundarstufe I,Männlich,…,
2022,Abgeschlossene Sekundarstufe II,,.,
2023,Abgeschlossene Sekundarstufe II,,p,77.1
2024,Abgeschlossene Sekundarstufe II,,…,
2022,Abgeschlossene Sekundarstufe II,Weiblich,.,
2023,Abgeschlossene Sekundarstufe II,Weiblich,p,80.6
2024,Abgeschlossene Sekundarstufe II,Weiblich,…,
2022,Abgeschlossene Sekundarstufe II,Männlich,.,
2023,Abgeschlossene Sekundarstufe II,Männlich,p,73.9
2024,Abgeschlossene Sekundarstufe II,Männlich,…,
