Year,Units,Zeitreihe,Art der öffentlichen Entwicklungsleistung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Millionen EUR,Kalkulatorische Studienplatzkosten,Zusagen,,,,669.645
2011,Millionen EUR,Kalkulatorische Studienplatzkosten,Zusagen,,,,665.131
2012,Millionen EUR,Kalkulatorische Studienplatzkosten,Zusagen,,,,690.405
2013,Millionen EUR,Kalkulatorische Studienplatzkosten,Zusagen,,,,670.771
2014,Millionen EUR,Kalkulatorische Studienplatzkosten,Zusagen,,,,739.829
2015,Millionen EUR,Kalkulatorische Studienplatzkosten,Zusagen,,,,845.527
2016,Millionen EUR,Kalkulatorische Studienplatzkosten,Zusagen,,,,904.583
2017,Millionen EUR,Kalkulatorische Studienplatzkosten,Zusagen,,,,998.585
2018,Millionen EUR,Kalkulatorische Studienplatzkosten,Zusagen,,,,1121.055
2019,Millionen EUR,Kalkulatorische Studienplatzkosten,Zusagen,,,,1318.333
2020,Millionen EUR,Kalkulatorische Studienplatzkosten,Zusagen,,,,1488.856
2021,Millionen EUR,Kalkulatorische Studienplatzkosten,Zusagen,,,,1669.123
2022,Millionen EUR,Kalkulatorische Studienplatzkosten,Zusagen,,,,1779.444
2023,Millionen EUR,Kalkulatorische Studienplatzkosten,Zusagen,,,,1980.449
2024,Millionen EUR,Kalkulatorische Studienplatzkosten,Zusagen,,,,2196.572
2010,Millionen EUR,Stipendien,Zusagen,,,,134.336
2011,Millionen EUR,Stipendien,Zusagen,,,,129.642
2012,Millionen EUR,Stipendien,Zusagen,,,,116.643
2013,Millionen EUR,Stipendien,Zusagen,,,,100.763
2014,Millionen EUR,Stipendien,Zusagen,,,,64.74
2015,Millionen EUR,Stipendien,Zusagen,,,,85.092
2016,Millionen EUR,Stipendien,Zusagen,,,,75.084
2017,Millionen EUR,Stipendien,Zusagen,,,,63.658
2018,Millionen EUR,Stipendien,Zusagen,,,,65.25
2019,Millionen EUR,Stipendien,Zusagen,,,,67.675
2020,Millionen EUR,Stipendien,Zusagen,,,,70.268
2021,Millionen EUR,Stipendien,Zusagen,,,,45.284
2022,Millionen EUR,Stipendien,Zusagen,,,,28.668
2023,Millionen EUR,Stipendien,Zusagen,,,,17.728
2024,Millionen EUR,Stipendien,Zusagen,,,,17.614
2010,Millionen EUR,Kalkulatorische Studienplatzkosten,Bruttoentwicklungsausgaben,,,,669.645
2011,Millionen EUR,Kalkulatorische Studienplatzkosten,Bruttoentwicklungsausgaben,,,,665.131
2012,Millionen EUR,Kalkulatorische Studienplatzkosten,Bruttoentwicklungsausgaben,,,,690.405
