Year,Units,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Anzahl,Weiblich,.,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,
2011,Anzahl,Weiblich,.,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,
2012,Anzahl,Weiblich,.,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,
2013,Anzahl,Weiblich,.,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,
2014,Anzahl,Weiblich,‒,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,0.0
2015,Anzahl,Weiblich,‒,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,0.0
2016,Anzahl,Weiblich,‒,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,0.0
2017,Anzahl,Weiblich,‒,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,0.0
2018,Anzahl,Weiblich,,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,5.0
2019,Anzahl,Weiblich,,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,2.0
2020,Anzahl,Weiblich,‒,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,0.0
2021,Anzahl,Weiblich,,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,4.0
2022,Anzahl,Weiblich,,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,3.0
2023,Anzahl,Weiblich,,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,3.0
2024,Anzahl,Weiblich,,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,1.0
2010,Je 100 000 Einwohner/-innen,Weiblich,.,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,
2011,Je 100 000 Einwohner/-innen,Weiblich,.,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,
2012,Je 100 000 Einwohner/-innen,Weiblich,.,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,
2013,Je 100 000 Einwohner/-innen,Weiblich,.,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,
2014,Je 100 000 Einwohner/-innen,Weiblich,‒,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,0.0
2015,Je 100 000 Einwohner/-innen,Weiblich,‒,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,0.0
2016,Je 100 000 Einwohner/-innen,Weiblich,‒,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,0.0
2017,Je 100 000 Einwohner/-innen,Weiblich,‒,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,0.0
2018,Je 100 000 Einwohner/-innen,Weiblich,,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,0.012
2019,Je 100 000 Einwohner/-innen,Weiblich,,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,0.005
2020,Je 100 000 Einwohner/-innen,Weiblich,‒,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,0.0
2021,Je 100 000 Einwohner/-innen,Weiblich,,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,0.009
2022,Je 100 000 Einwohner/-innen,Weiblich,,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,0.007
2023,Je 100 000 Einwohner/-innen,Weiblich,,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,0.007
2024,Je 100 000 Einwohner/-innen,Weiblich,|,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,0.002
2010,Prozent,Weiblich,.,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,
2011,Prozent,Weiblich,.,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,
2012,Prozent,Weiblich,.,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,
2013,Prozent,Weiblich,.,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,
2014,Prozent,Weiblich,‒,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,0.0
2015,Prozent,Weiblich,‒,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,0.0
2016,Prozent,Weiblich,‒,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,0.0
2017,Prozent,Weiblich,‒,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,0.0
2018,Prozent,Weiblich,0,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,0.0
2019,Prozent,Weiblich,0,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,0.0
2020,Prozent,Weiblich,‒,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,0.0
2021,Prozent,Weiblich,0,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,0.0
2022,Prozent,Weiblich,0,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,0.0
2023,Prozent,Weiblich,0,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,0.0
2024,Prozent,Weiblich,0,,,Polizeilich erfasste Fälle von weiblicher Genitalverstümmelung,0.0
2010,Anzahl,,.,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),
2011,Anzahl,,.,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),
2012,Anzahl,,.,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),
2013,Anzahl,,.,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),
2014,Anzahl,,.,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),
2015,Anzahl,,.,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),
2016,Anzahl,,,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),65.0
2017,Anzahl,,,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),65.0
2018,Anzahl,,,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),83.0
2019,Anzahl,,,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),84.0
2020,Anzahl,,,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),84.0
2021,Anzahl,,,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),83.0
2022,Anzahl,,,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),81.0
2023,Anzahl,,,,,Diagnosen von weiblicher Genitalverstümmelung in Krankenhäusern (Eigenanamnese),114.0
