Year,Units,Art des Abwassers,Behandlung,Series,Value
2010,Prozent,,,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",100
2011,Prozent,,,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",100
2012,Prozent,,,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",100
2013,Prozent,,,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",100
2014,Prozent,,,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",100
2015,Prozent,,,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",100
2016,Prozent,,,"Abwasser, das sicher behandelt wird oder nicht behandlungsbedürftig ist",100
2010,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,,Abwasser und Kühlwasser,11202690
2013,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,,Abwasser und Kühlwasser,10912539
2016,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,,Abwasser und Kühlwasser,10618410
2010,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Unbehandeltes Abwasser,Abwasser und Kühlwasser,1568324
2013,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Unbehandeltes Abwasser,Abwasser und Kühlwasser,1513440
2016,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Unbehandeltes Abwasser,Abwasser und Kühlwasser,1510666
2010,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Behandeltes Abwasser,Abwasser und Kühlwasser,9634366
2013,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Behandeltes Abwasser,Abwasser und Kühlwasser,9399099
2016,1 000 m³,Gesamtes produziertes Abwasser aus öffentlicher und nichtöffentlicher Entsorgung,Behandeltes Abwasser,Abwasser und Kühlwasser,9107744
2010,1 000 m³,Kühlwasser,,Abwasser und Kühlwasser,24153706
2013,1 000 m³,Kühlwasser,,Abwasser und Kühlwasser,16582729
2016,1 000 m³,Kühlwasser,,Abwasser und Kühlwasser,15725418
