Year,Wirtschaftszweig,Value
2010,,
2011,,9.6
2012,,7.9
2013,,7.4
2014,,2.8
2015,,7.2
2016,,6.1
2017,,12.3
2018,,6.2
2019,,7.8
2010,"Land- und Forstwirtschaft, Fischerei",
2011,"Land- und Forstwirtschaft, Fischerei",23.8
2012,"Land- und Forstwirtschaft, Fischerei",6.1
2013,"Land- und Forstwirtschaft, Fischerei",5.9
2014,"Land- und Forstwirtschaft, Fischerei",6.8
2015,"Land- und Forstwirtschaft, Fischerei",-10.0
2016,"Land- und Forstwirtschaft, Fischerei",7.9
2017,"Land- und Forstwirtschaft, Fischerei",3.4
2018,"Land- und Forstwirtschaft, Fischerei",-20.2
2019,"Land- und Forstwirtschaft, Fischerei",-14.5
2010,MIMEC,
2011,MIMEC,12.6
2012,MIMEC,11.5
2013,MIMEC,8.4
2014,MIMEC,2.2
2015,MIMEC,9.2
2016,MIMEC,8.3
2017,MIMEC,6.1
2018,MIMEC,8.6
2019,MIMEC,8.9
2010,Dienstleistungen,
2011,Dienstleistungen,6.7
2012,Dienstleistungen,2.9
2013,Dienstleistungen,1.6
2014,Dienstleistungen,5.9
2015,Dienstleistungen,5.5
2016,Dienstleistungen,3.9
2017,Dienstleistungen,7.5
2018,Dienstleistungen,4.4
2019,Dienstleistungen,5.3
