Year,Wirtschaftszweig,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,,,,,Wasserentnahme,18.949
2011,,,,,Wasserentnahme,17.509
2012,,,,,Wasserentnahme,15.956
2013,,,,,Wasserentnahme,15.188
2014,,,,,Wasserentnahme,15.214
2015,,,,,Wasserentnahme,14.56
2016,,,,,Wasserentnahme,14.464
2017,,,,,Wasserentnahme,13.374
2018,,,,,Wasserentnahme,13.333
2019,,,,,Wasserentnahme,12.993
2020,,,,,Wasserentnahme,13.225
2021,,,,,Wasserentnahme,12.097
2022,,,,,Wasserentnahme,11.723
2010,"Land- und Forstwirtschaft, Fischerei (WZ-Abschnitt A)",,,,water withdrawl by economic activity,1.979
2011,"Land- und Forstwirtschaft, Fischerei (WZ-Abschnitt A)",,,,water withdrawl by economic activity,2.47
2012,"Land- und Forstwirtschaft, Fischerei (WZ-Abschnitt A)",,,,water withdrawl by economic activity,2.735
2013,"Land- und Forstwirtschaft, Fischerei (WZ-Abschnitt A)",,,,water withdrawl by economic activity,2.751
2014,"Land- und Forstwirtschaft, Fischerei (WZ-Abschnitt A)",,,,water withdrawl by economic activity,2.906
2015,"Land- und Forstwirtschaft, Fischerei (WZ-Abschnitt A)",,,,water withdrawl by economic activity,3.439
2016,"Land- und Forstwirtschaft, Fischerei (WZ-Abschnitt A)",,,,water withdrawl by economic activity,3.264
2017,"Land- und Forstwirtschaft, Fischerei (WZ-Abschnitt A)",,,,water withdrawl by economic activity,3.542
2018,"Land- und Forstwirtschaft, Fischerei (WZ-Abschnitt A)",,,,water withdrawl by economic activity,4.556
2019,"Land- und Forstwirtschaft, Fischerei (WZ-Abschnitt A)",,,,water withdrawl by economic activity,4.408
2020,"Land- und Forstwirtschaft, Fischerei (WZ-Abschnitt A)",,,,water withdrawl by economic activity,4.396
2021,"Land- und Forstwirtschaft, Fischerei (WZ-Abschnitt A)",,,,water withdrawl by economic activity,3.737
2022,"Land- und Forstwirtschaft, Fischerei (WZ-Abschnitt A)",,,,water withdrawl by economic activity,5.16
2010,"Bergbau, verarbeitendes Gewerbe, Energieversorgung und Baugewerbe (WZ-Abschnitt B, C, D und F)",,,,water withdrawl by economic activity,75.898
2011,"Bergbau, verarbeitendes Gewerbe, Energieversorgung und Baugewerbe (WZ-Abschnitt B, C, D und F)",,,,water withdrawl by economic activity,73.682
2012,"Bergbau, verarbeitendes Gewerbe, Energieversorgung und Baugewerbe (WZ-Abschnitt B, C, D und F)",,,,water withdrawl by economic activity,71.087
2013,"Bergbau, verarbeitendes Gewerbe, Energieversorgung und Baugewerbe (WZ-Abschnitt B, C, D und F)",,,,water withdrawl by economic activity,69.247
2014,"Bergbau, verarbeitendes Gewerbe, Energieversorgung und Baugewerbe (WZ-Abschnitt B, C, D und F)",,,,water withdrawl by economic activity,69.284
2015,"Bergbau, verarbeitendes Gewerbe, Energieversorgung und Baugewerbe (WZ-Abschnitt B, C, D und F)",,,,water withdrawl by economic activity,67.391
2016,"Bergbau, verarbeitendes Gewerbe, Energieversorgung und Baugewerbe (WZ-Abschnitt B, C, D und F)",,,,water withdrawl by economic activity,66.817
2017,"Bergbau, verarbeitendes Gewerbe, Energieversorgung und Baugewerbe (WZ-Abschnitt B, C, D und F)",,,,water withdrawl by economic activity,64.893
2018,"Bergbau, verarbeitendes Gewerbe, Energieversorgung und Baugewerbe (WZ-Abschnitt B, C, D und F)",,,,water withdrawl by economic activity,63.221
2019,"Bergbau, verarbeitendes Gewerbe, Energieversorgung und Baugewerbe (WZ-Abschnitt B, C, D und F)",,,,water withdrawl by economic activity,62.045
2020,"Bergbau, verarbeitendes Gewerbe, Energieversorgung und Baugewerbe (WZ-Abschnitt B, C, D und F)",,,,water withdrawl by economic activity,63.135
2021,"Bergbau, verarbeitendes Gewerbe, Energieversorgung und Baugewerbe (WZ-Abschnitt B, C, D und F)",,,,water withdrawl by economic activity,61.558
2022,"Bergbau, verarbeitendes Gewerbe, Energieversorgung und Baugewerbe (WZ-Abschnitt B, C, D und F)",,,,water withdrawl by economic activity,58.753
2010,"Andere Dienstleistungen (WZ-Abschnitte E, G bis T)",,,,water withdrawl by economic activity,21.001
2011,"Andere Dienstleistungen (WZ-Abschnitte E, G bis T)",,,,water withdrawl by economic activity,22.67
2012,"Andere Dienstleistungen (WZ-Abschnitte E, G bis T)",,,,water withdrawl by economic activity,24.857
2013,"Andere Dienstleistungen (WZ-Abschnitte E, G bis T)",,,,water withdrawl by economic activity,26.531
2014,"Andere Dienstleistungen (WZ-Abschnitte E, G bis T)",,,,water withdrawl by economic activity,26.539
2015,"Andere Dienstleistungen (WZ-Abschnitte E, G bis T)",,,,water withdrawl by economic activity,27.968
2016,"Andere Dienstleistungen (WZ-Abschnitte E, G bis T)",,,,water withdrawl by economic activity,28.763
2017,"Andere Dienstleistungen (WZ-Abschnitte E, G bis T)",,,,water withdrawl by economic activity,30.437
2018,"Andere Dienstleistungen (WZ-Abschnitte E, G bis T)",,,,water withdrawl by economic activity,31.114
2019,"Andere Dienstleistungen (WZ-Abschnitte E, G bis T)",,,,water withdrawl by economic activity,32.32
2020,"Andere Dienstleistungen (WZ-Abschnitte E, G bis T)",,,,water withdrawl by economic activity,31.567
2021,"Andere Dienstleistungen (WZ-Abschnitte E, G bis T)",,,,water withdrawl by economic activity,33.953
2022,"Andere Dienstleistungen (WZ-Abschnitte E, G bis T)",,,,water withdrawl by economic activity,35.459
