Year,Units,Art des Finanzstroms,Art der öffentlichen Entwicklungsleistung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,5679.857
2011,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,3622.443
2012,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,4731.998
2013,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,5060.298
2014,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,5633.437
2015,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,9994.227
2016,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,7494.979
2017,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,7520.897
2018,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,5641.047
2019,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,6476.748
2020,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,4719.889
2021,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,5164.704
2022,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,8564.408
2023,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,6690.262
2024,Millionen EUR,Öffentliche Entwicklungsleistungen,Zusagen,,,,5667.85
2010,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,3256.424
2011,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,2756.391
2012,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,3160.415
2013,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,3368.235
2014,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,3225.645
2015,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,5739.481
2016,Millionen EUR,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,5437.674
