Year,Kontenart,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,…,,,
2011,,…,,,
2012,,…,,,
2013,,…,,,
2014,,…,,,
2015,,…,,,
2016,,…,,,
2017,,…,,,
2018,,…,,,
2019,,…,,,
2020,,,,,1336699.0
2021,,,,,1457238.0
2022,,,,,1514878.0
2023,,,,,1541245.0
2010,Online-Konten,…,,,
2011,Online-Konten,…,,,
2012,Online-Konten,…,,,
2013,Online-Konten,…,,,
2014,Online-Konten,…,,,
2015,Online-Konten,…,,,
2016,Online-Konten,…,,,
2017,Online-Konten,…,,,
2018,Online-Konten,…,,,
2019,Online-Konten,…,,,
2020,Online-Konten,…,,,
2021,Online-Konten,…,,,
2022,Online-Konten,,,,25222.0
2023,Online-Konten,,,,25745.0
2010,Girokonten,…,,,
2011,Girokonten,…,,,
2012,Girokonten,…,,,
2013,Girokonten,…,,,
2014,Girokonten,…,,,
2015,Girokonten,…,,,
2016,Girokonten,…,,,
2017,Girokonten,…,,,
2018,Girokonten,…,,,
2019,Girokonten,…,,,
2020,Girokonten,…,,,
2021,Girokonten,…,,,
2022,Girokonten,,,,194485.0
2023,Girokonten,,,,205032.0
