Year,Tourismuswirtschaftsbereich,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,.,,,time series of the indicator: employed persons,
2011,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,.,,,time series of the indicator: employed persons,
2012,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,.,,,time series of the indicator: employed persons,
2013,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,.,,,time series of the indicator: employed persons,
2014,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,.,,,time series of the indicator: employed persons,
2015,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,.,,,time series of the indicator: employed persons,
2016,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,.,,,time series of the indicator: employed persons,
2017,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,.,,,time series of the indicator: employed persons,
2018,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,.,,,time series of the indicator: employed persons,
2019,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,.,,,time series of the indicator: employed persons,
2020,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,,,,time series of the indicator: employed persons,433154.0
2021,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,,,,time series of the indicator: employed persons,458101.0
2022,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,,,,time series of the indicator: employed persons,493938.0
2023,Beherbergung von Besuchern: Hotels und ähnliche Einrichtungen,,,,time series of the indicator: employed persons,498001.0
2010,Beherbergung von Besuchern: Sonstige,.,,,time series of the indicator: employed persons,
2011,Beherbergung von Besuchern: Sonstige,.,,,time series of the indicator: employed persons,
2012,Beherbergung von Besuchern: Sonstige,.,,,time series of the indicator: employed persons,
2013,Beherbergung von Besuchern: Sonstige,.,,,time series of the indicator: employed persons,
2014,Beherbergung von Besuchern: Sonstige,.,,,time series of the indicator: employed persons,
2015,Beherbergung von Besuchern: Sonstige,.,,,time series of the indicator: employed persons,
2016,Beherbergung von Besuchern: Sonstige,.,,,time series of the indicator: employed persons,
2017,Beherbergung von Besuchern: Sonstige,.,,,time series of the indicator: employed persons,
2018,Beherbergung von Besuchern: Sonstige,.,,,time series of the indicator: employed persons,
2019,Beherbergung von Besuchern: Sonstige,.,,,time series of the indicator: employed persons,
2020,Beherbergung von Besuchern: Sonstige,,,,time series of the indicator: employed persons,521462.0
2021,Beherbergung von Besuchern: Sonstige,,,,time series of the indicator: employed persons,691160.0
2022,Beherbergung von Besuchern: Sonstige,,,,time series of the indicator: employed persons,667494.0
2023,Beherbergung von Besuchern: Sonstige,,,,time series of the indicator: employed persons,664668.0
2010,Speisen und sonstige Verpflegungsdienstleistungen,.,,,time series of the indicator: employed persons,
2011,Speisen und sonstige Verpflegungsdienstleistungen,.,,,time series of the indicator: employed persons,
2012,Speisen und sonstige Verpflegungsdienstleistungen,.,,,time series of the indicator: employed persons,
2013,Speisen und sonstige Verpflegungsdienstleistungen,.,,,time series of the indicator: employed persons,
2014,Speisen und sonstige Verpflegungsdienstleistungen,.,,,time series of the indicator: employed persons,
2015,Speisen und sonstige Verpflegungsdienstleistungen,.,,,time series of the indicator: employed persons,
2016,Speisen und sonstige Verpflegungsdienstleistungen,.,,,time series of the indicator: employed persons,
2017,Speisen und sonstige Verpflegungsdienstleistungen,.,,,time series of the indicator: employed persons,
2018,Speisen und sonstige Verpflegungsdienstleistungen,.,,,time series of the indicator: employed persons,
2019,Speisen und sonstige Verpflegungsdienstleistungen,.,,,time series of the indicator: employed persons,
2020,Speisen und sonstige Verpflegungsdienstleistungen,,,,time series of the indicator: employed persons,1336699.0
2021,Speisen und sonstige Verpflegungsdienstleistungen,,,,time series of the indicator: employed persons,1457238.0
2022,Speisen und sonstige Verpflegungsdienstleistungen,,,,time series of the indicator: employed persons,1514878.0
2023,Speisen und sonstige Verpflegungsdienstleistungen,,,,time series of the indicator: employed persons,1541245.0
2022,Personenbeförderung im Eisenbahnfernverkehr,,,,time series of the indicator: employed persons,25222.0
2023,Personenbeförderung im Eisenbahnfernverkehr,,,,time series of the indicator: employed persons,25745.0
2022,Personenbeförderung im Straßenverkehr,,,,time series of the indicator: employed persons,194485.0
2023,Personenbeförderung im Straßenverkehr,,,,time series of the indicator: employed persons,205032.0
2010,Personenbeförderung in der Schifffahrt,.,,,time series of the indicator: employed persons,
2011,Personenbeförderung in der Schifffahrt,.,,,time series of the indicator: employed persons,
2012,Personenbeförderung in der Schifffahrt,.,,,time series of the indicator: employed persons,
2013,Personenbeförderung in der Schifffahrt,.,,,time series of the indicator: employed persons,
2014,Personenbeförderung in der Schifffahrt,.,,,time series of the indicator: employed persons,
2015,Personenbeförderung in der Schifffahrt,.,,,time series of the indicator: employed persons,
2016,Personenbeförderung in der Schifffahrt,.,,,time series of the indicator: employed persons,
2017,Personenbeförderung in der Schifffahrt,.,,,time series of the indicator: employed persons,
2018,Personenbeförderung in der Schifffahrt,.,,,time series of the indicator: employed persons,
2019,Personenbeförderung in der Schifffahrt,.,,,time series of the indicator: employed persons,
2020,Personenbeförderung in der Schifffahrt,,,,time series of the indicator: employed persons,8614.0
2021,Personenbeförderung in der Schifffahrt,,,,time series of the indicator: employed persons,8756.0
