Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Prozent,…,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,
2011,Prozent,…,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,
2012,Prozent,…,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,
2013,Prozent,…,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,
2014,Prozent,…,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,
2015,Prozent,…,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,
2016,Prozent,…,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,
2017,Prozent,…,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,
2018,Prozent,…,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,
2019,Prozent,…,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,
2020,Prozent,,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,289724.0
2021,Prozent,,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,345255.0
2022,Prozent,,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,353567.0
2023,Prozent,,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zum BIP,353567.0
2010,Prozent,…,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zur Bruttowertschöpfung insgesamt,
2011,Prozent,…,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zur Bruttowertschöpfung insgesamt,
2012,Prozent,…,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zur Bruttowertschöpfung insgesamt,
2013,Prozent,…,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zur Bruttowertschöpfung insgesamt,
2014,Prozent,…,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zur Bruttowertschöpfung insgesamt,
2015,Prozent,…,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zur Bruttowertschöpfung insgesamt,
2016,Prozent,…,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zur Bruttowertschöpfung insgesamt,
2017,Prozent,…,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zur Bruttowertschöpfung insgesamt,
2018,Prozent,…,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zur Bruttowertschöpfung insgesamt,
2019,Prozent,…,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zur Bruttowertschöpfung insgesamt,
2020,Prozent,,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zur Bruttowertschöpfung insgesamt,270579.0
2021,Prozent,,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zur Bruttowertschöpfung insgesamt,406427.0
2022,Prozent,,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zur Bruttowertschöpfung insgesamt,377342.0
2023,Prozent,,,,Bruttowertschöpfung im Verarbeitenden Gewerbe im Verhältnis zur Bruttowertschöpfung insgesamt,374218.0
2010,EUR,…,,,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,
2011,EUR,…,,,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,
2012,EUR,…,,,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,
2013,EUR,…,,,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,
2014,EUR,…,,,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,
2015,EUR,…,,,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,
2016,EUR,…,,,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,
2017,EUR,…,,,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,
2018,EUR,…,,,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,
2019,EUR,…,,,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,
2020,EUR,,,,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,743998.0
2021,EUR,,,,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,1072961.0
2022,EUR,,,,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,925027.0
2023,EUR,,,,Bruttowertschöpfung im Verarbeitenden Gewerbe pro Kopf,932114.0
