Year,Value,Units
2021,2.8,Millionen EUR
2022,67.0,Millionen EUR
2023,96.9,Millionen EUR
2024,99.3,Millionen EUR
2010,9.4,"Millionen USD, konstante Preise (2023)"
2011,8.0,"Millionen USD, konstante Preise (2023)"
2012,7.8,"Millionen USD, konstante Preise (2023)"
2013,7.2,"Millionen USD, konstante Preise (2023)"
2014,8.2,"Millionen USD, konstante Preise (2023)"
2015,7.8,"Millionen USD, konstante Preise (2023)"
2016,7.8,"Millionen USD, konstante Preise (2023)"
2017,6.9,"Millionen USD, konstante Preise (2023)"
2018,7.6,"Millionen USD, konstante Preise (2023)"
2019,5.7,"Millionen USD, konstante Preise (2023)"
2021,9.3,"Millionen USD, konstante Preise (2023)"
2022,7.5,"Millionen USD, konstante Preise (2023)"
2023,7.5,"Millionen USD, konstante Preise (2023)"
2024,7.8,"Millionen USD, konstante Preise (2023)"
