Year,Value,Units
2010,2721.296204,"Millionen USD, konstante Preise (2023)"
2011,2441.757211,"Millionen USD, konstante Preise (2023)"
2012,1993.620085,"Millionen USD, konstante Preise (2023)"
2013,2553.43237,"Millionen USD, konstante Preise (2023)"
2014,2017.591427,"Millionen USD, konstante Preise (2023)"
2015,3854.376718,"Millionen USD, konstante Preise (2023)"
2016,3984.932619,"Millionen USD, konstante Preise (2023)"
2017,3591.517135,"Millionen USD, konstante Preise (2023)"
2018,4116.074411,"Millionen USD, konstante Preise (2023)"
2019,4222.763177,"Millionen USD, konstante Preise (2023)"
2020,4053.46495,"Millionen USD, konstante Preise (2023)"
2021,3341.49764,"Millionen USD, konstante Preise (2023)"
2022,4077.529789,"Millionen USD, konstante Preise (2023)"
2023,3998.064433,"Millionen USD, konstante Preise (2023)"
2024,4951.160484,"Millionen USD, konstante Preise (2023)"
2010,1843.74611618612,Millionen EUR
2011,1674.6722601185,Millionen EUR
2012,1386.991213624,Millionen EUR
2013,1811.87208972479,Millionen EUR
2014,1458.81371419287,Millionen EUR
2015,2833.76159004032,Millionen EUR
2016,2966.75753643049,Millionen EUR
2017,2713.24852950291,Millionen EUR
2018,3167.48861022332,Millionen EUR
2019,3314.91717814391,Millionen EUR
2020,3238.01699825095,Millionen EUR
2021,2744.00327899115,Millionen EUR
2022,3552.67772316878,Millionen EUR
2023,3697.4099876384,Millionen EUR
2024,4729.36958626046,Millionen EUR
