Year,Value,Units,Series,COMMENT_OBS
2010,1242.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),r
2011,1357.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),r
2012,1279.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),r
2013,1273.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),r
2014,1286.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),r
2015,1238.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),r
2016,1291.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),r
2017,1318.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),r
2018,1319.0,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),
2010,15.5,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),r
2011,16.9,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),r
2012,15.9,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),r
2013,15.8,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),r
2014,15.9,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),r
2015,15.2,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),r
2016,15.7,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),r
2017,15.9,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),r
2018,15.9,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),
2010,109.1,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,r
2011,114.7,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,r
2012,107.6,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,r
2013,106.7,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,r
2014,105.4,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,r
2015,100.0,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,r
2016,102.0,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,r
2017,101.4,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,r
2018,100.5,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,
