Year,Value,Units,Series
2012,10.1,Kilogramm pro Kopf,a) Aufkommen gefährlicher Abfälle
2013,10.1,Kilogramm pro Kopf,a) Aufkommen gefährlicher Abfälle
2014,10.3,Kilogramm pro Kopf,a) Aufkommen gefährlicher Abfälle
2015,10.2,Kilogramm pro Kopf,a) Aufkommen gefährlicher Abfälle
2016,10.5,Kilogramm pro Kopf,a) Aufkommen gefährlicher Abfälle
2017,10.1,Kilogramm pro Kopf,a) Aufkommen gefährlicher Abfälle
2018,10.6,Kilogramm pro Kopf,a) Aufkommen gefährlicher Abfälle
2019,9.7,Kilogramm pro Kopf,a) Aufkommen gefährlicher Abfälle
2020,11.2,Kilogramm pro Kopf,a) Aufkommen gefährlicher Abfälle
2022,11.6,Kilogramm pro Kopf,a) Aufkommen gefährlicher Abfälle
2023,12.1,Kilogramm pro Kopf,a) Aufkommen gefährlicher Abfälle
2012,17.8,Prozent,b) Behandelte gefährliche Abfälle
2013,17.7,Prozent,b) Behandelte gefährliche Abfälle
2014,17.9,Prozent,b) Behandelte gefährliche Abfälle
2015,17.6,Prozent,b) Behandelte gefährliche Abfälle
2016,18.1,Prozent,b) Behandelte gefährliche Abfälle
2017,17.4,Prozent,b) Behandelte gefährliche Abfälle
2018,18.2,Prozent,b) Behandelte gefährliche Abfälle
2019,16.3,Prozent,b) Behandelte gefährliche Abfälle
2020,18.9,Prozent,b) Behandelte gefährliche Abfälle
2022,19.3,Prozent,b) Behandelte gefährliche Abfälle
2023,19.7,Prozent,b) Behandelte gefährliche Abfälle
