Year,Value,Series
2010,,"Staaten, die nationale Zielvorgaben gemäß oder ähnlich dem Aichi-Biodiversitätsziel 2 des Strategieplans für die biologische Vielfalt 2011-2020 in ihre nationalen Strategien und Aktionspläne zugunsten der biologischen Vielfalt aufgenommen haben"
2011,,"Staaten, die nationale Zielvorgaben gemäß oder ähnlich dem Aichi-Biodiversitätsziel 2 des Strategieplans für die biologische Vielfalt 2011-2020 in ihre nationalen Strategien und Aktionspläne zugunsten der biologischen Vielfalt aufgenommen haben"
2012,,"Staaten, die nationale Zielvorgaben gemäß oder ähnlich dem Aichi-Biodiversitätsziel 2 des Strategieplans für die biologische Vielfalt 2011-2020 in ihre nationalen Strategien und Aktionspläne zugunsten der biologischen Vielfalt aufgenommen haben"
2013,,"Staaten, die nationale Zielvorgaben gemäß oder ähnlich dem Aichi-Biodiversitätsziel 2 des Strategieplans für die biologische Vielfalt 2011-2020 in ihre nationalen Strategien und Aktionspläne zugunsten der biologischen Vielfalt aufgenommen haben"
2014,,"Staaten, die nationale Zielvorgaben gemäß oder ähnlich dem Aichi-Biodiversitätsziel 2 des Strategieplans für die biologische Vielfalt 2011-2020 in ihre nationalen Strategien und Aktionspläne zugunsten der biologischen Vielfalt aufgenommen haben"
2015,,"Staaten, die nationale Zielvorgaben gemäß oder ähnlich dem Aichi-Biodiversitätsziel 2 des Strategieplans für die biologische Vielfalt 2011-2020 in ihre nationalen Strategien und Aktionspläne zugunsten der biologischen Vielfalt aufgenommen haben"
2016,,"Staaten, die nationale Zielvorgaben gemäß oder ähnlich dem Aichi-Biodiversitätsziel 2 des Strategieplans für die biologische Vielfalt 2011-2020 in ihre nationalen Strategien und Aktionspläne zugunsten der biologischen Vielfalt aufgenommen haben"
2017,,"Staaten, die nationale Zielvorgaben gemäß oder ähnlich dem Aichi-Biodiversitätsziel 2 des Strategieplans für die biologische Vielfalt 2011-2020 in ihre nationalen Strategien und Aktionspläne zugunsten der biologischen Vielfalt aufgenommen haben"
2018,,"Staaten, die nationale Zielvorgaben gemäß oder ähnlich dem Aichi-Biodiversitätsziel 2 des Strategieplans für die biologische Vielfalt 2011-2020 in ihre nationalen Strategien und Aktionspläne zugunsten der biologischen Vielfalt aufgenommen haben"
2019,0.6,"Staaten, die nationale Zielvorgaben gemäß oder ähnlich dem Aichi-Biodiversitätsziel 2 des Strategieplans für die biologische Vielfalt 2011-2020 in ihre nationalen Strategien und Aktionspläne zugunsten der biologischen Vielfalt aufgenommen haben"
2020,,"Staaten, die nationale Zielvorgaben gemäß oder ähnlich dem Aichi-Biodiversitätsziel 2 des Strategieplans für die biologische Vielfalt 2011-2020 in ihre nationalen Strategien und Aktionspläne zugunsten der biologischen Vielfalt aufgenommen haben"
2021,,"Staaten, die nationale Zielvorgaben gemäß oder ähnlich dem Aichi-Biodiversitätsziel 2 des Strategieplans für die biologische Vielfalt 2011-2020 in ihre nationalen Strategien und Aktionspläne zugunsten der biologischen Vielfalt aufgenommen haben"
2010,,"Staaten mit integrierten Biodiversitätswerten in den Gesamtrechen- und berichtssystemen, definiert als die Umsetzung des Systems der Umweltökonomischen Gesamtrechnungen (UGR)"
2011,,"Staaten mit integrierten Biodiversitätswerten in den Gesamtrechen- und berichtssystemen, definiert als die Umsetzung des Systems der Umweltökonomischen Gesamtrechnungen (UGR)"
2012,,"Staaten mit integrierten Biodiversitätswerten in den Gesamtrechen- und berichtssystemen, definiert als die Umsetzung des Systems der Umweltökonomischen Gesamtrechnungen (UGR)"
2013,,"Staaten mit integrierten Biodiversitätswerten in den Gesamtrechen- und berichtssystemen, definiert als die Umsetzung des Systems der Umweltökonomischen Gesamtrechnungen (UGR)"
2014,,"Staaten mit integrierten Biodiversitätswerten in den Gesamtrechen- und berichtssystemen, definiert als die Umsetzung des Systems der Umweltökonomischen Gesamtrechnungen (UGR)"
2015,,"Staaten mit integrierten Biodiversitätswerten in den Gesamtrechen- und berichtssystemen, definiert als die Umsetzung des Systems der Umweltökonomischen Gesamtrechnungen (UGR)"
2016,,"Staaten mit integrierten Biodiversitätswerten in den Gesamtrechen- und berichtssystemen, definiert als die Umsetzung des Systems der Umweltökonomischen Gesamtrechnungen (UGR)"
2017,3.0,"Staaten mit integrierten Biodiversitätswerten in den Gesamtrechen- und berichtssystemen, definiert als die Umsetzung des Systems der Umweltökonomischen Gesamtrechnungen (UGR)"
2018,,"Staaten mit integrierten Biodiversitätswerten in den Gesamtrechen- und berichtssystemen, definiert als die Umsetzung des Systems der Umweltökonomischen Gesamtrechnungen (UGR)"
2019,,"Staaten mit integrierten Biodiversitätswerten in den Gesamtrechen- und berichtssystemen, definiert als die Umsetzung des Systems der Umweltökonomischen Gesamtrechnungen (UGR)"
2020,3.0,"Staaten mit integrierten Biodiversitätswerten in den Gesamtrechen- und berichtssystemen, definiert als die Umsetzung des Systems der Umweltökonomischen Gesamtrechnungen (UGR)"
2021,3.0,"Staaten mit integrierten Biodiversitätswerten in den Gesamtrechen- und berichtssystemen, definiert als die Umsetzung des Systems der Umweltökonomischen Gesamtrechnungen (UGR)"
