Year,Value,Series
2010,306.3,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2011,312.1,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2012,336.9,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2013,391.4,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2014,406.8,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2015,404.4,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2016,447.8,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2017,474.7,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2018,490.5,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2019,474.5,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2020,489.4,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2021,560.0,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2022,537.3,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2023,611.7,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2024,624.9,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten
2018,4.0,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes
2020,4.0,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes
2022,4.0,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes
2024,5.0,Beschlagnahmen durch Zollbehörden im Rahmen des Artenschutzes
2021,100.0,Genehmigte Ein- und Ausfuhren geschützter Arten
