Year,Value,Series
2010,98.4,Eigene und gepachtete landwirtschaftlich genutzte Flächen
2013,98.4,Eigene und gepachtete landwirtschaftlich genutzte Flächen
2016,98.1,Eigene und gepachtete landwirtschaftlich genutzte Flächen
2020,98.3,Eigene und gepachtete landwirtschaftlich genutzte Flächen
2023,98.2,Eigene und gepachtete landwirtschaftlich genutzte Flächen
2010,8.4,Weibliche Inhaber landwirtschaftlicher Betriebe der Rechtsform Einzelunternehmen
2013,8.6,Weibliche Inhaber landwirtschaftlicher Betriebe der Rechtsform Einzelunternehmen
2016,9.6,Weibliche Inhaber landwirtschaftlicher Betriebe der Rechtsform Einzelunternehmen
2020,10.9,Weibliche Inhaber landwirtschaftlicher Betriebe der Rechtsform Einzelunternehmen
2023,11.3,Weibliche Inhaber landwirtschaftlicher Betriebe der Rechtsform Einzelunternehmen
2010,91.3,Landwirtschaftliche Betriebe der Rechtsform Einzelunternehmen
2013,89.8,Landwirtschaftliche Betriebe der Rechtsform Einzelunternehmen
2016,88.6,Landwirtschaftliche Betriebe der Rechtsform Einzelunternehmen
2020,87.0,Landwirtschaftliche Betriebe der Rechtsform Einzelunternehmen
2023,85.4,Landwirtschaftliche Betriebe der Rechtsform Einzelunternehmen
