Indicator,Disaggregation combinations using this value
#1-2-2,5
#1-3-1,1
#10-1-1,2
#10-2-1,6
#10-3-1,1
#10-4-1,1
#10-4-2,3
#10-5-1,7
#10-7-3,1
#10-7-4,1
#10-b-1,4
#11-2-1,6
#11-3-1,8
#11-6-2,1
#11-7-2,8
#12-4-2,6
#12-5-1,4
#12-6-1,8
#12-c-1,6
#13-2-2,1
#14-5-1,6
#14-c-1,1
#15-1-2,1
#15-2-1,2
#15-4-1,1
#15-6-1,2
#15-7-1,1
#15-a-1,1
#15-c-1,2
#16-1-1,15
#16-1-2,1
#16-1-3,38
#16-1-4,35
#16-10-2,1
#16-2-1,8
#16-2-2,18
#16-3-1,45
#16-3-3,4
#16-4-2,1
#16-5-1,5
#16-5-2,1
#16-6-1,10
#16-6-2,1
#16-7-1,18
#16-7-2,4
#16-9-1,1
#16-a-1,1
#16-b-1,1
#17-1-1,1
#17-1-2,2
#17-13-1,5
#17-18-1,13
#17-18-2,1
#17-19-1,4
#17-19-2,3
#2-2-2,2
#2-4-1,19
#2-5-1,2
#2-5-2,7
#3-3-1,2
#3-3-5,1
#3-5-2,2
#3-8-2,2
#3-b-1,5
#3-c-1,1
#3-d-1,1
#4-1-1,4
#4-1-2,6
#4-4-1,24
#5-2-1,2
#5-2-2,2
#5-3-2,1
#5-5-2,1
#5-a-1,5
#5-a-2,1
#5-b-1,1
#6-1-1,1
#6-3-1,4
#6-4-1,4
#6-4-2,2
#8-9-1,1
#9-5-1,2
#9-c-1,3
