Indicator,Disaggregation combinations using this value
#1-2-2,1
#11-2-1,6
#11-7-2,45
#12-2-1,3
#12-2-2,3
#14-4-1,2
#14-5-1,4
#14-a-1,2
#14-c-1,1
#15-1-2,4
#15-2-1,3
#15-6-1,1
#15-a-1,4
#15-b-1,3
#16-1-1,3
#16-1-3,10
#16-1-4,4
#16-7-1,2
#17-15-1,1
#17-18-1,4
#17-6-1,1
#17-8-1,1
#2-4-1,8
#3-3-2,1
#3-3-3,1
#3-3-4,1
#3-3-5,3
#3-5-1,6
#3-9-2,1
#3-b-1,2
#3-c-1,3
#3-d-2,2
#4-b-1,2
#5-2-1,1
#5-2-2,2
#5-6-2,1
#5-b-1,1
#6-4-2,2
#7-2-1,1
#7-3-1,1
#8-4-1,3
#8-4-2,3
#8-5-2,2
#8-6-1,3
#8-9-1,1
#9-5-1,7
#9-a-1,1
#9-c-1,5
