Year,Units,Time series,Age group,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Number,Victims of non-sexual harassment,,,.,,,
2011,Number,Victims of non-sexual harassment,,,.,,,
2012,Number,Victims of non-sexual harassment,,,.,,,
2013,Number,Victims of non-sexual harassment,,,.,,,
2014,Number,Victims of non-sexual harassment,,,.,,,
2015,Number,Victims of non-sexual harassment,,,.,,,
2016,Number,Victims of non-sexual harassment,,,,,,70.9
2017,Number,Victims of non-sexual harassment,,,.,,,
2018,Number,Victims of non-sexual harassment,,,,,,71.7
2019,Number,Victims of non-sexual harassment,,,.,,,
2020,Number,Victims of non-sexual harassment,,,,,,73.6
2021,Number,Victims of non-sexual harassment,,,…,,,
2022,Number,Victims of non-sexual harassment,,,…,,,
2023,Number,Victims of non-sexual harassment,,,…,,,
2024,Number,Victims of non-sexual harassment,,,…,,,
2010,Number,Victims of non-sexual harassment,,Female,.,,,
2011,Number,Victims of non-sexual harassment,,Female,.,,,
2012,Number,Victims of non-sexual harassment,,Female,.,,,
2013,Number,Victims of non-sexual harassment,,Female,.,,,
2014,Number,Victims of non-sexual harassment,,Female,.,,,
2015,Number,Victims of non-sexual harassment,,Female,.,,,
2016,Number,Victims of non-sexual harassment,,Female,,,,88.4
2017,Number,Victims of non-sexual harassment,,Female,.,,,
2018,Number,Victims of non-sexual harassment,,Female,,,,88.8
2019,Number,Victims of non-sexual harassment,,Female,.,,,
2020,Number,Victims of non-sexual harassment,,Female,,,,89.4
2021,Number,Victims of non-sexual harassment,,Female,…,,,
2022,Number,Victims of non-sexual harassment,,Female,…,,,
2023,Number,Victims of non-sexual harassment,,Female,…,,,
2024,Number,Victims of non-sexual harassment,,Female,…,,,
2010,Number,Victims of non-sexual harassment,,Male,.,,,
2011,Number,Victims of non-sexual harassment,,Male,.,,,
2012,Number,Victims of non-sexual harassment,,Male,.,,,
2013,Number,Victims of non-sexual harassment,,Male,.,,,
2014,Number,Victims of non-sexual harassment,,Male,.,,,
2015,Number,Victims of non-sexual harassment,,Male,.,,,
2016,Number,Victims of non-sexual harassment,,Male,,,,79.7
2017,Number,Victims of non-sexual harassment,,Male,.,,,
2018,Number,Victims of non-sexual harassment,,Male,,,,80.7
2019,Number,Victims of non-sexual harassment,,Male,.,,,
2020,Number,Victims of non-sexual harassment,,Male,,,,81.7
2021,Number,Victims of non-sexual harassment,,Male,…,,,
2022,Number,Victims of non-sexual harassment,,Male,…,,,
2023,Number,Victims of non-sexual harassment,,Male,…,,,
2024,Number,Victims of non-sexual harassment,,Male,…,,,
2010,Number,Victims of non-sexual harassment,13 years and younger,,.,,,
2011,Number,Victims of non-sexual harassment,13 years and younger,,.,,,
2012,Number,Victims of non-sexual harassment,13 years and younger,,.,,,
2013,Number,Victims of non-sexual harassment,13 years and younger,,.,,,
2014,Number,Victims of non-sexual harassment,13 years and younger,,.,,,
2015,Number,Victims of non-sexual harassment,13 years and younger,,.,,,
2016,Number,Victims of non-sexual harassment,13 years and younger,,,,,74.9
2017,Number,Victims of non-sexual harassment,13 years and younger,,.,,,
2018,Number,Victims of non-sexual harassment,13 years and younger,,,,,75.9
2019,Number,Victims of non-sexual harassment,13 years and younger,,.,,,
2020,Number,Victims of non-sexual harassment,13 years and younger,,,,,72.4
2021,Number,Victims of non-sexual harassment,13 years and younger,,…,,,
2022,Number,Victims of non-sexual harassment,13 years and younger,,…,,,
2023,Number,Victims of non-sexual harassment,13 years and younger,,…,,,
2024,Number,Victims of non-sexual harassment,13 years and younger,,…,,,
2010,Number,Victims of non-sexual harassment,13 years and younger,Female,.,,,
2011,Number,Victims of non-sexual harassment,13 years and younger,Female,.,,,
2012,Number,Victims of non-sexual harassment,13 years and younger,Female,.,,,
2013,Number,Victims of non-sexual harassment,13 years and younger,Female,.,,,
2014,Number,Victims of non-sexual harassment,13 years and younger,Female,.,,,
2015,Number,Victims of non-sexual harassment,13 years and younger,Female,.,,,
2016,Number,Victims of non-sexual harassment,13 years and younger,Female,,,,71.8
2017,Number,Victims of non-sexual harassment,13 years and younger,Female,.,,,
2018,Number,Victims of non-sexual harassment,13 years and younger,Female,,,,74.2
2019,Number,Victims of non-sexual harassment,13 years and younger,Female,.,,,
2020,Number,Victims of non-sexual harassment,13 years and younger,Female,,,,75.4
2021,Number,Victims of non-sexual harassment,13 years and younger,Female,…,,,
2022,Number,Victims of non-sexual harassment,13 years and younger,Female,…,,,
2023,Number,Victims of non-sexual harassment,13 years and younger,Female,…,,,
2024,Number,Victims of non-sexual harassment,13 years and younger,Female,…,,,
2010,Number,Victims of non-sexual harassment,13 years and younger,Male,.,,,
2011,Number,Victims of non-sexual harassment,13 years and younger,Male,.,,,
2012,Number,Victims of non-sexual harassment,13 years and younger,Male,.,,,
2013,Number,Victims of non-sexual harassment,13 years and younger,Male,.,,,
2014,Number,Victims of non-sexual harassment,13 years and younger,Male,.,,,
2015,Number,Victims of non-sexual harassment,13 years and younger,Male,.,,,
2016,Number,Victims of non-sexual harassment,13 years and younger,Male,,,,71.6
2017,Number,Victims of non-sexual harassment,13 years and younger,Male,.,,,
2018,Number,Victims of non-sexual harassment,13 years and younger,Male,,,,71.7
2019,Number,Victims of non-sexual harassment,13 years and younger,Male,.,,,
2020,Number,Victims of non-sexual harassment,13 years and younger,Male,,,,72.7
2021,Number,Victims of non-sexual harassment,13 years and younger,Male,…,,,
2022,Number,Victims of non-sexual harassment,13 years and younger,Male,…,,,
2023,Number,Victims of non-sexual harassment,13 years and younger,Male,…,,,
2024,Number,Victims of non-sexual harassment,13 years and younger,Male,…,,,
2010,Number,Victims of non-sexual harassment,14 to under 18 years,,,,,94.3
2011,Number,Victims of non-sexual harassment,14 to under 18 years,,,,,94.0
2012,Number,Victims of non-sexual harassment,14 to under 18 years,,,,,94.4
2013,Number,Victims of non-sexual harassment,14 to under 18 years,,,,,92.8
2014,Number,Victims of non-sexual harassment,14 to under 18 years,,,,,94.3
2015,Number,Victims of non-sexual harassment,14 to under 18 years,,,,,93.6
2016,Number,Victims of non-sexual harassment,14 to under 18 years,,,,,93.6
2017,Number,Victims of non-sexual harassment,14 to under 18 years,,,,,94.2
2018,Number,Victims of non-sexual harassment,14 to under 18 years,,,,,94.5
2019,Number,Victims of non-sexual harassment,14 to under 18 years,,,,,93.7
2020,Number,Victims of non-sexual harassment,14 to under 18 years,,,,,94.5
2021,Number,Victims of non-sexual harassment,14 to under 18 years,,,,,94.4
2022,Number,Victims of non-sexual harassment,14 to under 18 years,,,,,94.8
2023,Number,Victims of non-sexual harassment,14 to under 18 years,,…,,,
2024,Number,Victims of non-sexual harassment,14 to under 18 years,,…,,,
2010,Number,Victims of non-sexual harassment,14 to under 18 years,Female,,,,93.3
2011,Number,Victims of non-sexual harassment,14 to under 18 years,Female,,,,91.6
2012,Number,Victims of non-sexual harassment,14 to under 18 years,Female,,,,92.7
2013,Number,Victims of non-sexual harassment,14 to under 18 years,Female,,,,90.2
2014,Number,Victims of non-sexual harassment,14 to under 18 years,Female,,,,95.2
2015,Number,Victims of non-sexual harassment,14 to under 18 years,Female,,,,91.5
2016,Number,Victims of non-sexual harassment,14 to under 18 years,Female,,,,91.3
2017,Number,Victims of non-sexual harassment,14 to under 18 years,Female,,,,92.2
2018,Number,Victims of non-sexual harassment,14 to under 18 years,Female,,,,90.3
2019,Number,Victims of non-sexual harassment,14 to under 18 years,Female,,,,90.2
2020,Number,Victims of non-sexual harassment,14 to under 18 years,Female,,,,89.7
2021,Number,Victims of non-sexual harassment,14 to under 18 years,Female,,,,89.0
2022,Number,Victims of non-sexual harassment,14 to under 18 years,Female,,,,95.1
2023,Number,Victims of non-sexual harassment,14 to under 18 years,Female,…,,,
2024,Number,Victims of non-sexual harassment,14 to under 18 years,Female,…,,,
2010,Number,Victims of non-sexual harassment,14 to under 18 years,Male,,,,97.5
2011,Number,Victims of non-sexual harassment,14 to under 18 years,Male,,,,98.4
2012,Number,Victims of non-sexual harassment,14 to under 18 years,Male,,,,96.7
2013,Number,Victims of non-sexual harassment,14 to under 18 years,Male,,,,89.5
2014,Number,Victims of non-sexual harassment,14 to under 18 years,Male,,,,96.3
2015,Number,Victims of non-sexual harassment,14 to under 18 years,Male,,,,98.1
2016,Number,Victims of non-sexual harassment,14 to under 18 years,Male,,,,95.8
2017,Number,Victims of non-sexual harassment,14 to under 18 years,Male,,,,95.6
2018,Number,Victims of non-sexual harassment,14 to under 18 years,Male,,,,96.4
2019,Number,Victims of non-sexual harassment,14 to under 18 years,Male,,,,97.0
2020,Number,Victims of non-sexual harassment,14 to under 18 years,Male,,,,98.8
2021,Number,Victims of non-sexual harassment,14 to under 18 years,Male,,,,97.6
2022,Number,Victims of non-sexual harassment,14 to under 18 years,Male,,,,99.4
2023,Number,Victims of non-sexual harassment,14 to under 18 years,Male,…,,,
2024,Number,Victims of non-sexual harassment,14 to under 18 years,Male,…,,,
2010,Number,Victims of non-sexual harassment,18 to under 21 years,,,,,97.7
2011,Number,Victims of non-sexual harassment,18 to under 21 years,,,,,96.1
2012,Number,Victims of non-sexual harassment,18 to under 21 years,,,,,94.6
