Year,Units,Sector,Type of official development assistance,Type of flow,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Million EUR,Water supply & sanitation,Commitments,Official development assistance,,,,566.859
2011,Million EUR,Water supply & sanitation,Commitments,Official development assistance,,,,748.48
2012,Million EUR,Water supply & sanitation,Commitments,Official development assistance,,,,1075.52
2013,Million EUR,Water supply & sanitation,Commitments,Official development assistance,,,,803.379
2014,Million EUR,Water supply & sanitation,Commitments,Official development assistance,,,,696.313
2015,Million EUR,Water supply & sanitation,Commitments,Official development assistance,,,,854.934
2016,Million EUR,Water supply & sanitation,Commitments,Official development assistance,,,,591.005
2017,Million EUR,Water supply & sanitation,Commitments,Official development assistance,,,,1263.616
2018,Million EUR,Water supply & sanitation,Commitments,Official development assistance,,,,1416.619
2019,Million EUR,Water supply & sanitation,Commitments,Official development assistance,,,,1223.479
2020,Million EUR,Water supply & sanitation,Commitments,Official development assistance,,,,1135.461
2021,Million EUR,Water supply & sanitation,Commitments,Official development assistance,,,,1052.936
2022,Million EUR,Water supply & sanitation,Commitments,Official development assistance,,,,1400.488
2023,Million EUR,Water supply & sanitation,Commitments,Official development assistance,,,,698.579
2024,Million EUR,Water supply & sanitation,Commitments,Official development assistance,,,,1393.622
2010,Million EUR,Transport and storage,Commitments,Official development assistance,,,,367.776
2011,Million EUR,Transport and storage,Commitments,Official development assistance,,,,64.273
2012,Million EUR,Transport and storage,Commitments,Official development assistance,,,,76.692
2013,Million EUR,Transport and storage,Commitments,Official development assistance,,,,228.64
2014,Million EUR,Transport and storage,Commitments,Official development assistance,,,,138.361
2015,Million EUR,Transport and storage,Commitments,Official development assistance,,,,668.163
2016,Million EUR,Transport and storage,Commitments,Official development assistance,,,,946.723
2017,Million EUR,Transport and storage,Commitments,Official development assistance,,,,421.653
2018,Million EUR,Transport and storage,Commitments,Official development assistance,,,,52.203
2019,Million EUR,Transport and storage,Commitments,Official development assistance,,,,793.824
2020,Million EUR,Transport and storage,Commitments,Official development assistance,,,,798.468
2021,Million EUR,Transport and storage,Commitments,Official development assistance,,,,642.954
2022,Million EUR,Transport and storage,Commitments,Official development assistance,,,,527.784
2023,Million EUR,Transport and storage,Commitments,Official development assistance,,,,839.404
2024,Million EUR,Transport and storage,Commitments,Official development assistance,,,,541.665
2010,Million EUR,Communications,Commitments,Official development assistance,,,,18.576
2011,Million EUR,Communications,Commitments,Official development assistance,,,,12.374
2012,Million EUR,Communications,Commitments,Official development assistance,,,,9.101
2013,Million EUR,Communications,Commitments,Official development assistance,,,,27.46
2014,Million EUR,Communications,Commitments,Official development assistance,,,,54.694
2015,Million EUR,Communications,Commitments,Official development assistance,,,,28.116
2016,Million EUR,Communications,Commitments,Official development assistance,,,,12.666
2017,Million EUR,Communications,Commitments,Official development assistance,,,,33.175
2018,Million EUR,Communications,Commitments,Official development assistance,,,,11.928
2019,Million EUR,Communications,Commitments,Official development assistance,,,,61.076
2020,Million EUR,Communications,Commitments,Official development assistance,,,,39.841
2021,Million EUR,Communications,Commitments,Official development assistance,,,,150.329
2022,Million EUR,Communications,Commitments,Official development assistance,,,,88.587
2023,Million EUR,Communications,Commitments,Official development assistance,,,,48.214
2024,Million EUR,Communications,Commitments,Official development assistance,,,,38.935
2010,Million EUR,Energy,Commitments,Official development assistance,,,,1813.137
2011,Million EUR,Energy,Commitments,Official development assistance,,,,1114.534
2012,Million EUR,Energy,Commitments,Official development assistance,,,,1043.354
2013,Million EUR,Energy,Commitments,Official development assistance,,,,1581.735
2014,Million EUR,Energy,Commitments,Official development assistance,,,,2974.079
2015,Million EUR,Energy,Commitments,Official development assistance,,,,2001.063
2016,Million EUR,Energy,Commitments,Official development assistance,,,,2332.488
2017,Million EUR,Energy,Commitments,Official development assistance,,,,2172.595
2018,Million EUR,Energy,Commitments,Official development assistance,,,,2931.578
2019,Million EUR,Energy,Commitments,Official development assistance,,,,2007.762
2020,Million EUR,Energy,Commitments,Official development assistance,,,,1594.5
2021,Million EUR,Energy,Commitments,Official development assistance,,,,1416.67
2022,Million EUR,Energy,Commitments,Official development assistance,,,,3563.555
2023,Million EUR,Energy,Commitments,Official development assistance,,,,3080.325
2024,Million EUR,Energy,Commitments,Official development assistance,,,,1987.54
2010,Million EUR,Urban development and management,Commitments,Official development assistance,,,,51.869
2011,Million EUR,Urban development and management,Commitments,Official development assistance,,,,313.286
2012,Million EUR,Urban development and management,Commitments,Official development assistance,,,,48.912
2013,Million EUR,Urban development and management,Commitments,Official development assistance,,,,135.842
2014,Million EUR,Urban development and management,Commitments,Official development assistance,,,,51.927
2015,Million EUR,Urban development and management,Commitments,Official development assistance,,,,90.856
2016,Million EUR,Urban development and management,Commitments,Official development assistance,,,,455.108
2017,Million EUR,Urban development and management,Commitments,Official development assistance,,,,204.952
2018,Million EUR,Urban development and management,Commitments,Official development assistance,,,,215.715
2019,Million EUR,Urban development and management,Commitments,Official development assistance,,,,280.982
2020,Million EUR,Urban development and management,Commitments,Official development assistance,,,,346.96
2021,Million EUR,Urban development and management,Commitments,Official development assistance,,,,137.054
2022,Million EUR,Urban development and management,Commitments,Official development assistance,,,,808.189
2023,Million EUR,Urban development and management,Commitments,Official development assistance,,,,437.784
2024,Million EUR,Urban development and management,Commitments,Official development assistance,,,,137.464
2010,Million EUR,Water supply & sanitation,Gross disbursements,Official development assistance,,,,449.387
2011,Million EUR,Water supply & sanitation,Gross disbursements,Official development assistance,,,,495.117
2012,Million EUR,Water supply & sanitation,Gross disbursements,Official development assistance,,,,450.456
2013,Million EUR,Water supply & sanitation,Gross disbursements,Official development assistance,,,,490.458
2014,Million EUR,Water supply & sanitation,Gross disbursements,Official development assistance,,,,686.944
2015,Million EUR,Water supply & sanitation,Gross disbursements,Official development assistance,,,,739.473
2016,Million EUR,Water supply & sanitation,Gross disbursements,Official development assistance,,,,743.538
2017,Million EUR,Water supply & sanitation,Gross disbursements,Official development assistance,,,,797.765
2018,Million EUR,Water supply & sanitation,Gross disbursements,Official development assistance,,,,837.61
2019,Million EUR,Water supply & sanitation,Gross disbursements,Official development assistance,,,,763.001
2020,Million EUR,Water supply & sanitation,Gross disbursements,Official development assistance,,,,824.907
2021,Million EUR,Water supply & sanitation,Gross disbursements,Official development assistance,,,,728.218
2022,Million EUR,Water supply & sanitation,Gross disbursements,Official development assistance,,,,771.218
2023,Million EUR,Water supply & sanitation,Gross disbursements,Official development assistance,,,,886.445
2024,Million EUR,Water supply & sanitation,Gross disbursements,Official development assistance,,,,1299.174
2010,Million EUR,Transport and storage,Gross disbursements,Official development assistance,,,,134.292
2011,Million EUR,Transport and storage,Gross disbursements,Official development assistance,,,,187.662
2012,Million EUR,Transport and storage,Gross disbursements,Official development assistance,,,,163.622
2013,Million EUR,Transport and storage,Gross disbursements,Official development assistance,,,,276.122
2014,Million EUR,Transport and storage,Gross disbursements,Official development assistance,,,,105.962
2015,Million EUR,Transport and storage,Gross disbursements,Official development assistance,,,,432.619
2016,Million EUR,Transport and storage,Gross disbursements,Official development assistance,,,,378.383
2017,Million EUR,Transport and storage,Gross disbursements,Official development assistance,,,,242.894
2018,Million EUR,Transport and storage,Gross disbursements,Official development assistance,,,,273.935
2019,Million EUR,Transport and storage,Gross disbursements,Official development assistance,,,,444.629
2020,Million EUR,Transport and storage,Gross disbursements,Official development assistance,,,,346.776
2021,Million EUR,Transport and storage,Gross disbursements,Official development assistance,,,,165.431
2022,Million EUR,Transport and storage,Gross disbursements,Official development assistance,,,,247.648
2023,Million EUR,Transport and storage,Gross disbursements,Official development assistance,,,,355.743
2024,Million EUR,Transport and storage,Gross disbursements,Official development assistance,,,,451.456
2010,Million EUR,Communications,Gross disbursements,Official development assistance,,,,20.555
2011,Million EUR,Communications,Gross disbursements,Official development assistance,,,,7.778
2012,Million EUR,Communications,Gross disbursements,Official development assistance,,,,5.479
2013,Million EUR,Communications,Gross disbursements,Official development assistance,,,,22.854
2014,Million EUR,Communications,Gross disbursements,Official development assistance,,,,57.058
2015,Million EUR,Communications,Gross disbursements,Official development assistance,,,,25.187
2016,Million EUR,Communications,Gross disbursements,Official development assistance,,,,13.898
2017,Million EUR,Communications,Gross disbursements,Official development assistance,,,,26.97
2018,Million EUR,Communications,Gross disbursements,Official development assistance,,,,8.941
2019,Million EUR,Communications,Gross disbursements,Official development assistance,,,,28.875
2020,Million EUR,Communications,Gross disbursements,Official development assistance,,,,36.512
2021,Million EUR,Communications,Gross disbursements,Official development assistance,,,,68.153
2022,Million EUR,Communications,Gross disbursements,Official development assistance,,,,82.24
2023,Million EUR,Communications,Gross disbursements,Official development assistance,,,,55.395
2024,Million EUR,Communications,Gross disbursements,Official development assistance,,,,50.404
2010,Million EUR,Energy,Gross disbursements,Official development assistance,,,,1044.339
2011,Million EUR,Energy,Gross disbursements,Official development assistance,,,,895.864
2012,Million EUR,Energy,Gross disbursements,Official development assistance,,,,614.358
2013,Million EUR,Energy,Gross disbursements,Official development assistance,,,,924.214
2014,Million EUR,Energy,Gross disbursements,Official development assistance,,,,1221.904
2015,Million EUR,Energy,Gross disbursements,Official development assistance,,,,1621.932
2016,Million EUR,Energy,Gross disbursements,Official development assistance,,,,1698.765
2017,Million EUR,Energy,Gross disbursements,Official development assistance,,,,1492.676
2018,Million EUR,Energy,Gross disbursements,Official development assistance,,,,1570.578
2019,Million EUR,Energy,Gross disbursements,Official development assistance,,,,1600.496
2020,Million EUR,Energy,Gross disbursements,Official development assistance,,,,1577.668
2021,Million EUR,Energy,Gross disbursements,Official development assistance,,,,1375.152
2022,Million EUR,Energy,Gross disbursements,Official development assistance,,,,1988.187
2023,Million EUR,Energy,Gross disbursements,Official development assistance,,,,2238.748
2024,Million EUR,Energy,Gross disbursements,Official development assistance,,,,2663.402
2010,Million EUR,Urban development and management,Gross disbursements,Official development assistance,,,,63.574
2011,Million EUR,Urban development and management,Gross disbursements,Official development assistance,,,,88.251
2012,Million EUR,Urban development and management,Gross disbursements,Official development assistance,,,,73.644
2013,Million EUR,Urban development and management,Gross disbursements,Official development assistance,,,,48.583
