Year,Units,Value
2010,Million tonnes,1306.0
2011,Million tonnes,1379.0
2012,Million tonnes,1254.0
2013,Million tonnes,1266.0
2014,Million tonnes,1274.0
2015,Million tonnes,1198.0
2016,Million tonnes,1221.0
2010,Tonnes per capita,16.0
2011,Tonnes per capita,17.2
2012,Tonnes per capita,15.6
2013,Tonnes per capita,15.7
2014,Tonnes per capita,15.7
2015,Tonnes per capita,14.7
2016,Tonnes per capita,14.8
2010,Per real GDP (2015 = 100),118.3
2011,Per real GDP (2015 = 100),120.3
2012,Per real GDP (2015 = 100),108.8
2013,Per real GDP (2015 = 100),109.4
2014,Per real GDP (2015 = 100),107.6
2015,Per real GDP (2015 = 100),100.0
2016,Per real GDP (2015 = 100),99.7
