Year,Status,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Contracting party,.,,,(1) Basel Convention,1.0
2011,Contracting party,.,,,(1) Basel Convention,1.0
2012,Contracting party,.,,,(1) Basel Convention,1.0
2013,Contracting party,.,,,(1) Basel Convention,1.0
2014,Contracting party,.,,,(1) Basel Convention,1.0
2015,Contracting party,,,,(1) Basel Convention,1.0
2016,Contracting party,.,,,(1) Basel Convention,1.0
2017,Contracting party,.,,,(1) Basel Convention,1.0
2018,Contracting party,.,,,(1) Basel Convention,1.0
2019,Contracting party,.,,,(1) Basel Convention,1.0
2020,Contracting party,,,,(1) Basel Convention,1.0
2021,Contracting party,…,,,(1) Basel Convention,1.0
2022,Contracting party,…,,,(1) Basel Convention,1.0
2023,Contracting party,…,,,(1) Basel Convention,1.0
2024,Contracting party,…,,,(1) Basel Convention,1.0
2025,Contracting party,…,,,(1) Basel Convention,1.0
2026,Contracting party,…,,,(1) Basel Convention,1.0
2010,Reporting requirement met,,,,(1) Basel Convention,1.0
2011,Reporting requirement met,,,,(1) Basel Convention,1.0
2012,Reporting requirement met,,,,(1) Basel Convention,1.0
2013,Reporting requirement met,,,,(1) Basel Convention,1.0
2014,Reporting requirement met,,,,(1) Basel Convention,1.0
2015,Reporting requirement met,,,,(1) Basel Convention,1.0
2016,Reporting requirement met,,,,(1) Basel Convention,1.0
2017,Reporting requirement met,,,,(1) Basel Convention,1.0
2018,Reporting requirement met,,,,(1) Basel Convention,1.0
2019,Reporting requirement met,,,,(1) Basel Convention,1.0
2020,Reporting requirement met,,,,(1) Basel Convention,1.0
2021,Reporting requirement met,,,,(1) Basel Convention,1.0
2022,Reporting requirement met,,,,(1) Basel Convention,1.0
2023,Reporting requirement met,,,,(1) Basel Convention,1.0
2024,Reporting requirement met,,,,(1) Basel Convention,1.0
2010,Contracting party,.,,,(2) Montreal Protocol,1.0
2011,Contracting party,.,,,(2) Montreal Protocol,1.0
2012,Contracting party,.,,,(2) Montreal Protocol,1.0
2013,Contracting party,.,,,(2) Montreal Protocol,1.0
2014,Contracting party,.,,,(2) Montreal Protocol,1.0
2015,Contracting party,,,,(2) Montreal Protocol,1.0
2016,Contracting party,.,,,(2) Montreal Protocol,1.0
2017,Contracting party,.,,,(2) Montreal Protocol,1.0
2018,Contracting party,.,,,(2) Montreal Protocol,1.0
2019,Contracting party,.,,,(2) Montreal Protocol,1.0
2020,Contracting party,,,,(2) Montreal Protocol,1.0
2021,Contracting party,…,,,(2) Montreal Protocol,1.0
2022,Contracting party,…,,,(2) Montreal Protocol,1.0
2023,Contracting party,…,,,(2) Montreal Protocol,1.0
2024,Contracting party,…,,,(2) Montreal Protocol,1.0
2025,Contracting party,…,,,(2) Montreal Protocol,1.0
2026,Contracting party,…,,,(2) Montreal Protocol,1.0
2010,Reporting requirement met,,,,(1) Basel Convention,1.0
2011,Reporting requirement met,,,,(1) Basel Convention,1.0
2012,Reporting requirement met,,,,(1) Basel Convention,1.0
2013,Reporting requirement met,,,,(1) Basel Convention,1.0
2014,Reporting requirement met,,,,(1) Basel Convention,1.0
2015,Reporting requirement met,,,,(1) Basel Convention,1.0
2016,Reporting requirement met,,,,(1) Basel Convention,1.0
2017,Reporting requirement met,,,,(1) Basel Convention,1.0
2018,Reporting requirement met,,,,(1) Basel Convention,1.0
2019,Reporting requirement met,,,,(1) Basel Convention,1.0
2020,Reporting requirement met,,,,(1) Basel Convention,1.0
2021,Reporting requirement met,,,,(1) Basel Convention,1.0
2022,Reporting requirement met,,,,(1) Basel Convention,1.0
2023,Reporting requirement met,,,,(1) Basel Convention,1.0
2024,Reporting requirement met,,,,(1) Basel Convention,1.0
2010,Contracting party,.,,,(3) Rotterdam Convention,1.0
2011,Contracting party,.,,,(3) Rotterdam Convention,1.0
2012,Contracting party,.,,,(3) Rotterdam Convention,1.0
2013,Contracting party,.,,,(3) Rotterdam Convention,1.0
2014,Contracting party,.,,,(3) Rotterdam Convention,1.0
2015,Contracting party,,,,(3) Rotterdam Convention,1.0
2016,Contracting party,.,,,(3) Rotterdam Convention,1.0
2017,Contracting party,.,,,(3) Rotterdam Convention,1.0
2018,Contracting party,.,,,(3) Rotterdam Convention,1.0
2019,Contracting party,.,,,(3) Rotterdam Convention,1.0
2020,Contracting party,,,,(3) Rotterdam Convention,1.0
2021,Contracting party,…,,,(3) Rotterdam Convention,1.0
2022,Contracting party,…,,,(3) Rotterdam Convention,1.0
2023,Contracting party,…,,,(3) Rotterdam Convention,1.0
2024,Contracting party,…,,,(3) Rotterdam Convention,1.0
2025,Contracting party,…,,,(3) Rotterdam Convention,1.0
2026,Contracting party,…,,,(3) Rotterdam Convention,1.0
2010,Reporting requirement met,,,,(1) Basel Convention,1.0
2011,Reporting requirement met,,,,(1) Basel Convention,1.0
2012,Reporting requirement met,,,,(1) Basel Convention,1.0
2013,Reporting requirement met,,,,(1) Basel Convention,1.0
2014,Reporting requirement met,,,,(1) Basel Convention,1.0
2015,Reporting requirement met,,,,(1) Basel Convention,1.0
2016,Reporting requirement met,,,,(1) Basel Convention,1.0
2017,Reporting requirement met,,,,(1) Basel Convention,1.0
2018,Reporting requirement met,,,,(1) Basel Convention,1.0
2019,Reporting requirement met,,,,(1) Basel Convention,1.0
2020,Reporting requirement met,,,,(1) Basel Convention,1.0
2021,Reporting requirement met,,,,(1) Basel Convention,1.0
2022,Reporting requirement met,,,,(1) Basel Convention,1.0
2023,Reporting requirement met,,,,(1) Basel Convention,1.0
2024,Reporting requirement met,,,,(1) Basel Convention,1.0
2010,Contracting party,.,,,(4) Stockholm Convention,1.0
2011,Contracting party,.,,,(4) Stockholm Convention,1.0
2012,Contracting party,.,,,(4) Stockholm Convention,1.0
2013,Contracting party,.,,,(4) Stockholm Convention,1.0
2014,Contracting party,.,,,(4) Stockholm Convention,1.0
2015,Contracting party,,,,(4) Stockholm Convention,1.0
2016,Contracting party,.,,,(4) Stockholm Convention,1.0
2017,Contracting party,.,,,(4) Stockholm Convention,1.0
2018,Contracting party,.,,,(4) Stockholm Convention,1.0
2019,Contracting party,.,,,(4) Stockholm Convention,1.0
2020,Contracting party,,,,(4) Stockholm Convention,1.0
2021,Contracting party,…,,,(4) Stockholm Convention,1.0
2022,Contracting party,…,,,(4) Stockholm Convention,1.0
