Year,Units,Series,Value
2010,Number,Plastic waste on the beaches of the German North Sea coast,
2011,Number,Plastic waste on the beaches of the German North Sea coast,
2012,Number,Plastic waste on the beaches of the German North Sea coast,
2013,Number,Plastic waste on the beaches of the German North Sea coast,
2014,Number,Plastic waste on the beaches of the German North Sea coast,
2015,Number,Plastic waste on the beaches of the German North Sea coast,
2016,Number,Plastic waste on the beaches of the German North Sea coast,60.5
2017,Number,Plastic waste on the beaches of the German North Sea coast,63.0
2018,Number,Plastic waste on the beaches of the German North Sea coast,62.0
2019,Number,Plastic waste on the beaches of the German North Sea coast,57.0
2020,Number,Plastic waste on the beaches of the German North Sea coast,55.5
2021,Number,Plastic waste on the beaches of the German North Sea coast,43.5
2022,Number,Plastic waste on the beaches of the German North Sea coast,57.5
2023,Number,Plastic waste on the beaches of the German North Sea coast,45.5
2010,Percentage,Plastic particles in fulmar stomachs,61.6
2011,Percentage,Plastic particles in fulmar stomachs,61.4
2012,Percentage,Plastic particles in fulmar stomachs,56.6
2013,Percentage,Plastic particles in fulmar stomachs,56.4
2014,Percentage,Plastic particles in fulmar stomachs,59.5
2015,Percentage,Plastic particles in fulmar stomachs,59.0
2016,Percentage,Plastic particles in fulmar stomachs,59.1
2017,Percentage,Plastic particles in fulmar stomachs,58.9
2018,Percentage,Plastic particles in fulmar stomachs,55.8
2019,Percentage,Plastic particles in fulmar stomachs,51.2
2020,Percentage,Plastic particles in fulmar stomachs,50.0
2021,Percentage,Plastic particles in fulmar stomachs,48.5
