Year,Sea,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2020,,,,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,47.6
2022,,,,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,58.0
2010,Greater North Sea,,,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,10.0
2011,Greater North Sea,,,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,3.0
2012,Greater North Sea,,,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,3.0
2013,Greater North Sea,,,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,3.0
2014,Greater North Sea,,,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,3.0
2015,Greater North Sea,,,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,10.0
2016,Greater North Sea,,,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,10.0
2017,Greater North Sea,,,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,10.0
2018,Greater North Sea,,,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,10.0
2019,Greater North Sea,,,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,10.0
2020,Greater North Sea,,,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,9.0
2021,Greater North Sea,r,,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,9.0
2022,Greater North Sea,,,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,2.0
2010,Baltic sea,,,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,3.0
2011,Baltic sea,,,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,3.0
2012,Baltic sea,,,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,3.0
2013,Baltic sea,,,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,3.0
2014,Baltic sea,,,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,3.0
2015,Baltic sea,,,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,3.0
2016,Baltic sea,,,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,3.0
2017,Baltic sea,,,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,3.0
2018,Baltic sea,,,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,3.0
2019,Baltic sea,,,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,3.0
2020,Baltic sea,,,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,2.0
2021,Baltic sea,,,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,2.0
2022,Baltic sea,,,,Sustainably managed fish stocks in the North and Baltic Seas on all MSY examined stocks,2.0
2010,,,,,MSY examined fish stocks in all managed stocks,7.0
2011,,,,,MSY examined fish stocks in all managed stocks,0.0
2012,,,,,MSY examined fish stocks in all managed stocks,0.0
2013,,,,,MSY examined fish stocks in all managed stocks,0.0
2014,,,,,MSY examined fish stocks in all managed stocks,0.0
2015,,,,,MSY examined fish stocks in all managed stocks,7.0
2016,,,,,MSY examined fish stocks in all managed stocks,7.0
2017,,,,,MSY examined fish stocks in all managed stocks,7.0
2018,,,,,MSY examined fish stocks in all managed stocks,7.0
2019,,,,,MSY examined fish stocks in all managed stocks,7.0
2020,,,,,MSY examined fish stocks in all managed stocks,7.0
2021,,r,,,MSY examined fish stocks in all managed stocks,7.0
2022,,,,,MSY examined fish stocks in all managed stocks,0.0
