Year,Units,Sex,Series,Value
2010,Percentage,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2011,Percentage,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2012,Percentage,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2013,Percentage,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2014,Percentage,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2015,Percentage,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,4.65
2016,Percentage,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2017,Percentage,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,3.66
2018,Percentage,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2019,Percentage,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,4.67
2020,Percentage,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2021,Percentage,,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,3.86
2010,Percentage,Female,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2011,Percentage,Female,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2012,Percentage,Female,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2013,Percentage,Female,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2014,Percentage,Female,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2015,Percentage,Female,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,4.89
2016,Percentage,Female,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2017,Percentage,Female,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,3.75
2018,Percentage,Female,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2019,Percentage,Female,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,4.62
2020,Percentage,Female,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2021,Percentage,Female,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,3.04
2010,Percentage,Male,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2011,Percentage,Male,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2012,Percentage,Male,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2013,Percentage,Male,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2014,Percentage,Male,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2015,Percentage,Male,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,4.36
2016,Percentage,Male,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2017,Percentage,Male,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,3.57
2018,Percentage,Male,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2019,Percentage,Male,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,4.56
2020,Percentage,Male,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2021,Percentage,Male,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,4.68
2010,Percentage,Divers,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2011,Percentage,Divers,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2012,Percentage,Divers,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2013,Percentage,Divers,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2014,Percentage,Divers,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2015,Percentage,Divers,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2016,Percentage,Divers,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2017,Percentage,Divers,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2018,Percentage,Divers,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2019,Percentage,Divers,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,28.0
2020,Percentage,Divers,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,
2021,Percentage,Divers,population who had the impression that public officials are corruptible during their interactions with public agencies in the previous two years,31.19
2010,Number,,Private persons (donors) suspected in the context of corruption offences,354.0
2011,Number,,Private persons (donors) suspected in the context of corruption offences,295.0
2012,Number,,Private persons (donors) suspected in the context of corruption offences,163.0
2013,Number,,Private persons (donors) suspected in the context of corruption offences,222.0
2014,Number,,Private persons (donors) suspected in the context of corruption offences,121.0
2015,Number,,Private persons (donors) suspected in the context of corruption offences,148.0
2016,Number,,Private persons (donors) suspected in the context of corruption offences,
2017,Number,,Private persons (donors) suspected in the context of corruption offences,
2018,Number,,Private persons (donors) suspected in the context of corruption offences,
2019,Number,,Private persons (donors) suspected in the context of corruption offences,
2020,Number,,Private persons (donors) suspected in the context of corruption offences,
2021,Number,,Private persons (donors) suspected in the context of corruption offences,
