Year,Time series,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,National taxes,.,,,
2011,National taxes,.,,,
2012,National taxes,,,,101.1
2013,National taxes,,,,99.5
2014,National taxes,,,,91.7
2015,National taxes,,,,91.3
2016,National taxes,,,,97.0
2017,National taxes,,,,87.9
2018,National taxes,,,,83.0
2019,National taxes,,,,84.4
2020,National taxes,,,,69.2
2021,National taxes,,,,76.4
2022,National taxes,,,,74.0
2023,National taxes,,,,90.8
2024,National taxes,,,,101.1
2010,National taxes and insurance contributions,.,,,
2011,National taxes and insurance contributions,.,,,
2012,National taxes and insurance contributions,.,,,
2013,National taxes and insurance contributions,.,,,
2014,National taxes and insurance contributions,.,,,
2015,National taxes and insurance contributions,,,,93.1
2016,National taxes and insurance contributions,.,,,
2017,National taxes and insurance contributions,,,,94.7
2018,National taxes and insurance contributions,.,,,
2019,National taxes and insurance contributions,,,,97.0
2020,National taxes and insurance contributions,.,,,
2021,National taxes and insurance contributions,,,,96.9
2022,National taxes and insurance contributions,.,,,
2023,National taxes and insurance contributions,,,,95.7
2024,National taxes and insurance contributions,…,,,
