Year,Units,Time series,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2023,Million EUR,Commitments (ODA and OOF),.,,,
2024,Million EUR,Commitments (ODA and OOF),-,,,0.0
2025,Million EUR,Commitments (ODA and OOF),,,,
2023,Million EUR,Gross disbursements (ODA and OOF),.,,,
2024,Million EUR,Gross disbursements (ODA and OOF),,,,33.0
2025,Million EUR,Gross disbursements (ODA and OOF),,,,
2023,"Million USD, constant prices (2023)",Commitments (ODA and OOF),.,,,
2024,"Million USD, constant prices (2023)",Commitments (ODA and OOF),-,,,0.0
2025,"Million USD, constant prices (2023)",Commitments (ODA and OOF),,,,
2023,"Million USD, constant prices (2023)",Gross disbursements (ODA and OOF),.,,,
2024,"Million USD, constant prices (2023)",Gross disbursements (ODA and OOF),,,,67.0
2025,"Million USD, constant prices (2023)",Gross disbursements (ODA and OOF),,,,
