Year,Series,Substance,Sex,Border,Value
2010,Inpatient treatment of substance use disorders,Drugs,,,37107.0
2011,Inpatient treatment of substance use disorders,Drugs,,,36848.0
2012,Inpatient treatment of substance use disorders,Drugs,,,36166.0
2013,Inpatient treatment of substance use disorders,Drugs,,,40556.0
2014,Inpatient treatment of substance use disorders,Drugs,,,49795.0
2015,Inpatient treatment of substance use disorders,Drugs,,,51919.0
2016,Inpatient treatment of substance use disorders,Drugs,,,52621.0
2017,Inpatient treatment of substance use disorders,Drugs,,,51806.0
2018,Inpatient treatment of substance use disorders,Drugs,,,52380.0
2019,Inpatient treatment of substance use disorders,Drugs,,,53490.0
2010,Inpatient treatment of substance use disorders,Drugs,Female,,10451.0
2011,Inpatient treatment of substance use disorders,Drugs,Female,,10607.0
2012,Inpatient treatment of substance use disorders,Drugs,Female,,10600.0
2013,Inpatient treatment of substance use disorders,Drugs,Female,,11290.0
2014,Inpatient treatment of substance use disorders,Drugs,Female,,13280.0
2015,Inpatient treatment of substance use disorders,Drugs,Female,,13230.0
2016,Inpatient treatment of substance use disorders,Drugs,Female,,13303.0
2017,Inpatient treatment of substance use disorders,Drugs,Female,,12881.0
2018,Inpatient treatment of substance use disorders,Drugs,Female,,12858.0
2019,Inpatient treatment of substance use disorders,Drugs,Female,,12921.0
2010,Inpatient treatment of substance use disorders,Drugs,Male,,26656.0
2011,Inpatient treatment of substance use disorders,Drugs,Male,,26241.0
2012,Inpatient treatment of substance use disorders,Drugs,Male,,25566.0
2013,Inpatient treatment of substance use disorders,Drugs,Male,,29266.0
2014,Inpatient treatment of substance use disorders,Drugs,Male,,36515.0
2015,Inpatient treatment of substance use disorders,Drugs,Male,,38689.0
2016,Inpatient treatment of substance use disorders,Drugs,Male,,39318.0
2017,Inpatient treatment of substance use disorders,Drugs,Male,,38925.0
2018,Inpatient treatment of substance use disorders,Drugs,Male,,39522.0
2019,Inpatient treatment of substance use disorders,Drugs,Male,,40569.0
2010,Inpatient treatment of substance use disorders,Drugs,Unknown,,
2011,Inpatient treatment of substance use disorders,Drugs,Unknown,,
2012,Inpatient treatment of substance use disorders,Drugs,Unknown,,
2013,Inpatient treatment of substance use disorders,Drugs,Unknown,,
2014,Inpatient treatment of substance use disorders,Drugs,Unknown,,
2015,Inpatient treatment of substance use disorders,Drugs,Unknown,,
2016,Inpatient treatment of substance use disorders,Drugs,Unknown,,
2017,Inpatient treatment of substance use disorders,Drugs,Unknown,,
2018,Inpatient treatment of substance use disorders,Drugs,Unknown,,
2019,Inpatient treatment of substance use disorders,Drugs,Unknown,,
2010,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,,,191512.0
2011,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,,,192159.0
2012,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,,,195976.0
2013,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,,,194412.0
2014,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,,,185305.0
2015,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,,,176185.0
2016,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,,,170467.0
2017,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,,,165834.0
2018,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,,,161247.0
2019,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,,,159421.0
2010,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,Female,,49139.0
2011,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,Female,,50796.0
2012,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,Female,,52487.0
2013,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,Female,,51211.0
2014,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,Female,,49460.0
2015,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,Female,,46377.0
2016,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,Female,,44589.0
2017,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,Female,,43574.0
2018,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,Female,,42716.0
2019,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,Female,,42158.0
2010,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,Male,,142373.0
2011,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,Male,,141363.0
2012,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,Male,,143488.0
2013,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,Male,,143201.0
2014,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,Male,,135845.0
2015,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,Male,,129808.0
2016,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,Male,,125878.0
2017,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,Male,,122260.0
2018,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,Male,,118531.0
2019,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,Male,,117263.0
2010,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,Unknown,,
2011,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,Unknown,,
2012,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,Unknown,,1.0
2013,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,Unknown,,
2014,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,Unknown,,
2015,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,Unknown,,
2016,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,Unknown,,
2017,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,Unknown,,
2018,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,Unknown,,
2019,Inpatient treatment of substance use disorders,Alcohol and other psychoactive substances,Unknown,,
2010,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,min,215078.0
2011,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,min,231052.0
2012,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,min,218360.0
2013,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,min,215436.0
2014,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,min,230672.0
2015,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,min,225471.0
2016,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,min,225324.0
2017,"Estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine and other stimulants in the age group 15 to under 65 years",,,min,217220.0
