Year,Units,Type of Official Development Assistance,Field,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Million EUR,Commitments,Scholarships,,,,134.336
2011,Million EUR,Commitments,Scholarships,,,,129.642
2012,Million EUR,Commitments,Scholarships,,,,116.643
2013,Million EUR,Commitments,Scholarships,,,,100.763
2014,Million EUR,Commitments,Scholarships,,,,64.74
2015,Million EUR,Commitments,Scholarships,,,,85.092
2016,Million EUR,Commitments,Scholarships,,,,75.084
2017,Million EUR,Commitments,Scholarships,,,,63.658
2018,Million EUR,Commitments,Scholarships,,,,65.25
2019,Million EUR,Commitments,Scholarships,,,,67.675
2020,Million EUR,Commitments,Scholarships,,,,70.268
2021,Million EUR,Commitments,Scholarships,,,,45.284
2022,Million EUR,Commitments,Scholarships,,,,28.668
2023,Million EUR,Commitments,Scholarships,,,,17.728
2024,Million EUR,Commitments,Scholarships,,,,17.614
2010,Million EUR,Commitments,Imputed student costs,,,,669.645
2011,Million EUR,Commitments,Imputed student costs,,,,665.131
2012,Million EUR,Commitments,Imputed student costs,,,,690.405
2013,Million EUR,Commitments,Imputed student costs,,,,670.771
2014,Million EUR,Commitments,Imputed student costs,,,,739.829
2015,Million EUR,Commitments,Imputed student costs,,,,845.527
2016,Million EUR,Commitments,Imputed student costs,,,,904.583
2017,Million EUR,Commitments,Imputed student costs,,,,998.585
2018,Million EUR,Commitments,Imputed student costs,,,,1121.055
2019,Million EUR,Commitments,Imputed student costs,,,,1318.333
2020,Million EUR,Commitments,Imputed student costs,,,,1488.856
2021,Million EUR,Commitments,Imputed student costs,,,,1669.123
2022,Million EUR,Commitments,Imputed student costs,,,,1779.444
2023,Million EUR,Commitments,Imputed student costs,,,,1980.449
2024,Million EUR,Commitments,Imputed student costs,,,,2196.572
2010,Million EUR,Gross disbursements,Scholarships,,,,130.229
2011,Million EUR,Gross disbursements,Scholarships,,,,120.753
2012,Million EUR,Gross disbursements,Scholarships,,,,113.189
2013,Million EUR,Gross disbursements,Scholarships,,,,96.087
2014,Million EUR,Gross disbursements,Scholarships,,,,57.268
2015,Million EUR,Gross disbursements,Scholarships,,,,82.565
2016,Million EUR,Gross disbursements,Scholarships,,,,74.676
2017,Million EUR,Gross disbursements,Scholarships,,,,68.291
2018,Million EUR,Gross disbursements,Scholarships,,,,65.998
2019,Million EUR,Gross disbursements,Scholarships,,,,65.952
2020,Million EUR,Gross disbursements,Scholarships,,,,72.176
2021,Million EUR,Gross disbursements,Scholarships,,,,41.849
2022,Million EUR,Gross disbursements,Scholarships,,,,21.146
2023,Million EUR,Gross disbursements,Scholarships,,,,16.15
2024,Million EUR,Gross disbursements,Scholarships,,,,18.603
2010,Million EUR,Gross disbursements,Imputed student costs,,,,669.645
2011,Million EUR,Gross disbursements,Imputed student costs,,,,665.131
2012,Million EUR,Gross disbursements,Imputed student costs,,,,690.405
2013,Million EUR,Gross disbursements,Imputed student costs,,,,670.771
2014,Million EUR,Gross disbursements,Imputed student costs,,,,739.829
2015,Million EUR,Gross disbursements,Imputed student costs,,,,845.527
2016,Million EUR,Gross disbursements,Imputed student costs,,,,904.583
2017,Million EUR,Gross disbursements,Imputed student costs,,,,998.585
2018,Million EUR,Gross disbursements,Imputed student costs,,,,1121.055
2019,Million EUR,Gross disbursements,Imputed student costs,,,,1318.333
2020,Million EUR,Gross disbursements,Imputed student costs,,,,1488.856
2021,Million EUR,Gross disbursements,Imputed student costs,,,,1669.123
2022,Million EUR,Gross disbursements,Imputed student costs,,,,1779.444
2023,Million EUR,Gross disbursements,Imputed student costs,,,,1980.449
2024,Million EUR,Gross disbursements,Imputed student costs,,,,2196.572
2010,"Million USD, constant prices (2024)",Commitments,Scholarships,,,,206.08
2011,"Million USD, constant prices (2024)",Commitments,Scholarships,,,,196.46
2012,"Million USD, constant prices (2024)",Commitments,Scholarships,,,,174.26
2013,"Million USD, constant prices (2024)",Commitments,Scholarships,,,,147.59
2014,"Million USD, constant prices (2024)",Commitments,Scholarships,,,,93.06
2015,"Million USD, constant prices (2024)",Commitments,Scholarships,,,,120.22
2016,"Million USD, constant prices (2024)",Commitments,Scholarships,,,,104.76
2017,"Million USD, constant prices (2024)",Commitments,Scholarships,,,,87.53
2018,"Million USD, constant prices (2024)",Commitments,Scholarships,,,,88.07
2019,"Million USD, constant prices (2024)",Commitments,Scholarships,,,,89.54
2020,"Million USD, constant prices (2024)",Commitments,Scholarships,,,,91.37
2021,"Million USD, constant prices (2024)",Commitments,Scholarships,,,,57.34
2022,"Million USD, constant prices (2024)",Commitments,Scholarships,,,,34.11
2023,"Million USD, constant prices (2024)",Commitments,Scholarships,,,,19.77
2024,"Million USD, constant prices (2024)",Commitments,Scholarships,,,,19.05
2010,"Million USD, constant prices (2024)",Commitments,Imputed student costs,,,,1027.28
2011,"Million USD, constant prices (2024)",Commitments,Imputed student costs,,,,1007.94
2012,"Million USD, constant prices (2024)",Commitments,Imputed student costs,,,,1031.44
2013,"Million USD, constant prices (2024)",Commitments,Imputed student costs,,,,982.49
2014,"Million USD, constant prices (2024)",Commitments,Imputed student costs,,,,1063.47
2015,"Million USD, constant prices (2024)",Commitments,Imputed student costs,,,,1194.58
2016,"Million USD, constant prices (2024)",Commitments,Imputed student costs,,,,1262.1
2017,"Million USD, constant prices (2024)",Commitments,Imputed student costs,,,,1373.05
2018,"Million USD, constant prices (2024)",Commitments,Imputed student costs,,,,1513.12
2019,"Million USD, constant prices (2024)",Commitments,Imputed student costs,,,,1744.27
2020,"Million USD, constant prices (2024)",Commitments,Imputed student costs,,,,1935.96
2021,"Million USD, constant prices (2024)",Commitments,Imputed student costs,,,,2113.49
2022,"Million USD, constant prices (2024)",Commitments,Imputed student costs,,,,2117.23
2023,"Million USD, constant prices (2024)",Commitments,Imputed student costs,,,,2208.52
2024,"Million USD, constant prices (2024)",Commitments,Imputed student costs,,,,2375.7
2010,"Million USD, constant prices (2024)",Gross disbursements,Scholarships,,,,199.78
2011,"Million USD, constant prices (2024)",Gross disbursements,Scholarships,,,,182.99
2012,"Million USD, constant prices (2024)",Gross disbursements,Scholarships,,,,169.1
2013,"Million USD, constant prices (2024)",Gross disbursements,Scholarships,,,,140.74
2014,"Million USD, constant prices (2024)",Gross disbursements,Scholarships,,,,82.32
2015,"Million USD, constant prices (2024)",Gross disbursements,Scholarships,,,,116.65
2016,"Million USD, constant prices (2024)",Gross disbursements,Scholarships,,,,104.19
2017,"Million USD, constant prices (2024)",Gross disbursements,Scholarships,,,,93.9
2018,"Million USD, constant prices (2024)",Gross disbursements,Scholarships,,,,89.08
2019,"Million USD, constant prices (2024)",Gross disbursements,Scholarships,,,,87.26
2020,"Million USD, constant prices (2024)",Gross disbursements,Scholarships,,,,93.85
2021,"Million USD, constant prices (2024)",Gross disbursements,Scholarships,,,,52.99
2022,"Million USD, constant prices (2024)",Gross disbursements,Scholarships,,,,25.16
2023,"Million USD, constant prices (2024)",Gross disbursements,Scholarships,,,,18.01
2024,"Million USD, constant prices (2024)",Gross disbursements,Scholarships,,,,20.12
2010,"Million USD, constant prices (2024)",Gross disbursements,Imputed student costs,,,,1027.28
2011,"Million USD, constant prices (2024)",Gross disbursements,Imputed student costs,,,,1007.94
2012,"Million USD, constant prices (2024)",Gross disbursements,Imputed student costs,,,,1031.44
2013,"Million USD, constant prices (2024)",Gross disbursements,Imputed student costs,,,,982.49
2014,"Million USD, constant prices (2024)",Gross disbursements,Imputed student costs,,,,1063.47
2015,"Million USD, constant prices (2024)",Gross disbursements,Imputed student costs,,,,1194.58
2016,"Million USD, constant prices (2024)",Gross disbursements,Imputed student costs,,,,1262.1
2017,"Million USD, constant prices (2024)",Gross disbursements,Imputed student costs,,,,1373.05
2018,"Million USD, constant prices (2024)",Gross disbursements,Imputed student costs,,,,1513.12
2019,"Million USD, constant prices (2024)",Gross disbursements,Imputed student costs,,,,1744.27
2020,"Million USD, constant prices (2024)",Gross disbursements,Imputed student costs,,,,1935.96
2021,"Million USD, constant prices (2024)",Gross disbursements,Imputed student costs,,,,2113.49
2022,"Million USD, constant prices (2024)",Gross disbursements,Imputed student costs,,,,2117.23
2023,"Million USD, constant prices (2024)",Gross disbursements,Imputed student costs,,,,2208.52
2024,"Million USD, constant prices (2024)",Gross disbursements,Imputed student costs,,,,2375.7
