Year,Type of tenure,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,,,,,Owned and leased agricultural land,98.4
2011,,.,,,Owned and leased agricultural land,
2012,,.,,,Owned and leased agricultural land,
2013,,,,,Owned and leased agricultural land,98.4
2014,,.,,,Owned and leased agricultural land,
2015,,.,,,Owned and leased agricultural land,
2016,,,,,Owned and leased agricultural land,98.1
2017,,.,,,Owned and leased agricultural land,
2018,,.,,,Owned and leased agricultural land,
2019,,.,,,Owned and leased agricultural land,
2020,,,,,Owned and leased agricultural land,98.3
2021,,.,,,Owned and leased agricultural land,
2022,,.,,,Owned and leased agricultural land,
2023,,,,,Owned and leased agricultural land,98.2
2010,Property,,,,Owned and leased agricultural land,38.6
2011,Property,.,,,Owned and leased agricultural land,
2012,Property,.,,,Owned and leased agricultural land,
2013,Property,,,,Owned and leased agricultural land,38.4
2014,Property,.,,,Owned and leased agricultural land,
2015,Property,.,,,Owned and leased agricultural land,
2016,Property,,,,Owned and leased agricultural land,39.6
2017,Property,.,,,Owned and leased agricultural land,
2018,Property,.,,,Owned and leased agricultural land,
2019,Property,.,,,Owned and leased agricultural land,
2020,Property,,,,Owned and leased agricultural land,38.2
2021,Property,.,,,Owned and leased agricultural land,
2022,Property,.,,,Owned and leased agricultural land,
2023,Property,,,,Owned and leased agricultural land,38.3
2010,Leasehold,,,,Owned and leased agricultural land,59.8
2011,Leasehold,.,,,Owned and leased agricultural land,
2012,Leasehold,.,,,Owned and leased agricultural land,
2013,Leasehold,,,,Owned and leased agricultural land,60.0
2014,Leasehold,.,,,Owned and leased agricultural land,
2015,Leasehold,.,,,Owned and leased agricultural land,
2016,Leasehold,,,,Owned and leased agricultural land,58.5
2017,Leasehold,.,,,Owned and leased agricultural land,
2018,Leasehold,.,,,Owned and leased agricultural land,
2019,Leasehold,.,,,Owned and leased agricultural land,
2020,Leasehold,,,,Owned and leased agricultural land,60.1
2021,Leasehold,.,,,Owned and leased agricultural land,
2022,Leasehold,.,,,Owned and leased agricultural land,
2023,Leasehold,,,,Owned and leased agricultural land,60.0
2010,,,,,Female owners of agricultural holdings with the legal form of a sole proprietorship,8.4
2011,,.,,,Female owners of agricultural holdings with the legal form of a sole proprietorship,
2012,,.,,,Female owners of agricultural holdings with the legal form of a sole proprietorship,
2013,,,,,Female owners of agricultural holdings with the legal form of a sole proprietorship,8.6
2014,,.,,,Female owners of agricultural holdings with the legal form of a sole proprietorship,
2015,,.,,,Female owners of agricultural holdings with the legal form of a sole proprietorship,
2016,,,,,Female owners of agricultural holdings with the legal form of a sole proprietorship,9.6
2017,,.,,,Female owners of agricultural holdings with the legal form of a sole proprietorship,
2018,,.,,,Female owners of agricultural holdings with the legal form of a sole proprietorship,
2019,,.,,,Female owners of agricultural holdings with the legal form of a sole proprietorship,
2020,,,,,Female owners of agricultural holdings with the legal form of a sole proprietorship,10.9
2021,,.,,,Female owners of agricultural holdings with the legal form of a sole proprietorship,
2022,,.,,,Female owners of agricultural holdings with the legal form of a sole proprietorship,
2023,,,,,Female owners of agricultural holdings with the legal form of a sole proprietorship,11.3
2010,,,,,Agricultural holdings with the legal form of a sole proprietorship,91.3
2011,,.,,,Agricultural holdings with the legal form of a sole proprietorship,
2012,,.,,,Agricultural holdings with the legal form of a sole proprietorship,
2013,,,,,Agricultural holdings with the legal form of a sole proprietorship,89.8
2014,,.,,,Agricultural holdings with the legal form of a sole proprietorship,
2015,,.,,,Agricultural holdings with the legal form of a sole proprietorship,
2016,,,,,Agricultural holdings with the legal form of a sole proprietorship,88.6
2017,,.,,,Agricultural holdings with the legal form of a sole proprietorship,
2018,,.,,,Agricultural holdings with the legal form of a sole proprietorship,
2019,,.,,,Agricultural holdings with the legal form of a sole proprietorship,
2020,,,,,Agricultural holdings with the legal form of a sole proprietorship,87.0
2021,,.,,,Agricultural holdings with the legal form of a sole proprietorship,
2022,,.,,,Agricultural holdings with the legal form of a sole proprietorship,
2023,,,,,Agricultural holdings with the legal form of a sole proprietorship,85.4
