Year,Time series,COMMENT_OBS,Value
2010,,Schatzung,95.3
2011,,,94.5
2012,,Schatzung,94.8
2013,,Schatzung,95.1
2014,,Schatzung,95.1
2015,,Schatzung,95.6
2016,,Schatzung,95.1
2017,,Schatzung,94.9
2018,,Schatzung,95.4
2019,,,96.1
2020,,Schatzung,96.4
2021,,Schatzung,94.9
2022,,Schatzung,94.7
2023,,Schatzung,95.0
2010,Population covered by health insurance,,
2011,Population covered by health insurance,,99.8
2012,Population covered by health insurance,,
2013,Population covered by health insurance,,
2014,Population covered by health insurance,,
2015,Population covered by health insurance,,99.9
2016,Population covered by health insurance,,
2017,Population covered by health insurance,,
2018,Population covered by health insurance,,
2019,Population covered by health insurance,,99.9
2020,Population covered by health insurance,,
2021,Population covered by health insurance,,
2022,Population covered by health insurance,,
2023,Population covered by health insurance,,
2010,Unemployed persons with unemployment benefits,Schatzung,95.3
2011,Unemployed persons with unemployment benefits,Schatzung,94.5
2012,Unemployed persons with unemployment benefits,Schatzung,94.8
2013,Unemployed persons with unemployment benefits,Schatzung,95.1
2014,Unemployed persons with unemployment benefits,Schatzung,95.1
2015,Unemployed persons with unemployment benefits,Schatzung,95.6
2016,Unemployed persons with unemployment benefits,Schatzung,95.1
2017,Unemployed persons with unemployment benefits,Schatzung,94.9
2018,Unemployed persons with unemployment benefits,Schatzung,95.4
2019,Unemployed persons with unemployment benefits,Schatzung,96.1
2020,Unemployed persons with unemployment benefits,Schatzung,96.4
2021,Unemployed persons with unemployment benefits,Schatzung,94.9
2022,Unemployed persons with unemployment benefits,Schatzung,94.7
2023,Unemployed persons with unemployment benefits,Schatzung,95.0
