Year,Series,Time series,Typification,Sex,Value
2010,Wohnverhältnisse,Overcrowding rate,Cities,,9.6
2011,Wohnverhältnisse,Overcrowding rate,Cities,,9.5
2012,Wohnverhältnisse,Overcrowding rate,Cities,,10.8
2013,Wohnverhältnisse,Overcrowding rate,Cities,,10.4
2014,Wohnverhältnisse,Overcrowding rate,Cities,,9.9
2015,Wohnverhältnisse,Overcrowding rate,Cities,,10.5
2016,Wohnverhältnisse,Overcrowding rate,Cities,,11.0
2017,Wohnverhältnisse,Overcrowding rate,Cities,,11.4
2018,Wohnverhältnisse,Overcrowding rate,Cities,,11.5
2019,Wohnverhältnisse,Overcrowding rate,Cities,,12.7
2010,Wohnverhältnisse,Overcrowding rate,Smaller towns and suburbs,,4.7
2011,Wohnverhältnisse,Overcrowding rate,Smaller towns and suburbs,,4.1
2012,Wohnverhältnisse,Overcrowding rate,Smaller towns and suburbs,,4.8
2013,Wohnverhältnisse,Overcrowding rate,Smaller towns and suburbs,,5.2
2014,Wohnverhältnisse,Overcrowding rate,Smaller towns and suburbs,,5.2
2015,Wohnverhältnisse,Overcrowding rate,Smaller towns and suburbs,,5.6
2016,Wohnverhältnisse,Overcrowding rate,Smaller towns and suburbs,,5.9
2017,Wohnverhältnisse,Overcrowding rate,Smaller towns and suburbs,,5.3
2018,Wohnverhältnisse,Overcrowding rate,Smaller towns and suburbs,,5.5
2019,Wohnverhältnisse,Overcrowding rate,Smaller towns and suburbs,,5.5
2010,Wohnverhältnisse,Overcrowding rate,Rural areas,,4.7
2011,Wohnverhältnisse,Overcrowding rate,Rural areas,,4.1
2012,Wohnverhältnisse,Overcrowding rate,Rural areas,,3.7
2013,Wohnverhältnisse,Overcrowding rate,Rural areas,,4.0
2014,Wohnverhältnisse,Overcrowding rate,Rural areas,,4.1
2015,Wohnverhältnisse,Overcrowding rate,Rural areas,,3.9
2016,Wohnverhältnisse,Overcrowding rate,Rural areas,,3.5
2017,Wohnverhältnisse,Overcrowding rate,Rural areas,,3.9
2018,Wohnverhältnisse,Overcrowding rate,Rural areas,,4.2
2019,Wohnverhältnisse,Overcrowding rate,Rural areas,,4.0
2010,Wohnverhältnisse,Rate of overburdening by housing costs,Cities,,16.2
