Year,Time series,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Protection of biodiversity and landscape (COFOG 5.4),,,,13.2587271443364
2011,Protection of biodiversity and landscape (COFOG 5.4),,,,15.013463566208
2012,Protection of biodiversity and landscape (COFOG 5.4),,,,15.3029184741556
2013,Protection of biodiversity and landscape (COFOG 5.4),,,,15.919688138893
2014,Protection of biodiversity and landscape (COFOG 5.4),,,,17.3990943969083
2015,Protection of biodiversity and landscape (COFOG 5.4),,,,17.5984432947828
2016,Protection of biodiversity and landscape (COFOG 5.4),,,,18.1907226631198
2017,Protection of biodiversity and landscape (COFOG 5.4),,,,19.5346785971753
2018,Protection of biodiversity and landscape (COFOG 5.4),,,,19.4884121499909
2019,Protection of biodiversity and landscape (COFOG 5.4),,,,21.118330947262
2020,Protection of biodiversity and landscape (COFOG 5.4),,,,20.9021114874263
2021,Protection of biodiversity and landscape (COFOG 5.4),,,,22.247961623572
2022,Protection of biodiversity and landscape (COFOG 5.4),p,,,23.2159983528758
2023,Protection of biodiversity and landscape (COFOG 5.4),p,,,28.7078675273712
2024,Protection of biodiversity and landscape (COFOG 5.4),p,,,30.0778553071484
2025,Protection of biodiversity and landscape (COFOG 5.4),p,,,30.8421256838412
2010,Cultural services (COFOG 8.2),,,,119.915646608002
2011,Cultural services (COFOG 8.2),,,,129.805459871352
2012,Cultural services (COFOG 8.2),,,,129.496752027034
2013,Cultural services (COFOG 8.2),,,,134.479797388404
2014,Cultural services (COFOG 8.2),,,,141.590073579386
2015,Cultural services (COFOG 8.2),,,,141.619161468787
2016,Cultural services (COFOG 8.2),,,,144.232544147151
2017,Cultural services (COFOG 8.2),,,,151.101469672789
2018,Cultural services (COFOG 8.2),,,,155.603170917936
2019,Cultural services (COFOG 8.2),,,,166.513660141776
2020,Cultural services (COFOG 8.2),,,,172.299212884983
2021,Cultural services (COFOG 8.2),,,,167.402791876323
2022,Cultural services (COFOG 8.2),p,,,182.747227117992
2023,Cultural services (COFOG 8.2),p,,,194.243362968553
2024,Cultural services (COFOG 8.2),p,,,216.448005727437
2025,Cultural services (COFOG 8.2),p,,,219.474769375192
