Year,Units,Fine particulate matter,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2016,Micrograms per m³,PM₁₀,,,,Population weighted annual mean levels of fine particulate matter,96.4
2018,Micrograms per m³,PM₁₀,,,,Population weighted annual mean levels of fine particulate matter,96.5
2020,Micrograms per m³,PM₁₀,,,,Population weighted annual mean levels of fine particulate matter,96.8
2016,Micrograms per m³,PM₂.₅,.,,,Population weighted annual mean levels of fine particulate matter,87.6
2018,Micrograms per m³,PM₂.₅,,,,Population weighted annual mean levels of fine particulate matter,88.0
2020,Micrograms per m³,PM₂.₅,,,,Population weighted annual mean levels of fine particulate matter,85.7
2016,Million inhabitants,PM₂.₅,,,,Population with excessive exposure to fine particulate matter,56.5
2018,Million inhabitants,PM₂.₅,,,,Population with excessive exposure to fine particulate matter,61.6
2020,Million inhabitants,PM₂.₅,,,,Population with excessive exposure to fine particulate matter,62.2
2016,Million inhabitants,PM₁₀,,,,Population with excessive exposure to fine particulate matter,66.9
2018,Million inhabitants,PM₁₀,,,,Population with excessive exposure to fine particulate matter,69.4
2020,Million inhabitants,PM₁₀,,,,Population with excessive exposure to fine particulate matter,69.5
