Year,Units,Type of waste treatment,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Kilogram per capita,,.,,,a) Hazardous waste generated per capita,
2011,Kilogram per capita,,.,,,a) Hazardous waste generated per capita,
2012,Kilogram per capita,,,,,a) Hazardous waste generated per capita,10.1
2013,Kilogram per capita,,,,,a) Hazardous waste generated per capita,10.1
2014,Kilogram per capita,,,,,a) Hazardous waste generated per capita,10.3
2015,Kilogram per capita,,,,,a) Hazardous waste generated per capita,10.2
2016,Kilogram per capita,,,,,a) Hazardous waste generated per capita,10.5
2017,Kilogram per capita,,,,,a) Hazardous waste generated per capita,10.1
2018,Kilogram per capita,,,,,a) Hazardous waste generated per capita,10.6
2019,Kilogram per capita,,,,,a) Hazardous waste generated per capita,9.7
2020,Kilogram per capita,,,,,a) Hazardous waste generated per capita,11.2
2021,Kilogram per capita,,|,,,a) Hazardous waste generated per capita,10.9
2022,Kilogram per capita,,,,,a) Hazardous waste generated per capita,11.6
2023,Kilogram per capita,,,,,a) Hazardous waste generated per capita,12.1
2024,Kilogram per capita,,|,,,a) Hazardous waste generated per capita,12.9
2010,Percentage,,.,,,b) Hazardous waste treated,
2011,Percentage,,.,,,b) Hazardous waste treated,
2012,Percentage,,,,,b) Hazardous waste treated,17.8
2013,Percentage,,,,,b) Hazardous waste treated,17.7
2014,Percentage,,,,,b) Hazardous waste treated,17.9
2015,Percentage,,,,,b) Hazardous waste treated,17.6
2016,Percentage,,,,,b) Hazardous waste treated,18.1
2017,Percentage,,,,,b) Hazardous waste treated,17.4
2018,Percentage,,,,,b) Hazardous waste treated,18.2
2019,Percentage,,,,,b) Hazardous waste treated,16.3
2020,Percentage,,,,,b) Hazardous waste treated,18.9
2021,Percentage,,|,,,b) Hazardous waste treated,18.2
2022,Percentage,,,,,b) Hazardous waste treated,19.3
2023,Percentage,,,,,b) Hazardous waste treated,19.7
2024,Percentage,,|,,,b) Hazardous waste treated,20.9
2010,Percentage,Energy recovery,.,,,b) Hazardous waste treated,
2011,Percentage,Energy recovery,.,,,b) Hazardous waste treated,
2012,Percentage,Energy recovery,,,,b) Hazardous waste treated,2.3
2013,Percentage,Energy recovery,,,,b) Hazardous waste treated,2.3
2014,Percentage,Energy recovery,,,,b) Hazardous waste treated,2.5
2015,Percentage,Energy recovery,,,,b) Hazardous waste treated,2.4
2016,Percentage,Energy recovery,,,,b) Hazardous waste treated,2.7
