Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Million EUR,r,,,79.3
2011,Million EUR,,,,77.5
2012,Million EUR,,,,76.2
2013,Million EUR,r,,,81.8
2014,Million EUR,r,,,76.6
2015,Million EUR,r,,,78.1
2016,Million EUR,r,,,80.0
2017,Million EUR,r,,,80.4
2018,Million EUR,r,,,77.1
2019,Million EUR,r,,,74.3
2020,Million EUR,r,,,68.9
2021,Million EUR,,,,72.1
2010,Percentage,,,,98.4
2011,Percentage,r,,,96.9
2012,Percentage,,,,97.0
2013,Percentage,,,,97.6
2014,Percentage,r,,,93.4
2015,Percentage,r,,,94.3
2016,Percentage,r,,,96.0
2017,Percentage,r,,,95.6
2018,Percentage,r,,,94.3
2019,Percentage,,,,95.3
2020,Percentage,,,,91.2
2021,Percentage,,,,90.9
