Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,,,,Documents issued for the import and export of protected species,2.4
2011,,,,Documents issued for the import and export of protected species,2.35
2012,,,,Documents issued for the import and export of protected species,2.51
2013,,,,Documents issued for the import and export of protected species,2.74
2014,,,,Documents issued for the import and export of protected species,2.87
2015,,,,Documents issued for the import and export of protected species,2.69
2016,,,,Documents issued for the import and export of protected species,2.87
2017,,,,Documents issued for the import and export of protected species,2.85
2018,,,,Documents issued for the import and export of protected species,2.84
2019,,,,Documents issued for the import and export of protected species,2.53
2020,,,,Documents issued for the import and export of protected species,2.37
2021,,,,Documents issued for the import and export of protected species,2.58
2022,,,,Documents issued for the import and export of protected species,2.3
2023,,,,Documents issued for the import and export of protected species,2.54
2024,,,,Documents issued for the import and export of protected species,2.4
2020,.,,,Seizures by customs authorities concerning the protection of species,
2021,,,,Seizures by customs authorities concerning the protection of species,100.0
2022,.,,,Seizures by customs authorities concerning the protection of species,
2010,,,,Authorized imports and exports of protected species,30.9
2011,,,,Authorized imports and exports of protected species,31.2
2012,,,,Authorized imports and exports of protected species,31.2
2013,,,,Authorized imports and exports of protected species,31.3
2014,,,,Authorized imports and exports of protected species,31.3
2015,,,,Authorized imports and exports of protected species,31.4
2016,|,,,Authorized imports and exports of protected species,31.4
2017,,,,Authorized imports and exports of protected species,31.6
2018,,,,Authorized imports and exports of protected species,31.7
2019,,,,Authorized imports and exports of protected species,31.7
2020,,,,Authorized imports and exports of protected species,31.8
2021,,,,Authorized imports and exports of protected species,31.8
2022,,,,Authorized imports and exports of protected species,31.9
2023,,,,Authorized imports and exports of protected species,31.9
