Year,Units,Type of official development assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Million EUR,Commitments,,,,65.575
2011,Million EUR,Commitments,,,,118.745
2012,Million EUR,Commitments,,,,83.549
2013,Million EUR,Commitments,,,,51.584
2014,Million EUR,Commitments,,,,107.353
2015,Million EUR,Commitments,,,,83.089
2016,Million EUR,Commitments,,,,52.681
2017,Million EUR,Commitments,,,,109.101
2018,Million EUR,Commitments,,,,61.652
2019,Million EUR,Commitments,,,,390.944
2020,Million EUR,Commitments,,,,222.724
2021,Million EUR,Commitments,,,,159.939
2022,Million EUR,Commitments,,,,212.589
2023,Million EUR,Commitments,,,,239.394
2024,Million EUR,Commitments,,,,184.423
2010,Million EUR,Gross disbursements,,,,48.6
2011,Million EUR,Gross disbursements,,,,46.0
2012,Million EUR,Gross disbursements,,,,77.0
2013,Million EUR,Gross disbursements,,,,71.9
2014,Million EUR,Gross disbursements,,,,61.3
2015,Million EUR,Gross disbursements,,,,62.5
2016,Million EUR,Gross disbursements,,,,60.1
2017,Million EUR,Gross disbursements,,,,69.0
2018,Million EUR,Gross disbursements,,,,104.9
2019,Million EUR,Gross disbursements,,,,107.7
2020,Million EUR,Gross disbursements,,,,195.4
2021,Million EUR,Gross disbursements,,,,241.3
2022,Million EUR,Gross disbursements,,,,238.6
2023,Million EUR,Gross disbursements,,,,251.1
2024,Million EUR,Gross disbursements,,,,210.5
2010,"Million USD, constant prices (2024)",Commitments,,,,100.596
2011,"Million USD, constant prices (2024)",Commitments,,,,179.946
2012,"Million USD, constant prices (2024)",Commitments,,,,124.82
2013,"Million USD, constant prices (2024)",Commitments,,,,75.557
2014,"Million USD, constant prices (2024)",Commitments,,,,154.315
2015,"Million USD, constant prices (2024)",Commitments,,,,117.391
2016,"Million USD, constant prices (2024)",Commitments,,,,73.502
2017,"Million USD, constant prices (2024)",Commitments,,,,150.013
2018,"Million USD, constant prices (2024)",Commitments,,,,83.214
2019,"Million USD, constant prices (2024)",Commitments,,,,517.253
2020,"Million USD, constant prices (2024)",Commitments,,,,289.608
2021,"Million USD, constant prices (2024)",Commitments,,,,202.519
2022,"Million USD, constant prices (2024)",Commitments,,,,252.944
2023,"Million USD, constant prices (2024)",Commitments,,,,266.963
2024,"Million USD, constant prices (2024)",Commitments,,,,199.463
2010,"Million USD, constant prices (2024)",Gross disbursements,,,,74.5
2011,"Million USD, constant prices (2024)",Gross disbursements,,,,69.7
2012,"Million USD, constant prices (2024)",Gross disbursements,,,,115.1
2013,"Million USD, constant prices (2024)",Gross disbursements,,,,105.3
2014,"Million USD, constant prices (2024)",Gross disbursements,,,,88.2
2015,"Million USD, constant prices (2024)",Gross disbursements,,,,88.3
2016,"Million USD, constant prices (2024)",Gross disbursements,,,,83.8
2017,"Million USD, constant prices (2024)",Gross disbursements,,,,94.8
2018,"Million USD, constant prices (2024)",Gross disbursements,,,,141.6
2019,"Million USD, constant prices (2024)",Gross disbursements,,,,142.5
2020,"Million USD, constant prices (2024)",Gross disbursements,,,,254.1
2021,"Million USD, constant prices (2024)",Gross disbursements,,,,305.5
2022,"Million USD, constant prices (2024)",Gross disbursements,,,,283.9
2023,"Million USD, constant prices (2024)",Gross disbursements,,,,280.0
2024,"Million USD, constant prices (2024)",Gross disbursements,,,,227.6
