Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,,,,Documents issued for the import and export of protected species,306.3
2011,,,,Documents issued for the import and export of protected species,312.1
2012,,,,Documents issued for the import and export of protected species,336.9
2013,,,,Documents issued for the import and export of protected species,391.4
2014,,,,Documents issued for the import and export of protected species,406.8
2015,,,,Documents issued for the import and export of protected species,404.4
2016,,,,Documents issued for the import and export of protected species,447.8
2017,,,,Documents issued for the import and export of protected species,474.7
2018,,,,Documents issued for the import and export of protected species,490.5
2019,,,,Documents issued for the import and export of protected species,474.5
2020,,,,Documents issued for the import and export of protected species,489.4
2021,,,,Documents issued for the import and export of protected species,560.0
2022,,,,Documents issued for the import and export of protected species,537.3
2023,,,,Documents issued for the import and export of protected species,611.7
2024,,,,Documents issued for the import and export of protected species,624.9
2010,.,,,Seizures by customs authorities concerning the protection of species,
2011,.,,,Seizures by customs authorities concerning the protection of species,
2012,.,,,Seizures by customs authorities concerning the protection of species,
2013,.,,,Seizures by customs authorities concerning the protection of species,
2014,.,,,Seizures by customs authorities concerning the protection of species,
2015,.,,,Seizures by customs authorities concerning the protection of species,
2016,.,,,Seizures by customs authorities concerning the protection of species,
2017,.,,,Seizures by customs authorities concerning the protection of species,
2018,,,,Seizures by customs authorities concerning the protection of species,4.0
2019,.,,,Seizures by customs authorities concerning the protection of species,
2020,,,,Seizures by customs authorities concerning the protection of species,4.0
2021,.,,,Seizures by customs authorities concerning the protection of species,
2022,,,,Seizures by customs authorities concerning the protection of species,4.0
2023,.,,,Seizures by customs authorities concerning the protection of species,
2024,,,,Seizures by customs authorities concerning the protection of species,5.0
2020,.,,,Authorized imports and exports of protected species,
2021,,,,Authorized imports and exports of protected species,100.0
2022,.,,,Authorized imports and exports of protected species,
