Year,Units,Age group,Sex,Form of exploitation,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2019,"Per 100,000 inhabitants",,,,.,,,
2020,"Per 100,000 inhabitants",,,,,,,71.0
2021,"Per 100,000 inhabitants",,,,…,,,
2019,"Per 100,000 inhabitants",,,Labour exploitation,.,,,
2020,"Per 100,000 inhabitants",,,Labour exploitation,,,,25.4
2021,"Per 100,000 inhabitants",,,Labour exploitation,…,,,
2019,"Per 100,000 inhabitants",,,Sexual exploitation,.,,,
2020,"Per 100,000 inhabitants",,,Sexual exploitation,,,,3.4
2021,"Per 100,000 inhabitants",,,Sexual exploitation,…,,,
2019,Number,,,,.,,,
2020,Number,,,,,,,0.2
2021,Number,,,,…,,,
2019,Number,,,Labour exploitation,.,,,
2020,Number,,,Labour exploitation,,,,70.7
2021,Number,,,Labour exploitation,…,,,
2019,Number,,,Sexual exploitation,.,,,
2020,Number,,,Sexual exploitation,,,,27.6
2021,Number,,,Sexual exploitation,…,,,
2019,Number,13 years and younger,,Sexual exploitation,.,,,
2020,Number,13 years and younger,,Sexual exploitation,,,,1.6
2021,Number,13 years and younger,,Sexual exploitation,…,,,
2019,Number,14 to under 18 years,,Sexual exploitation,.,,,
2020,Number,14 to under 18 years,,Sexual exploitation,,,,0.1
2021,Number,14 to under 18 years,,Sexual exploitation,…,,,
2019,Number,18 to under 21 years,,Sexual exploitation,.,,,
2020,Number,18 to under 21 years,,Sexual exploitation,,,,67.2
2021,Number,18 to under 21 years,,Sexual exploitation,…,,,
2019,Number,21 to under 25 years,,Sexual exploitation,.,,,
2020,Number,21 to under 25 years,,Sexual exploitation,,,,30.6
2021,Number,21 to under 25 years,,Sexual exploitation,…,,,
2019,Number,25 years and older,,Sexual exploitation,.,,,
2020,Number,25 years and older,,Sexual exploitation,,,,2.0
2021,Number,25 years and older,,Sexual exploitation,…,,,
2019,Number,Unknown age,,Sexual exploitation,.,,,
2020,Number,Unknown age,,Sexual exploitation,,,,0.1
2021,Number,Unknown age,,Sexual exploitation,…,,,
2019,Number,,Female,Labour exploitation,.,,,
2020,Number,,Female,Labour exploitation,,,,61.0
2021,Number,,Female,Labour exploitation,…,,,
2019,Number,,Male,Labour exploitation,.,,,
2020,Number,,Male,Labour exploitation,,,,36.4
2021,Number,,Male,Labour exploitation,…,,,
2019,Number,,Unknown,Labour exploitation,.,,,
2020,Number,,Unknown,Labour exploitation,,,,2.3
2021,Number,,Unknown,Labour exploitation,…,,,
2019,Number,,Female,Sexual exploitation,.,,,
2020,Number,,Female,Sexual exploitation,,,,0.3
2021,Number,,Female,Sexual exploitation,…,,,
2019,Number,,Male,Sexual exploitation,.,,,
2020,Number,,Male,Sexual exploitation,,,,54.9
2021,Number,,Male,Sexual exploitation,…,,,
2019,Number,,Unknown,Sexual exploitation,.,,,
2020,Number,,Unknown,Sexual exploitation,,,,43.4
2021,Number,,Unknown,Sexual exploitation,…,,,
