Year,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,.,,,
2011,,.,,,
2012,,,,,101.6
2013,,,,,99.6
2014,,,,,100.2
2015,,,,,100.5
2016,,,,,100.9
2017,,,,,99.0
2018,,,,,98.3
2019,,,,,98.0
2020,,,,,97.4
2021,,,,,96.6
2022,,,,,98.8
2023,,,,,102.4
2024,,,,,99.7
2010,Female,.,,,
2011,Female,.,,,
2012,Female,,,,98.2
2013,Female,,,,98.6
2014,Female,,,,97.5
2015,Female,,,,97.7
2016,Female,,,,97.8
2017,Female,,,,96.0
2018,Female,,,,95.3
2019,Female,,,,92.7
2020,Female,,,,94.5
2021,Female,,,,91.1
2022,Female,,,,87.0
2023,Female,,,,88.0
2024,Female,,,,97.3
2010,Male,.,,,
2011,Male,.,,,
2012,Male,,,,94.6
2013,Male,,,,85.0
2014,Male,,,,97.5
2015,Male,,,,98.1
2016,Male,,,,72.4
2017,Male,,,,69.5
2018,Male,,,,78.7
2019,Male,,,,78.9
2020,Male,,,,35.8
2021,Male,,,,39.0
2022,Male,,,,58.3
2023,Male,,,,70.6
2024,Male,,,,61.9
2010,Divers,.,,,
2011,Divers,.,,,
2012,Divers,,,,95.0
2013,Divers,,,,92.8
2014,Divers,,,,89.8
2015,Divers,,,,87.0
2016,Divers,,,,84.4
2017,Divers,,,,85.5
2018,Divers,,,,88.1
2019,Divers,,,,88.7
2020,Divers,,,,71.8
2021,Divers,,,,74.8
2022,Divers,,,,78.8
2023,Divers,,,,80.7
2024,Divers,,,,82.4
