Year,Units,Time series,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Percentage,Annual growth rate of real GDP,.,,,
2011,Percentage,Annual growth rate of real GDP,.,,,
2012,Percentage,Annual growth rate of real GDP,.,,,
2013,Percentage,Annual growth rate of real GDP,.,,,
2014,Percentage,Annual growth rate of real GDP,.,,,
2015,Percentage,Annual growth rate of real GDP,,,,92.17
2016,Percentage,Annual growth rate of real GDP,.,,,
2017,Percentage,Annual growth rate of real GDP,,,,93.6
2018,Percentage,Annual growth rate of real GDP,.,,,
2019,Percentage,Annual growth rate of real GDP,,,,94.19
2020,Percentage,Annual growth rate of real GDP,.,,,
2021,Percentage,Annual growth rate of real GDP,,,,94.92
2022,Percentage,Annual growth rate of real GDP,.,,,
2023,Percentage,Annual growth rate of real GDP,,,,91.62
2024,Percentage,Annual growth rate of real GDP,…,,,
2010,Billion EUR,Available income of private households,.,,,
2011,Billion EUR,Available income of private households,.,,,
2012,Billion EUR,Available income of private households,.,,,
2013,Billion EUR,Available income of private households,.,,,
2014,Billion EUR,Available income of private households,.,,,
2015,Billion EUR,Available income of private households,,,,92.34
2016,Billion EUR,Available income of private households,.,,,
2017,Billion EUR,Available income of private households,,,,94.33
2018,Billion EUR,Available income of private households,.,,,
2019,Billion EUR,Available income of private households,,,,91.1
2020,Billion EUR,Available income of private households,.,,,
2021,Billion EUR,Available income of private households,,,,95.9
2022,Billion EUR,Available income of private households,.,,,
2023,Billion EUR,Available income of private households,,,,92.39
2024,Billion EUR,Available income of private households,…,,,
2010,Billion EUR,Consumption by private households,.,,,
2011,Billion EUR,Consumption by private households,.,,,
2012,Billion EUR,Consumption by private households,.,,,
2013,Billion EUR,Consumption by private households,.,,,
2014,Billion EUR,Consumption by private households,.,,,
2015,Billion EUR,Consumption by private households,,,,91.98
2016,Billion EUR,Consumption by private households,.,,,
2017,Billion EUR,Consumption by private households,,,,92.78
2018,Billion EUR,Consumption by private households,.,,,
2019,Billion EUR,Consumption by private households,,,,94.33
2020,Billion EUR,Consumption by private households,.,,,
2021,Billion EUR,Consumption by private households,,,,93.87
2022,Billion EUR,Consumption by private households,.,,,
2023,Billion EUR,Consumption by private households,,,,90.76
2024,Billion EUR,Consumption by private households,…,,,
2010,Billion EUR,Debts of the total public budget,.,,,
2011,Billion EUR,Debts of the total public budget,.,,,
2012,Billion EUR,Debts of the total public budget,.,,,
2013,Billion EUR,Debts of the total public budget,.,,,
2014,Billion EUR,Debts of the total public budget,.,,,
2015,Billion EUR,Debts of the total public budget,.,,,
2016,Billion EUR,Debts of the total public budget,.,,,
2017,Billion EUR,Debts of the total public budget,.,,,
2018,Billion EUR,Debts of the total public budget,.,,,
2019,Billion EUR,Debts of the total public budget,,,,90.02
2020,Billion EUR,Debts of the total public budget,.,,,
2021,Billion EUR,Debts of the total public budget,,,,96.04
2022,Billion EUR,Debts of the total public budget,.,,,
2023,Billion EUR,Debts of the total public budget,,,,94.62
2024,Billion EUR,Debts of the total public budget,…,,,
2010,Billion EUR,Government fiscal balance,s,,,100.0
2011,Billion EUR,Government fiscal balance,s,,,100.0
2012,Billion EUR,Government fiscal balance,s,,,100.0
2013,Billion EUR,Government fiscal balance,s,,,100.0
2014,Billion EUR,Government fiscal balance,s,,,100.0
2015,Billion EUR,Government fiscal balance,s,,,100.0
2016,Billion EUR,Government fiscal balance,s,,,100.0
2017,Billion EUR,Government fiscal balance,s,,,100.0
2018,Billion EUR,Government fiscal balance,s,,,100.0
2019,Billion EUR,Government fiscal balance,s,,,100.0
2020,Billion EUR,Government fiscal balance,s,,,100.0
2021,Billion EUR,Government fiscal balance,s,,,100.0
2022,Billion EUR,Government fiscal balance,s,,,100.0
2023,Billion EUR,Government fiscal balance,s,,,100.0
2024,Billion EUR,Government fiscal balance,s,,,100.0
2010,Billion EUR,Gross fixed capital formation,.,,,
2011,Billion EUR,Gross fixed capital formation,.,,,
2012,Billion EUR,Gross fixed capital formation,.,,,
2013,Billion EUR,Gross fixed capital formation,.,,,
2014,Billion EUR,Gross fixed capital formation,.,,,
2015,Billion EUR,Gross fixed capital formation,.,,,
2016,Billion EUR,Gross fixed capital formation,.,,,
2017,Billion EUR,Gross fixed capital formation,.,,,
2018,Billion EUR,Gross fixed capital formation,.,,,
2019,Billion EUR,Gross fixed capital formation,.,,,
2020,Billion EUR,Gross fixed capital formation,,,,8.0
2021,Billion EUR,Gross fixed capital formation,,,,8.0
2022,Billion EUR,Gross fixed capital formation,,,,8.0
2023,Billion EUR,Gross fixed capital formation,,,,8.0
2024,Billion EUR,Gross fixed capital formation,,,,8.0
2010,Million hours,Hours worked by employees,,,,1.0
2011,Million hours,Hours worked by employees,,,,1.0
2012,Million hours,Hours worked by employees,,,,1.0
2013,Million hours,Hours worked by employees,,,,1.0
2014,Million hours,Hours worked by employees,,,,1.0
2015,Million hours,Hours worked by employees,,,,1.0
2016,Million hours,Hours worked by employees,,,,1.0
2017,Million hours,Hours worked by employees,,,,1.0
2018,Million hours,Hours worked by employees,,,,1.0
2019,Million hours,Hours worked by employees,,,,1.0
2020,Million hours,Hours worked by employees,,,,1.0
2021,Million hours,Hours worked by employees,,,,1.0
2022,Million hours,Hours worked by employees,,,,1.0
2023,Million hours,Hours worked by employees,,,,1.0
2024,Million hours,Hours worked by employees,,,,1.0
2010,Million hours,Hours worked by persons employed,,,,43.7
2011,Million hours,Hours worked by persons employed,,,,44.4
2012,Million hours,Hours worked by persons employed,,,,45.0
2013,Million hours,Hours worked by persons employed,,,,45.3
2014,Million hours,Hours worked by persons employed,,,,45.2
2015,Million hours,Hours worked by persons employed,,,,45.4
2016,Million hours,Hours worked by persons employed,,,,45.9
2017,Million hours,Hours worked by persons employed,,,,45.9
2018,Million hours,Hours worked by persons employed,,,,46.6
2019,Million hours,Hours worked by persons employed,,,,46.9
2020,Million hours,Hours worked by persons employed,,,,46.7
2021,Million hours,Hours worked by persons employed,p,,,47.5
2022,Million hours,Hours worked by persons employed,p,,,46.9
2023,Million hours,Hours worked by persons employed,p,,,45.9
2024,Million hours,Hours worked by persons employed,p,,,47.0
2010,2020 = 100,Labour productivity per hour worked by employee,,,,45.1
2011,2020 = 100,Labour productivity per hour worked by employee,,,,49.5
2012,2020 = 100,Labour productivity per hour worked by employee,,,,50.9
2013,2020 = 100,Labour productivity per hour worked by employee,,,,51.5
2014,2020 = 100,Labour productivity per hour worked by employee,,,,52.0
2015,2020 = 100,Labour productivity per hour worked by employee,,,,52.5
2016,2020 = 100,Labour productivity per hour worked by employee,,,,52.9
2017,2020 = 100,Labour productivity per hour worked by employee,,,,53.4
2018,2020 = 100,Labour productivity per hour worked by employee,,,,53.9
2019,2020 = 100,Labour productivity per hour worked by employee,,,,52.9
2020,2020 = 100,Labour productivity per hour worked by employee,,,,45.4
2021,2020 = 100,Labour productivity per hour worked by employee,p,,,48.1
2022,2020 = 100,Labour productivity per hour worked by employee,p,,,49.6
2023,2020 = 100,Labour productivity per hour worked by employee,p,,,47.5
2024,2020 = 100,Labour productivity per hour worked by employee,p,,,46.5
2010,2020 = 100,Labour productivity per hour worked by persons employed,,,,79.0
2011,2020 = 100,Labour productivity per hour worked by persons employed,,,,85.0
2012,2020 = 100,Labour productivity per hour worked by persons employed,,,,86.9
2013,2020 = 100,Labour productivity per hour worked by persons employed,,,,87.4
2014,2020 = 100,Labour productivity per hour worked by persons employed,,,,88.4
2015,2020 = 100,Labour productivity per hour worked by persons employed,,,,89.0
2016,2020 = 100,Labour productivity per hour worked by persons employed,,,,89.6
2017,2020 = 100,Labour productivity per hour worked by persons employed,,,,90.4
2018,2020 = 100,Labour productivity per hour worked by persons employed,,,,91.2
2019,2020 = 100,Labour productivity per hour worked by persons employed,,,,90.1
2020,2020 = 100,Labour productivity per hour worked by persons employed,,,,79.8
2021,2020 = 100,Labour productivity per hour worked by persons employed,p,,,82.1
2022,2020 = 100,Labour productivity per hour worked by persons employed,p,,,84.0
2023,2020 = 100,Labour productivity per hour worked by persons employed,p,,,82.5
2024,2020 = 100,Labour productivity per hour worked by persons employed,p,,,81.9
2010,"number in 1,000",Persons employed,,,,0.37
2011,"number in 1,000",Persons employed,,,,0.36
2012,"number in 1,000",Persons employed,,,,0.35
2013,"number in 1,000",Persons employed,,,,0.37
2014,"number in 1,000",Persons employed,,,,0.41
2015,"number in 1,000",Persons employed,,,,0.51
2016,"number in 1,000",Persons employed,,,,0.68
2017,"number in 1,000",Persons employed,,,,0.65
2018,"number in 1,000",Persons employed,,,,0.61
2019,"number in 1,000",Persons employed,,,,0.59
2020,"number in 1,000",Persons employed,,,,0.73
2021,"number in 1,000",Persons employed,p,,,0.72
