Year,Completeness of disaggregation,Goal,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Fully disaggregated,,,,,80.0
2011,Fully disaggregated,,,,,81.0
2012,Fully disaggregated,,,,,82.0
2013,Fully disaggregated,,,,,84.0
2014,Fully disaggregated,,,,,86.0
2015,Fully disaggregated,,,,,88.0
2016,Fully disaggregated,,,,,90.0
2017,Fully disaggregated,,,,,90.0
2018,Fully disaggregated,,,,,92.0
2019,Fully disaggregated,,,,,93.0
2020,Fully disaggregated,,,,,94.0
2021,Fully disaggregated,,|,,,91.0
2022,Fully disaggregated,,,,,92.0
2023,Fully disaggregated,,,,,92.0
2024,Fully disaggregated,,,,,94.0
2010,Partially disaggregated,,,,,76.0
2011,Partially disaggregated,,,,,78.0
2012,Partially disaggregated,,,,,79.0
2013,Partially disaggregated,,,,,81.0
2014,Partially disaggregated,,,,,84.0
2015,Partially disaggregated,,,,,85.0
2016,Partially disaggregated,,,,,88.0
2017,Partially disaggregated,,,,,89.0
2018,Partially disaggregated,,,,,91.0
2019,Partially disaggregated,,,,,92.0
2020,Partially disaggregated,,,,,93.0
2021,Partially disaggregated,,|,,,91.0
2022,Partially disaggregated,,,,,90.0
2023,Partially disaggregated,,,,,91.0
2024,Partially disaggregated,,,,,93.0
2010,Not disaggregated,,,,,84.0
2011,Not disaggregated,,,,,84.0
2012,Not disaggregated,,,,,85.0
2013,Not disaggregated,,,,,87.0
2014,Not disaggregated,,,,,89.0
2015,Not disaggregated,,,,,90.0
2016,Not disaggregated,,,,,91.0
2017,Not disaggregated,,,,,92.0
2018,Not disaggregated,,,,,94.0
2019,Not disaggregated,,,,,94.0
2020,Not disaggregated,,,,,95.0
2021,Not disaggregated,,|,,,92.0
2022,Not disaggregated,,,,,93.0
2023,Not disaggregated,,,,,93.0
2024,Not disaggregated,,,,,94.0
2010,Fully disaggregated,1 - No poverty,,,,98.0
2011,Fully disaggregated,1 - No poverty,,,,99.0
2012,Fully disaggregated,1 - No poverty,,,,98.0
2013,Fully disaggregated,1 - No poverty,,,,98.0
2014,Fully disaggregated,1 - No poverty,,,,99.0
2015,Fully disaggregated,1 - No poverty,,,,99.0
2016,Fully disaggregated,1 - No poverty,,,,99.0
2017,Fully disaggregated,1 - No poverty,,,,99.0
2018,Fully disaggregated,1 - No poverty,,,,99.0
2019,Fully disaggregated,1 - No poverty,,,,99.0
2020,Fully disaggregated,1 - No poverty,,,,99.0
2021,Fully disaggregated,1 - No poverty,|,,,98.0
2022,Fully disaggregated,1 - No poverty,,,,96.0
2023,Fully disaggregated,1 - No poverty,,,,97.0
2024,Fully disaggregated,1 - No poverty,,,,97.0
2010,Partially disaggregated,1 - No poverty,,,,85.0
2011,Partially disaggregated,1 - No poverty,,,,87.0
2012,Partially disaggregated,1 - No poverty,,,,88.0
2013,Partially disaggregated,1 - No poverty,,,,89.0
2014,Partially disaggregated,1 - No poverty,,,,91.0
2015,Partially disaggregated,1 - No poverty,,,,92.0
2016,Partially disaggregated,1 - No poverty,,,,93.0
2017,Partially disaggregated,1 - No poverty,,,,93.0
2018,Partially disaggregated,1 - No poverty,,,,95.0
2019,Partially disaggregated,1 - No poverty,,,,96.0
2020,Partially disaggregated,1 - No poverty,,,,97.0
2021,Partially disaggregated,1 - No poverty,|,,,94.0
2022,Partially disaggregated,1 - No poverty,,,,94.0
2023,Partially disaggregated,1 - No poverty,,,,95.0
2024,Partially disaggregated,1 - No poverty,,,,95.0
2010,Not disaggregated,1 - No poverty,,,,41.0
2011,Not disaggregated,1 - No poverty,,,,41.0
2012,Not disaggregated,1 - No poverty,,,,43.0
2013,Not disaggregated,1 - No poverty,,,,50.0
2014,Not disaggregated,1 - No poverty,,,,53.0
2015,Not disaggregated,1 - No poverty,,,,56.0
2016,Not disaggregated,1 - No poverty,,,,62.0
2017,Not disaggregated,1 - No poverty,,,,64.0
2018,Not disaggregated,1 - No poverty,,,,71.0
2019,Not disaggregated,1 - No poverty,,,,72.0
2020,Not disaggregated,1 - No poverty,,,,76.0
2021,Not disaggregated,1 - No poverty,|,,,74.0
2022,Not disaggregated,1 - No poverty,,,,77.0
2023,Not disaggregated,1 - No poverty,,,,79.0
2024,Not disaggregated,1 - No poverty,,,,83.0
2010,Fully disaggregated,2 - Zero hunger,,,,916.0
2011,Fully disaggregated,2 - Zero hunger,,,,809.2
2012,Fully disaggregated,2 - Zero hunger,,,,740.5
2013,Fully disaggregated,2 - Zero hunger,,,,835.9
2014,Fully disaggregated,2 - Zero hunger,,,,1115.5
2015,Fully disaggregated,2 - Zero hunger,,,,1578.0
2016,Fully disaggregated,2 - Zero hunger,,,,1278.4
2017,Fully disaggregated,2 - Zero hunger,,,,2141.1
2018,Fully disaggregated,2 - Zero hunger,,,,2107.3
2019,Fully disaggregated,2 - Zero hunger,,,,2029.1
2020,Fully disaggregated,2 - Zero hunger,,,,3225.6
2021,Fully disaggregated,2 - Zero hunger,,,,2941.9
2022,Fully disaggregated,2 - Zero hunger,,,,2972.9
2023,Fully disaggregated,2 - Zero hunger,,,,3486.6
2024,Fully disaggregated,2 - Zero hunger,…,,,
2010,Partially disaggregated,2 - Zero hunger,,,,675.0
2011,Partially disaggregated,2 - Zero hunger,,,,703.8
2012,Partially disaggregated,2 - Zero hunger,,,,743.5
2013,Partially disaggregated,2 - Zero hunger,,,,819.9
2014,Partially disaggregated,2 - Zero hunger,,,,929.0
2015,Partially disaggregated,2 - Zero hunger,,,,1302.0
2016,Partially disaggregated,2 - Zero hunger,,,,1210.4
2017,Partially disaggregated,2 - Zero hunger,,,,1536.8
2018,Partially disaggregated,2 - Zero hunger,,,,2150.9
2019,Partially disaggregated,2 - Zero hunger,,,,1727.2
2020,Partially disaggregated,2 - Zero hunger,,,,2395.3
2021,Partially disaggregated,2 - Zero hunger,,,,2415.8
2022,Partially disaggregated,2 - Zero hunger,,,,2801.3
2023,Partially disaggregated,2 - Zero hunger,,,,2322.6
2024,Partially disaggregated,2 - Zero hunger,…,,,
2010,Not disaggregated,2 - Zero hunger,,,,1351.9
2011,Not disaggregated,2 - Zero hunger,,,,1179.9
2012,Not disaggregated,2 - Zero hunger,,,,1064.4
