Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,"yes=1, no=0",‒,,,At least one population and housing census in the last 10 years conducted,0
2011,"yes=1, no=0",,,,At least one population and housing census in the last 10 years conducted,1
2012,"yes=1, no=0",,,,At least one population and housing census in the last 10 years conducted,1
2013,"yes=1, no=0",,,,At least one population and housing census in the last 10 years conducted,1
2014,"yes=1, no=0",,,,At least one population and housing census in the last 10 years conducted,1
2015,"yes=1, no=0",,,,At least one population and housing census in the last 10 years conducted,1
2016,"yes=1, no=0",,,,At least one population and housing census in the last 10 years conducted,1
2017,"yes=1, no=0",,,,At least one population and housing census in the last 10 years conducted,1
2018,"yes=1, no=0",,,,At least one population and housing census in the last 10 years conducted,1
2019,"yes=1, no=0",,,,At least one population and housing census in the last 10 years conducted,1
2020,"yes=1, no=0",,,,At least one population and housing census in the last 10 years conducted,1
2021,"yes=1, no=0",‒,,,At least one population and housing census in the last 10 years conducted,0
2022,"yes=1, no=0",,,,At least one population and housing census in the last 10 years conducted,1
2023,"yes=1, no=0",,,,At least one population and housing census in the last 10 years conducted,1
2024,"yes=1, no=0",,,,At least one population and housing census in the last 10 years conducted,1
2025,"yes=1, no=0",,,,At least one population and housing census in the last 10 years conducted,1
2010,Percentage,s,,,Birth registration,100
2011,Percentage,s,,,Birth registration,100
2012,Percentage,s,,,Birth registration,100
2013,Percentage,s,,,Birth registration,100
2014,Percentage,s,,,Birth registration,100
2015,Percentage,s,,,Birth registration,100
2016,Percentage,s,,,Birth registration,100
2017,Percentage,s,,,Birth registration,100
2018,Percentage,s,,,Birth registration,100
2019,Percentage,s,,,Birth registration,100
2020,Percentage,s,,,Birth registration,100
2021,Percentage,s,,,Birth registration,100
2022,Percentage,s,,,Birth registration,100
2023,Percentage,s,,,Birth registration,100
2024,Percentage,s,,,Birth registration,100
2025,Percentage,s,,,Birth registration,100
2010,Percentage,s,,,Death registration,100
2011,Percentage,s,,,Death registration,100
2012,Percentage,s,,,Death registration,100
2013,Percentage,s,,,Death registration,100
2014,Percentage,s,,,Death registration,100
2015,Percentage,s,,,Death registration,100
2016,Percentage,s,,,Death registration,100
2017,Percentage,s,,,Death registration,100
2018,Percentage,s,,,Death registration,100
2019,Percentage,s,,,Death registration,100
2020,Percentage,s,,,Death registration,100
2021,Percentage,s,,,Death registration,100
2022,Percentage,s,,,Death registration,100
2023,Percentage,s,,,Death registration,100
2024,Percentage,s,,,Death registration,100
2025,Percentage,s,,,Death registration,100
