Year,Type of financial flow,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Official Development Assistance,,,,0.37
2011,Official Development Assistance,,,,0.36
2012,Official Development Assistance,,,,0.35
2013,Official Development Assistance,,,,0.37
2014,Official Development Assistance,,,,0.41
2015,Official Development Assistance,,,,0.51
2016,Official Development Assistance,,,,0.68
2017,Official Development Assistance,,,,0.65
2018,Official Development Assistance,,,,0.61
2019,Official Development Assistance,,,,0.59
2020,Official Development Assistance,,,,0.73
2021,Official Development Assistance,,,,0.72
2022,Official Development Assistance,p,,,0.84
2023,Official Development Assistance,p,,,0.88
2024,Official Development Assistance,p,,,0.68
2010,Bilateral and imputed multilateral Official Development Assistance for LDCs,,,,0.1
2011,Bilateral and imputed multilateral Official Development Assistance for LDCs,,,,0.09
2012,Bilateral and imputed multilateral Official Development Assistance for LDCs,,,,0.1
2013,Bilateral and imputed multilateral Official Development Assistance for LDCs,,,,0.09
2014,Bilateral and imputed multilateral Official Development Assistance for LDCs,,,,0.09
2015,Bilateral and imputed multilateral Official Development Assistance for LDCs,,,,0.07
2016,Bilateral and imputed multilateral Official Development Assistance for LDCs,,,,0.1
2017,Bilateral and imputed multilateral Official Development Assistance for LDCs,,,,0.11
2018,Bilateral and imputed multilateral Official Development Assistance for LDCs,,,,0.12
2019,Bilateral and imputed multilateral Official Development Assistance for LDCs,,,,0.11
2020,Bilateral and imputed multilateral Official Development Assistance for LDCs,,,,0.14
2021,Bilateral and imputed multilateral Official Development Assistance for LDCs,,,,0.14
2022,Bilateral and imputed multilateral Official Development Assistance for LDCs,p,,,0.11
2023,Bilateral and imputed multilateral Official Development Assistance for LDCs,p,,,0.2
2024,Bilateral and imputed multilateral Official Development Assistance for LDCs,p,,,0.08
