Year,Units,Type of classification,Level of risk of extinction,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Percentage,FAO classification,At risk,.,,,
2011,Percentage,FAO classification,At risk,.,,,
2012,Percentage,FAO classification,At risk,.,,,
2013,Percentage,FAO classification,At risk,.,,,
2014,Percentage,FAO classification,At risk,.,,,
2015,Percentage,FAO classification,At risk,,,,45.45
2016,Percentage,FAO classification,At risk,.,,,
2017,Percentage,FAO classification,At risk,.,,,
2018,Percentage,FAO classification,At risk,.,,,
2019,Percentage,FAO classification,At risk,,,,87.5
2020,Percentage,FAO classification,At risk,.,,,
2021,Percentage,FAO classification,At risk,.,,,
2022,Percentage,FAO classification,At risk,.,,,
2023,Percentage,FAO classification,At risk,,,,87.95
2010,Percentage,FAO classification,Not at risk,.,,,
2011,Percentage,FAO classification,Not at risk,.,,,
2012,Percentage,FAO classification,Not at risk,.,,,
2013,Percentage,FAO classification,Not at risk,.,,,
2014,Percentage,FAO classification,Not at risk,.,,,
2015,Percentage,FAO classification,Not at risk,,,,54.55
2016,Percentage,FAO classification,Not at risk,.,,,
2017,Percentage,FAO classification,Not at risk,.,,,
2018,Percentage,FAO classification,Not at risk,.,,,
2019,Percentage,FAO classification,Not at risk,,,,12.5
2020,Percentage,FAO classification,Not at risk,.,,,
2021,Percentage,FAO classification,Not at risk,.,,,
2022,Percentage,FAO classification,Not at risk,.,,,
2023,Percentage,FAO classification,Not at risk,,,,12.05
2010,Percentage,National classification,Not at risk,.,,,
2011,Percentage,National classification,Not at risk,,,,29.7
2012,Percentage,National classification,Not at risk,.,,,
2013,Percentage,National classification,Not at risk,,,,30.7
2014,Percentage,National classification,Not at risk,.,,,
2015,Percentage,National classification,Not at risk,,,,28.6
2016,Percentage,National classification,Not at risk,.,,,
2017,Percentage,National classification,Not at risk,,,,29.9
2018,Percentage,National classification,Not at risk,.,,,
2019,Percentage,National classification,Not at risk,,,,30.0
2020,Percentage,National classification,Not at risk,.,,,
2021,Percentage,National classification,Not at risk,,,,28.4
2022,Percentage,National classification,Not at risk,.,,,
2023,Percentage,National classification,Not at risk,,,,28.9
2010,Percentage,National classification,Under observation,.,,,
2011,Percentage,National classification,Under observation,,,,39.2
2012,Percentage,National classification,Under observation,.,,,
2013,Percentage,National classification,Under observation,,,,42.7
2014,Percentage,National classification,Under observation,.,,,
2015,Percentage,National classification,Under observation,,,,46.8
2016,Percentage,National classification,Under observation,.,,,
2017,Percentage,National classification,Under observation,,,,46.8
2018,Percentage,National classification,Under observation,.,,,
2019,Percentage,National classification,Under observation,,,,45.0
2020,Percentage,National classification,Under observation,.,,,
2021,Percentage,National classification,Under observation,,,,44.4
2022,Percentage,National classification,Under observation,.,,,
2023,Percentage,National classification,Under observation,,,,43.4
2010,Percentage,National classification,Breeding programs for preservation,.,,,
2011,Percentage,National classification,Breeding programs for preservation,,,,24.3
2012,Percentage,National classification,Breeding programs for preservation,.,,,
2013,Percentage,National classification,Breeding programs for preservation,,,,20.0
2014,Percentage,National classification,Breeding programs for preservation,.,,,
2015,Percentage,National classification,Breeding programs for preservation,,,,18.2
2016,Percentage,National classification,Breeding programs for preservation,.,,,
2017,Percentage,National classification,Breeding programs for preservation,,,,16.9
2018,Percentage,National classification,Breeding programs for preservation,.,,,
2019,Percentage,National classification,Breeding programs for preservation,,,,17.5
2020,Percentage,National classification,Breeding programs for preservation,.,,,
