Year,Units,Measurement parameter,Type of flow,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Million EUR,Commitments,Official development assistance,,,,288.1
2011,Million EUR,Commitments,Official development assistance,,,,258.3
2012,Million EUR,Commitments,Official development assistance,,,,214.5
2013,Million EUR,Commitments,Official development assistance,,,,341.6
2014,Million EUR,Commitments,Official development assistance,,,,653.6
2015,Million EUR,Commitments,Official development assistance,,,,634.5
2016,Million EUR,Commitments,Official development assistance,,,,609.9
2017,Million EUR,Commitments,Official development assistance,,,,620.4
2018,Million EUR,Commitments,Official development assistance,,,,547.1
2019,Million EUR,Commitments,Official development assistance,,,,898.7
2020,Million EUR,Commitments,Official development assistance,,,,965.6
2021,Million EUR,Commitments,Official development assistance,,,,1159.8
2022,Million EUR,Commitments,Official development assistance,,,,1006.3
2023,Million EUR,Commitments,Official development assistance,,,,549.3
2024,Million EUR,Commitments,Official development assistance,,,,484.2
2010,Million EUR,Gross disbursements,Official development assistance,,,,202.7
2011,Million EUR,Gross disbursements,Official development assistance,,,,247.8
2012,Million EUR,Gross disbursements,Official development assistance,,,,218.1
2013,Million EUR,Gross disbursements,Official development assistance,,,,312.2
2014,Million EUR,Gross disbursements,Official development assistance,,,,268.4
2015,Million EUR,Gross disbursements,Official development assistance,,,,485.0
2016,Million EUR,Gross disbursements,Official development assistance,,,,518.8
2017,Million EUR,Gross disbursements,Official development assistance,,,,569.7
2018,Million EUR,Gross disbursements,Official development assistance,,,,482.5
2019,Million EUR,Gross disbursements,Official development assistance,,,,536.5
2020,Million EUR,Gross disbursements,Official development assistance,,,,798.4
2021,Million EUR,Gross disbursements,Official development assistance,,,,717.8
2022,Million EUR,Gross disbursements,Official development assistance,,,,1284.6
2023,Million EUR,Gross disbursements,Official development assistance,,,,661.7
2024,Million EUR,Gross disbursements,Official development assistance,,,,567.1
2010,Million EUR,Commitments,Other official flows,,,,
2011,Million EUR,Commitments,Other official flows,,,,
2012,Million EUR,Commitments,Other official flows,,,,
2013,Million EUR,Commitments,Other official flows,,,,
2014,Million EUR,Commitments,Other official flows,,,,
2015,Million EUR,Commitments,Other official flows,,,,
2016,Million EUR,Commitments,Other official flows,,,,
2017,Million EUR,Commitments,Other official flows,,,,
2018,Million EUR,Commitments,Other official flows,,,,44.5
2019,Million EUR,Commitments,Other official flows,,,,1.4
2020,Million EUR,Commitments,Other official flows,,,,61.3
2021,Million EUR,Commitments,Other official flows,,,,4.3
2022,Million EUR,Commitments,Other official flows,,,,7.2
2023,Million EUR,Commitments,Other official flows,,,,
2024,Million EUR,Commitments,Other official flows,,,,
2010,Million EUR,Gross disbursements,Other official flows,,,,
2011,Million EUR,Gross disbursements,Other official flows,,,,
2012,Million EUR,Gross disbursements,Other official flows,,,,
2013,Million EUR,Gross disbursements,Other official flows,,,,
2014,Million EUR,Gross disbursements,Other official flows,,,,
2015,Million EUR,Gross disbursements,Other official flows,,,,
2016,Million EUR,Gross disbursements,Other official flows,,,,
2017,Million EUR,Gross disbursements,Other official flows,,,,
2018,Million EUR,Gross disbursements,Other official flows,,,,44.5
2019,Million EUR,Gross disbursements,Other official flows,,,,1.4
2020,Million EUR,Gross disbursements,Other official flows,,,,61.3
2021,Million EUR,Gross disbursements,Other official flows,,,,4.3
2022,Million EUR,Gross disbursements,Other official flows,,,,7.2
2023,Million EUR,Gross disbursements,Other official flows,,,,
2024,Million EUR,Gross disbursements,Other official flows,,,,
2010,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,442.0
2011,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,391.4
2012,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,320.4
2013,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,500.4
2014,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,939.5
2015,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,896.5
2016,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,850.9
2017,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,853.0
2018,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,738.5
2019,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,1189.0
2020,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,1255.6
2021,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,1468.6
2022,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,1197.3
2023,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,612.6
2024,"Million USD, constant prices (2024)",Commitments,Official development assistance,,,,523.7
2010,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,310.9
2011,"Million USD, constant prices (2024)",Gross disbursements,Official development assistance,,,,375.5
