Year,Units,Type of disease,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Percentage,,,,,,12.74
2011,Percentage,,,,,,12.41
2012,Percentage,,,,,,12.17
2013,Percentage,,,,,,12.19
2014,Percentage,,,,,,11.72
2015,Percentage,,,,,,11.93
2016,Percentage,,,,,,11.73
2017,Percentage,,,,,,11.43
2018,Percentage,,,,,,11.43
2019,Percentage,,,,,,11.02
2020,Percentage,,,,,,10.94
2021,Percentage,,,,,,10.85
2022,Percentage,,,,,,10.81
2023,Percentage,,,,,,10.66
2024,Percentage,,,,,,10.45
2010,Percentage,(a) Diseases of the circulatory system,,,,,4.49
2011,Percentage,(a) Diseases of the circulatory system,,,,,4.19
2012,Percentage,(a) Diseases of the circulatory system,,,,,4.15
2013,Percentage,(a) Diseases of the circulatory system,,,,,4.13
2014,Percentage,(a) Diseases of the circulatory system,,,,,3.96
2015,Percentage,(a) Diseases of the circulatory system,,,,,4.08
2016,Percentage,(a) Diseases of the circulatory system,,,,,3.91
2017,Percentage,(a) Diseases of the circulatory system,,,,,3.78
2018,Percentage,(a) Diseases of the circulatory system,,,,,3.8
2019,Percentage,(a) Diseases of the circulatory system,,,,,3.59
2020,Percentage,(a) Diseases of the circulatory system,,,,,3.63
2021,Percentage,(a) Diseases of the circulatory system,,,,,3.71
2022,Percentage,(a) Diseases of the circulatory system,,,,,3.66
2023,Percentage,(a) Diseases of the circulatory system,,,,,3.61
2024,Percentage,(a) Diseases of the circulatory system,,,,,3.49
2010,Percentage,(b) Malignant neoplasms,,,,,7.6
2011,Percentage,(b) Malignant neoplasms,,,,,7.53
2012,Percentage,(b) Malignant neoplasms,,,,,7.35
2013,Percentage,(b) Malignant neoplasms,,,,,7.3
2014,Percentage,(b) Malignant neoplasms,,,,,7.04
2015,Percentage,(b) Malignant neoplasms,,,,,7.04
2016,Percentage,(b) Malignant neoplasms,,,,,7.02
2017,Percentage,(b) Malignant neoplasms,,,,,6.78
2018,Percentage,(b) Malignant neoplasms,,,,,6.75
2019,Percentage,(b) Malignant neoplasms,,,,,6.57
2020,Percentage,(b) Malignant neoplasms,,,,,6.47
2021,Percentage,(b) Malignant neoplasms,,,,,6.31
2022,Percentage,(b) Malignant neoplasms,,,,,6.23
2023,Percentage,(b) Malignant neoplasms,,,,,6.1
2024,Percentage,(b) Malignant neoplasms,,,,,5.99
2010,Percentage,(c) Diabetes mellitus,,,,,0.35
2011,Percentage,(c) Diabetes mellitus,,,,,0.35
2012,Percentage,(c) Diabetes mellitus,,,,,0.35
2013,Percentage,(c) Diabetes mellitus,,,,,0.36
2014,Percentage,(c) Diabetes mellitus,,,,,0.33
2015,Percentage,(c) Diabetes mellitus,,,,,0.35
2016,Percentage,(c) Diabetes mellitus,,,,,0.34
2017,Percentage,(c) Diabetes mellitus,,,,,0.36
2018,Percentage,(c) Diabetes mellitus,,,,,0.35
2019,Percentage,(c) Diabetes mellitus,,,,,0.34
2020,Percentage,(c) Diabetes mellitus,,,,,0.35
2021,Percentage,(c) Diabetes mellitus,,,,,0.35
2022,Percentage,(c) Diabetes mellitus,,,,,0.34
2023,Percentage,(c) Diabetes mellitus,,,,,0.34
2024,Percentage,(c) Diabetes mellitus,,,,,0.35
2010,Percentage,(d) Chronic respiratory disease,,,,,0.78
2011,Percentage,(d) Chronic respiratory disease,,,,,0.79
2012,Percentage,(d) Chronic respiratory disease,,,,,0.75
2013,Percentage,(d) Chronic respiratory disease,,,,,0.84
2014,Percentage,(d) Chronic respiratory disease,,,,,0.79
2015,Percentage,(d) Chronic respiratory disease,,,,,0.88
2016,Percentage,(d) Chronic respiratory disease,,,,,0.86
2017,Percentage,(d) Chronic respiratory disease,,,,,0.9
2018,Percentage,(d) Chronic respiratory disease,,,,,0.92
2019,Percentage,(d) Chronic respiratory disease,,,,,0.9
2020,Percentage,(d) Chronic respiratory disease,,,,,0.85
2021,Percentage,(d) Chronic respiratory disease,,,,,0.83
2022,Percentage,(d) Chronic respiratory disease,,,,,0.92
2023,Percentage,(d) Chronic respiratory disease,,,,,0.96
2024,Percentage,(d) Chronic respiratory disease,,,,,0.96
2010,Percentage,,Female,,,,9.19
2011,Percentage,,Female,,,,9.19
2012,Percentage,,Female,,,,8.94
2013,Percentage,,Female,,,,9.03
2014,Percentage,,Female,,,,8.73
2015,Percentage,,Female,,,,8.86
2016,Percentage,,Female,,,,8.79
2017,Percentage,,Female,,,,8.63
2018,Percentage,,Female,,,,8.67
2019,Percentage,,Female,,,,8.38
2020,Percentage,,Female,,,,8.22
2021,Percentage,,Female,,,,8.15
2022,Percentage,,Female,,,,8.24
2023,Percentage,,Female,,,,8.19
2024,Percentage,,Female,,,,7.97
2010,Percentage,(a) Diseases of the circulatory system,Female,,,,2.39
2011,Percentage,(a) Diseases of the circulatory system,Female,,,,2.32
2012,Percentage,(a) Diseases of the circulatory system,Female,,,,2.26
2013,Percentage,(a) Diseases of the circulatory system,Female,,,,2.3
2014,Percentage,(a) Diseases of the circulatory system,Female,,,,2.23
2015,Percentage,(a) Diseases of the circulatory system,Female,,,,2.26
2016,Percentage,(a) Diseases of the circulatory system,Female,,,,2.16
2017,Percentage,(a) Diseases of the circulatory system,Female,,,,2.05
2018,Percentage,(a) Diseases of the circulatory system,Female,,,,2.11
2019,Percentage,(a) Diseases of the circulatory system,Female,,,,1.96
2020,Percentage,(a) Diseases of the circulatory system,Female,,,,1.95
2021,Percentage,(a) Diseases of the circulatory system,Female,,,,2.02
2022,Percentage,(a) Diseases of the circulatory system,Female,,,,2.02
2023,Percentage,(a) Diseases of the circulatory system,Female,,,,2.0
2024,Percentage,(a) Diseases of the circulatory system,Female,,,,1.92
2010,Number,(b) Malignant neoplasms,Female,,,,6.25
2011,Number,(b) Malignant neoplasms,Female,,,,6.3
2012,Number,(b) Malignant neoplasms,Female,,,,6.13
2013,Number,(b) Malignant neoplasms,Female,,,,6.1
2014,Number,(b) Malignant neoplasms,Female,,,,5.92
2015,Number,(b) Malignant neoplasms,Female,,,,5.94
2016,Number,(b) Malignant neoplasms,Female,,,,5.97
2017,Number,(b) Malignant neoplasms,Female,,,,5.85
2018,Number,(b) Malignant neoplasms,Female,,,,5.82
2019,Number,(b) Malignant neoplasms,Female,,,,5.69
2020,Number,(b) Malignant neoplasms,Female,,,,5.57
2021,Number,(b) Malignant neoplasms,Female,,,,5.46
2022,Number,(b) Malignant neoplasms,Female,,,,5.48
2023,Number,(b) Malignant neoplasms,Female,,,,5.39
2024,Number,(b) Malignant neoplasms,Female,,,,5.27
2010,Percentage,(c) Diabetes mellitus,Female,,,,0.21
2011,Percentage,(c) Diabetes mellitus,Female,,,,0.21
2012,Percentage,(c) Diabetes mellitus,Female,,,,0.21
2013,Percentage,(c) Diabetes mellitus,Female,,,,0.21
2014,Percentage,(c) Diabetes mellitus,Female,,,,0.2
2015,Percentage,(c) Diabetes mellitus,Female,,,,0.2
2016,Percentage,(c) Diabetes mellitus,Female,,,,0.19
2017,Percentage,(c) Diabetes mellitus,Female,,,,0.21
2018,Percentage,(c) Diabetes mellitus,Female,,,,0.21
2019,Percentage,(c) Diabetes mellitus,Female,,,,0.19
2020,Percentage,(c) Diabetes mellitus,Female,,,,0.2
2021,Percentage,(c) Diabetes mellitus,Female,,,,0.21
