Year,Time series,Sex,Value
2010,dtp vaccination coverage at school entry,,95.2
2011,dtp vaccination coverage at school entry,,95.6
2012,dtp vaccination coverage at school entry,,95.8
2013,dtp vaccination coverage at school entry,,96.2
2014,dtp vaccination coverage at school entry,,95.7
2015,dtp vaccination coverage at school entry,,95.2
2016,dtp vaccination coverage at school entry,,94.5
2017,dtp vaccination coverage at school entry,,93.5
2018,dtp vaccination coverage at school entry,,93.0
2019,dtp vaccination coverage at school entry,,92.7
2010,measles vaccination coverage at school entry,,91.5
2011,measles vaccination coverage at school entry,,92.1
2012,measles vaccination coverage at school entry,,92.4
2013,measles vaccination coverage at school entry,,92.6
2014,measles vaccination coverage at school entry,,92.8
2015,measles vaccination coverage at school entry,,92.8
2016,measles vaccination coverage at school entry,,92.9
2017,measles vaccination coverage at school entry,,92.8
2018,measles vaccination coverage at school entry,,93.1
2019,measles vaccination coverage at school entry,,92.7
2010,pneumococcal vaccination coverage at school entry,,15.2
2011,pneumococcal vaccination coverage at school entry,,41.0
2012,pneumococcal vaccination coverage at school entry,,68.3
2013,pneumococcal vaccination coverage at school entry,,84.5
2014,pneumococcal vaccination coverage at school entry,,85.3
2015,pneumococcal vaccination coverage at school entry,,86.1
2016,pneumococcal vaccination coverage at school entry,,84.4
2017,pneumococcal vaccination coverage at school entry,,83.8
2018,pneumococcal vaccination coverage at school entry,,83.1
2019,pneumococcal vaccination coverage at school entry,,83.4
2010,hpv vaccination coverages among 15 years old girls and boys,Female,
2011,hpv vaccination coverages among 15 years old girls and boys,Female,27.2
2012,hpv vaccination coverages among 15 years old girls and boys,Female,27.2
2013,hpv vaccination coverages among 15 years old girls and boys,Female,29.3
2014,hpv vaccination coverages among 15 years old girls and boys,Female,31.3
2015,hpv vaccination coverages among 15 years old girls and boys,Female,33.4
2016,hpv vaccination coverages among 15 years old girls and boys,Female,36.6
2017,hpv vaccination coverages among 15 years old girls and boys,Female,40.0
2018,hpv vaccination coverages among 15 years old girls and boys,Female,43.0
2019,hpv vaccination coverages among 15 years old girls and boys,Female,47.2
2010,hpv vaccination coverages among 15 years old girls and boys,Male,
2011,hpv vaccination coverages among 15 years old girls and boys,Male,
2012,hpv vaccination coverages among 15 years old girls and boys,Male,
2013,hpv vaccination coverages among 15 years old girls and boys,Male,
2014,hpv vaccination coverages among 15 years old girls and boys,Male,
2015,hpv vaccination coverages among 15 years old girls and boys,Male,
2016,hpv vaccination coverages among 15 years old girls and boys,Male,
2017,hpv vaccination coverages among 15 years old girls and boys,Male,
2018,hpv vaccination coverages among 15 years old girls and boys,Male,
2019,hpv vaccination coverages among 15 years old girls and boys,Male,5.1
